Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,230741.89,101463.984,-107693.9,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.0005,230961.47,101454.65,-107381.695,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.001,231066.64,101403.266,-107289.45,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.0015,231179.53,101289.87,-107316.516,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.002,231238.33,101211.33,-107425.54,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.0025,231333.55,101128.58,-107672.266,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.003,231417.7,101117.95,-107848.73,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.0035,231598.44,101198.8,-108056.12,-1690.6354,-1406.5406,-1413.3955,374.8495,388.48605,388.157
0.004,231766.98,101328.6,-108116.4,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0045,232102.42,101642.58,-108032.75,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.005,232376.97,101925.12,-107844.51,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0055,232860.88,102433.41,-107367.04,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.006,233221.23,102807.64,-106932.46,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0065,233793.02,103379.805,-106163.18,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.007,234180.12,103742.914,-105619.14,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0075,234725.58,104220.89,-104834.66,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.008,235049.72,104478.06,-104377.875,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0085,235462.22,104754.4,-103848.664,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.009,235681.42,104863.76,-103622.26,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0095,254470.16,148174.81,-92856.26,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.01,257047.25,153827.38,-89756.3,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.0105,264107.53,166038.86,-83683.766,-1690.6354,-1261.6777,-1413.3955,374.8495,395.43948,388.157
0.011,270382.1,176893.22,-81052.31,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.0115,282457.75,196998.45,-86789.836,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.012,293398.72,210994.42,-101729.74,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.0125,315229.38,226800.77,-143038.02,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.013,331716.88,230771.25,-179523.73,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.0135,351927.9,225896.62,-235886.47,-1284.4971,-1261.6777,-1413.3955,394.34415,395.43948,388.157
0.014,357920.62,217350.89,-268173.16,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0145,353466.06,200925.45,-304221.16,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.015,344544.56,189083.94,-321772.78,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0155,331469.84,170479.53,-345243.97,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.016,327178.25,157589.36,-362281.94,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0165,328108.06,139106.27,-391168.7,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.017,330708.8,128926.414,-411199.34,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0175,331827.7,118400.336,-439210.12,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.018,329459.56,113869.99,-455680.9,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0185,323066.9,107895.93,-477770.7,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.019,318616.4,103020.76,-491563.5,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0195,312936.25,93828.5,-511439.8,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.02,309570.84,86848.2,-523937.6,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0205,304612.25,75555.87,-541155.2,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.021,301474.5,67305.18,-551768.8,-1284.4971,-1261.6777,-132.4213,394.34415,395.43948,449.64377
0.0215,297306.22,53520.273,-567209.06,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.022,294549.06,43692.164,-577619.5,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0225,288980.25,29232.94,-593629.8,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.023,283619.34,20306.541,-604419.2,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0235,273259.84,7583.171,-620433.1,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.024,265537.7,-1343.1615,-630875.8,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0245,254049.14,-16834.646,-646165.7,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.025,246625.44,-28741.926,-656131.44,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0255,235096.1,-48049.297,-670780.94,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.026,226610.45,-61098.156,-680374.94,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0265,212431.67,-80119.664,-694561.1,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.027,202314.16,-92400.016,-703885.1,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0275,186870.81,-110472.25,-717559.5,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.028,176648.11,-122303.46,-726334.2,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.0285,161508.61,-139388.27,-738734.6,-1284.4971,-2171.994,-132.4213,394.34415,608.25574,449.64377
0.029,151602.23,-150095.4,-746389.5,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.0295,137347.81,-164934.67,-756871.06,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.03,128513.5,-174007.58,-763163.4,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.0305,116499.18,-186316.84,-771519.0,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.031,109282.625,-193510.66,-776382.75,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.0315,99497.84,-202501.73,-782811.94,-3792.954,-2171.994,-132.4213,686.06177,608.25574,449.64377
0.032,93704.42,-207250.6,-786741.0,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0325,86322.85,-212720.8,-792563.5,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.033,82434.73,-215487.5,-796604.7,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0335,78082.4,-218647.95,-803045.1,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.034,75982.055,-220219.16,-807557.1,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0345,73643.69,-221939.1,-814509.9,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.035,72490.13,-222782.19,-819200.7,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0355,71325.72,-223810.97,-826227.9,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.036,70934.8,-224431.6,-830851.8,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0365,70899.93,-225297.56,-837559.25,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.037,71159.73,-225791.36,-841786.1,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0375,71926.92,-226392.44,-847646.0,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.038,72701.375,-226690.06,-851206.5,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0385,74265.234,-226996.6,-856043.3,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.039,75540.09,-227093.33,-858963.5,-3792.954,-2171.994,-2423.9746,686.06177,608.25574,620.35077
0.0395,77727.4,-227008.45,-862942.44,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.04,79278.49,-226760.92,-865365.06,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0405,81714.33,-226104.98,-868755.25,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.041,83442.75,-225503.48,-870907.6,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0415,86201.836,-224377.06,-874023.5,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.042,88162.984,-223456.23,-876019.9,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0425,91279.62,-221715.73,-878804.0,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.043,93473.88,-220235.31,-880423.3,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0435,97003.875,-217393.42,-882279.25,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.044,99589.75,-214998.17,-882997.44,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0445,103971.99,-210485.27,-883048.8,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.045,107318.7,-206748.83,-882267.06,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0455,113132.04,-199858.95,-879700.44,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.046,117636.37,-194313.72,-877000.9,-3792.954,-4700.9863,-2423.9746,686.06177,729.64734,620.35077
0.0465,125478.56,-184459.78,-871451.1,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.047,131506.33,-176835.2,-866789.8,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.0475,141776.66,-163833.72,-858493.06,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.048,149473.33,-154171.0,-852205.06,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.0485,162193.1,-138331.77,-841831.6,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.049,171410.73,-126996.58,-834389.3,-4331.109,-4700.9863,-2423.9746,711.89325,729.64734,620.35077
0.0495,186213.53,-109082.92,-822552.6,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.05,196636.58,-96686.84,-814239.0,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0505,212928.45,-77651.43,-801110.56,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.051,224132.69,-64777.95,-791865.56,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0515,241322.88,-45320.734,-777136.5,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.052,252989.0,-32286.32,-766660.8,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0525,270753.84,-12643.397,-749833.06,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.053,282759.56,535.4151,-737820.25,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0535,300997.7,20487.387,-718573.75,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.054,313297.72,33941.434,-704938.2,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0545,331918.56,54373.434,-683373.0,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.055,344406.3,68146.4,-668337.25,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0555,363160.8,88955.86,-644981.5,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.056,375598.47,102860.27,-628994.2,-4331.109,-4700.9863,-2845.7048,711.89325,729.64734,640.5938
0.0565,394032.38,123621.44,-604587.7,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.057,406080.5,137312.6,-588136.3,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0575,423698.28,157496.89,-563322.3,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.058,435083.75,170669.83,-546733.75,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0585,451570.56,189975.77,-521808.7,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.059,462170.5,202569.16,-505145.12,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0595,481332.6,217554.4,-496753.34,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.06,491847.75,226738.2,-486794.97,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0605,509143.75,239088.9,-477106.4,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.061,520071.44,246108.14,-472486.56,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0615,533140.0,254857.77,-464429.53,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.062,539170.94,259611.48,-456421.5,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.0625,545510.7,265311.28,-439325.66,-4331.109,-5623.939,-2845.7048,711.89325,773.9491,640.5938
0.063,549434.25,268395.06,-425240.66,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.0635,557033.25,272884.22,-402528.16,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.064,563632.25,276590.1,-387670.0,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.0645,574973.75,284407.03,-366930.3,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.065,582660.6,291329.25,-354088.97,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.0655,593302.7,303615.2,-335579.34,-5507.788,-5623.939,-2845.7048,768.37384,773.9491,640.5938
0.066,599606.9,312315.34,-323309.44,-5507.788,-5623.939,-5811.842,768.37384,773.9491,782.96844
0.0665,608041.1,324859.78,-304602.53,-5507.788,-5623.939,-5811.842,768.37384,773.9491,782.96844
0.067,613182.94,332401.16,-291857.0,-5507.788,-5623.939,-5811.842,768.37384,773.9491,782.96844
0.0675,620501.2,342119.5,-272355.78,-5507.788,-5623.939,-5811.842,768.37384,773.9491,782.96844
