Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,352702.1,111509.195,-320294.88,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0005,352579.16,111309.38,-320423.1,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.001,352396.6,111104.67,-320726.94,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0015,352285.34,111056.19,-320956.7,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.002,352140.12,111134.95,-321248.06,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0025,352075.66,111281.695,-321356.5,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.003,352032.75,111605.45,-321333.34,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0035,352047.8,111862.266,-321180.66,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.004,352120.97,112262.93,-320753.53,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0045,352189.9,112515.03,-320355.16,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.005,352294.25,112831.34,-319640.12,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0055,352348.8,112984.0,-319123.56,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.006,352381.88,113092.91,-318364.6,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0065,352360.38,113085.266,-317912.8,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.007,352248.22,112961.414,-317378.6,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0075,352124.53,112822.08,-317142.44,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.008,351877.03,112572.58,-316983.0,-61.795086,0.0,-241.69853,453.03384,464.73965,444.39847
0.0085,351683.5,112404.625,-316996.38,-61.795086,0.0,-241.69853,453.03384,464.3065,444.39847
