Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,461.68896,466.2032,469.74213
0.0005,461.68896,466.2032,469.74213
0.001,461.68896,466.2032,469.74213
0.0015,461.68896,466.2032,469.74213
0.002,461.68896,466.2032,469.74213
0.0025,461.68896,466.2032,469.74213
0.003,461.68896,466.2032,469.74213
0.0035,461.68896,466.2032,469.74213
0.004,461.68896,466.2032,469.74213
0.0045,461.68896,466.2032,469.74213
0.005,461.68896,466.2032,469.74213
0.0055,461.68896,466.2032,469.74213
0.006,461.68896,466.2032,469.74213
0.0065,461.68896,466.2032,469.74213
0.007,460.18066,464.84604,468.17325
0.0075,460.18066,464.84604,468.17325
0.008,460.18066,464.84604,468.17325
0.0085,460.18066,464.84604,468.17325
0.009,460.18066,464.84604,468.17325
0.0095,460.18066,464.84604,468.17325
0.01,460.18066,464.84604,468.17325
0.0105,460.18066,464.84604,468.17325
0.011,460.18066,464.84604,468.17325
0.0115,460.18066,464.84604,468.17325
0.012,460.18066,464.84604,468.17325
0.0125,460.18066,464.84604,468.17325
0.013,460.18066,464.84604,468.17325
0.0135,460.18066,464.84604,468.17325
0.014,460.18066,464.84604,468.17325
0.0145,460.18066,464.84604,468.17325
0.015,460.18066,464.84604,468.17325
0.0155,460.18066,464.84604,468.17325
0.016,460.18066,464.84604,468.17325
0.0165,460.18066,464.84604,468.17325
0.017,460.18066,464.84604,468.17325
0.0175,460.18066,464.84604,468.17325
0.018,460.18066,464.84604,468.17325
0.0185,460.18066,464.84604,468.17325
0.019,460.18066,464.84604,468.17325
0.0195,460.18066,464.84604,468.17325
0.02,460.18066,464.84604,468.17325
0.0205,460.18066,464.84604,468.17325
0.021,460.18066,464.84604,468.17325
0.0215,460.18066,464.84604,468.17325
0.022,460.18066,464.84604,468.17325
0.0225,460.18066,464.84604,468.17325
0.023,460.18066,464.84604,468.17325
0.0235,460.18066,464.84604,468.17325
0.024,461.08038,465.8747,468.90063
0.0245,461.08038,465.8747,468.90063
0.025,461.08038,465.8747,468.90063
0.0255,461.08038,465.8747,468.90063
0.026,461.08038,465.8747,468.90063
0.0265,461.08038,465.8747,468.90063
0.027,461.08038,465.8747,468.90063
0.0275,461.08038,465.8747,468.90063
0.028,461.08038,465.8747,468.90063
0.0285,461.08038,465.8747,468.90063
0.029,461.08038,465.8747,468.90063
0.0295,461.08038,465.8747,468.90063
0.03,461.08038,465.8747,468.90063
0.0305,461.08038,465.8747,468.90063
0.031,461.08038,465.8747,468.90063
0.0315,461.08038,465.8747,468.90063
0.032,461.08038,465.8747,468.90063
0.0325,461.08038,465.8747,468.90063
0.033,461.08038,465.8747,468.90063
0.0335,461.08038,465.8747,468.90063
0.034,461.08038,465.8747,468.90063
0.0345,461.08038,465.8747,468.90063
0.035,461.08038,465.8747,468.90063
0.0355,461.08038,465.8747,468.90063
0.036,461.08038,465.8747,468.90063
0.0365,461.08038,465.8747,468.90063
0.037,461.08038,465.8747,468.90063
0.0375,461.08038,465.8747,468.90063
0.038,461.08038,465.8747,468.90063
0.0385,461.08038,465.8747,468.90063
0.039,461.08038,465.8747,468.90063
0.0395,461.08038,465.8747,468.90063
0.04,461.08038,465.8747,468.90063
0.0405,461.08038,465.8747,468.90063
0.041,461.08038,465.8747,468.90063
0.0415,460.31177,465.21365,467.83405
0.042,460.31177,465.21365,467.83405
0.0425,460.31177,465.21365,467.83405
0.043,460.31177,465.21365,467.83405
0.0435,460.31177,465.21365,467.83405
0.044,460.31177,465.21365,467.83405
0.0445,460.31177,465.21365,467.83405
0.045,460.31177,465.21365,467.83405
0.0455,460.31177,465.21365,467.83405
0.046,460.31177,465.21365,467.83405
0.0465,460.31177,465.21365,467.83405
0.047,460.31177,465.21365,467.83405
0.0475,460.31177,465.21365,467.83405
0.048,460.31177,465.21365,467.83405
0.0485,460.31177,465.21365,467.83405
0.049,460.31177,465.21365,467.83405
0.0495,460.31177,465.21365,467.83405
0.05,460.31177,465.21365,467.83405
0.0505,460.31177,465.21365,467.83405
0.051,460.31177,465.21365,467.83405
0.0515,460.31177,465.21365,467.83405
0.052,460.31177,465.21365,467.83405
0.0525,460.31177,465.21365,467.83405
0.053,460.31177,465.21365,467.83405
0.0535,460.31177,465.21365,467.83405
0.054,460.31177,465.21365,467.83405
0.0545,460.31177,465.21365,467.83405
0.055,460.31177,465.21365,467.83405
0.0555,460.31177,465.21365,467.83405
0.056,460.31177,465.21365,467.83405
0.0565,460.31177,465.21365,467.83405
0.057,460.31177,465.21365,467.83405
0.0575,460.31177,465.21365,467.83405
0.058,460.31177,465.21365,467.83405
0.0585,460.74615,465.71826,468.05356
0.059,460.74615,465.71826,468.05356
0.0595,460.74615,465.71826,468.05356
0.06,460.74615,465.71826,468.05356
0.0605,460.74615,465.71826,468.05356
0.061,460.74615,465.71826,468.05356
0.0615,460.74615,465.71826,468.05356
0.062,460.74615,465.71826,468.05356
0.0625,460.74615,465.71826,468.05356
0.063,460.74615,465.71826,468.05356
0.0635,460.74615,465.71826,468.05356
0.064,460.74615,465.71826,468.05356
0.0645,460.74615,465.71826,468.05356
0.065,460.74615,465.71826,468.05356
0.0655,460.74615,465.71826,468.05356
0.066,460.74615,465.71826,468.05356
0.0665,460.74615,465.71826,468.05356
0.067,460.74615,465.71826,468.05356
0.0675,460.74615,465.71826,468.05356
0.068,460.74615,465.71826,468.05356
0.0685,460.74615,465.71826,468.05356
0.069,460.74615,465.71826,468.05356
0.0695,460.74615,465.71826,468.05356
0.07,460.74615,465.71826,468.05356
0.0705,460.74615,465.71826,468.05356
0.071,460.74615,465.71826,468.05356
0.0715,460.74615,465.71826,468.05356
0.072,460.74615,465.71826,468.05356
0.0725,460.74615,465.71826,468.05356
0.073,460.74615,465.71826,468.05356
0.0735,460.74615,465.71826,468.05356
0.074,460.74615,465.71826,468.05356
0.0745,460.74615,465.71826,468.05356
0.075,460.74615,465.71826,468.05356
0.0755,460.74615,465.71826,468.05356
0.076,462.56683,467.56522,469.59445
0.0765,462.56683,467.56522,469.59445
0.077,462.56683,467.56522,469.59445
0.0775,462.56683,467.56522,469.59445
0.078,462.56683,467.56522,469.59445
0.0785,462.56683,467.56522,469.59445
0.079,462.56683,467.56522,469.59445
0.0795,462.56683,467.56522,469.59445
0.08,462.56683,467.56522,469.59445
0.0805,462.56683,467.56522,469.59445
0.081,462.56683,467.56522,469.59445
0.0815,462.56683,467.56522,469.59445
0.082,462.56683,467.56522,469.59445
0.0825,462.56683,467.56522,469.59445
0.083,462.56683,467.56522,469.59445
0.0835,462.56683,467.56522,469.59445
0.084,462.56683,467.56522,469.59445
0.0845,462.56683,467.56522,469.59445
0.085,462.56683,467.56522,469.59445
0.0855,462.56683,467.56522,469.59445
0.086,462.56683,467.56522,469.59445
0.0865,462.56683,467.56522,469.59445
0.087,462.56683,467.56522,469.59445
0.0875,462.56683,467.56522,469.59445
0.088,462.56683,467.56522,469.59445
0.0885,462.56683,467.56522,469.59445
0.089,462.56683,467.56522,469.59445
0.0895,462.56683,467.56522,469.59445
0.09,462.56683,467.56522,469.59445
0.0905,462.56683,467.56522,469.59445
0.091,462.56683,467.56522,469.59445
0.0915,462.56683,467.56522,469.59445
0.092,462.56683,467.56522,469.59445
0.0925,462.56683,467.56522,469.59445
0.093,462.9862,467.99918,469.97574
0.0935,462.9862,467.99918,469.97574
0.094,462.9862,467.99918,469.97574
0.0945,462.9862,467.99918,469.97574
0.095,462.9862,467.99918,469.97574
0.0955,462.9862,467.99918,469.97574
0.096,462.9862,467.99918,469.97574
0.0965,462.9862,467.99918,469.97574
0.097,462.9862,467.99918,469.97574
0.0975,462.9862,467.99918,469.97574
0.098,462.9862,467.99918,469.97574
0.0985,462.9862,467.99918,469.97574
0.099,462.9862,467.99918,469.97574
0.0995,462.9862,467.99918,469.97574
0.1,462.9862,467.99918,469.97574
0.1005,462.9862,467.99918,469.97574
0.101,462.9862,467.99918,469.97574
0.1015,462.9862,467.99918,469.97574
0.102,462.9862,467.99918,469.97574
0.1025,462.9862,467.99918,469.97574
0.103,462.9862,467.99918,469.97574
0.1035,462.9862,467.99918,469.97574
0.104,462.9862,467.99918,469.97574
0.1045,462.9862,467.99918,469.97574
0.105,462.9862,467.99918,469.97574
0.1055,462.9862,467.99918,469.97574
0.106,462.9862,467.99918,469.97574
0.1065,462.9862,467.99918,469.97574
0.107,462.9862,467.99918,469.97574
0.1075,462.9862,467.99918,469.97574
0.108,462.9862,467.99918,469.97574
0.1085,462.9862,467.99918,469.97574
0.109,462.9862,467.99918,469.97574
0.1095,462.9862,467.99918,469.97574
0.11,463.5825,468.5843,470.57004
0.1105,463.5825,468.5843,470.57004
0.111,463.5825,468.5843,470.57004
0.1115,463.5825,468.5843,470.57004
0.112,463.5825,468.5843,470.57004
0.1125,463.5825,468.5843,470.57004
0.113,463.5825,468.5843,470.57004
0.1135,463.5825,468.5843,470.57004
0.114,463.5825,468.5843,470.57004
0.1145,463.5825,468.5843,470.57004
0.115,463.5825,468.5843,470.57004
0.1155,463.5825,468.5843,470.57004
0.116,463.5825,468.5843,470.57004
0.1165,463.5825,468.5843,470.57004
0.117,463.5825,468.5843,470.57004
0.1175,463.5825,468.5843,470.57004
0.118,463.5825,468.5843,470.57004
0.1185,463.5825,468.5843,470.57004
0.119,463.5825,468.5843,470.57004
0.1195,463.5825,468.5843,470.57004
0.12,463.5825,468.5843,470.57004
0.1205,463.5825,468.5843,470.57004
0.121,463.5825,468.5843,470.57004
0.1215,463.5825,468.5843,470.57004
0.122,463.5825,468.5843,470.57004
0.1225,463.5825,468.5843,470.57004
0.123,463.5825,468.5843,470.57004
0.1235,463.5825,468.5843,470.57004
0.124,463.5825,468.5843,470.57004
0.1245,463.5825,468.5843,470.57004
0.125,463.5825,468.5843,470.57004
0.1255,463.5825,468.5843,470.57004
0.126,463.5825,468.5843,470.57004
0.1265,463.5825,468.5843,470.57004
0.127,463.5825,468.5843,470.57004
0.1275,464.63553,469.60068,471.5638
0.128,464.63553,469.60068,471.5638
0.1285,464.63553,469.60068,471.5638
0.129,464.63553,469.60068,471.5638
0.1295,464.63553,469.60068,471.5638
0.13,464.63553,469.60068,471.5638
0.1305,464.63553,469.60068,471.5638
0.131,464.63553,469.60068,471.5638
0.1315,464.63553,469.60068,471.5638
0.132,464.63553,469.60068,471.5638
0.1325,464.63553,469.60068,471.5638
0.133,464.63553,469.60068,471.5638
0.1335,464.63553,469.60068,471.5638
0.134,464.63553,469.60068,471.5638
0.1345,464.63553,469.60068,471.5638
0.135,464.63553,469.60068,471.5638
0.1355,464.63553,469.60068,471.5638
0.136,464.63553,469.60068,471.5638
0.1365,464.63553,469.60068,471.5638
0.137,464.63553,469.60068,471.5638
0.1375,464.63553,469.60068,471.5638
0.138,464.63553,469.60068,471.5638
0.1385,464.63553,469.60068,471.5638
0.139,464.63553,469.60068,471.5638
0.1395,464.63553,469.60068,471.5638
0.14,464.63553,469.60068,471.5638
0.1405,464.63553,469.60068,471.5638
0.141,464.63553,469.60068,471.5638
0.1415,464.63553,469.60068,471.5638
0.142,464.63553,469.60068,471.5638
0.1425,464.63553,469.60068,471.5638
0.143,464.63553,469.60068,471.5638
0.1435,464.63553,469.60068,471.5638
0.144,464.63553,469.60068,471.5638
0.1445,464.7735,469.72754,471.86404
0.145,464.7735,469.72754,471.86404
0.1455,464.7735,469.72754,471.86404
0.146,464.7735,469.72754,471.86404
0.1465,464.7735,469.72754,471.86404
0.147,464.7735,469.72754,471.86404
0.1475,464.7735,469.72754,471.86404
0.148,464.7735,469.72754,471.86404
0.1485,464.7735,469.72754,471.86404
0.149,464.7735,469.72754,471.86404
0.1495,464.7735,469.72754,471.86404
0.15,464.7735,469.72754,471.86404
0.1505,464.7735,469.72754,471.86404
0.151,464.7735,469.72754,471.86404
0.1515,464.7735,469.72754,471.86404
0.152,464.7735,469.72754,471.86404
0.1525,464.7735,469.72754,471.86404
0.153,464.7735,469.72754,471.86404
0.1535,464.7735,469.72754,471.86404
0.154,464.7735,469.72754,471.86404
0.1545,464.7735,469.72754,471.86404
0.155,464.7735,469.72754,471.86404
0.1555,464.7735,469.72754,471.86404
0.156,464.7735,469.72754,471.86404
0.1565,464.7735,469.72754,471.86404
0.157,464.7735,469.72754,471.86404
0.1575,464.7735,469.72754,471.86404
0.158,464.7735,469.72754,471.86404
0.1585,464.7735,469.72754,471.86404
0.159,464.7735,469.72754,471.86404
0.1595,464.7735,469.72754,471.86404
0.16,464.7735,469.72754,471.86404
0.1605,464.7735,469.72754,471.86404
0.161,464.7735,469.72754,471.86404
0.1615,464.7735,469.72754,471.86404
0.162,464.7164,469.62396,471.9227
0.1625,464.7164,469.62396,471.9227
0.163,464.7164,469.62396,471.9227
0.1635,464.7164,469.62396,471.9227
0.164,464.7164,469.62396,471.9227
0.1645,464.7164,469.62396,471.9227
0.165,464.7164,469.62396,471.9227
0.1655,464.7164,469.62396,471.9227
0.166,464.7164,469.62396,471.9227
0.1665,464.7164,469.62396,471.9227
0.167,464.7164,469.62396,471.9227
0.1675,464.7164,469.62396,471.9227
0.168,464.7164,469.62396,471.9227
0.1685,464.7164,469.62396,471.9227
0.169,464.7164,469.62396,471.9227
0.1695,464.7164,469.62396,471.9227
0.17,464.7164,469.62396,471.9227
0.1705,464.7164,469.62396,471.9227
0.171,464.7164,469.62396,471.9227
0.1715,464.7164,469.62396,471.9227
0.172,464.7164,469.62396,471.9227
0.1725,464.7164,469.62396,471.9227
0.173,464.7164,469.62396,471.9227
0.1735,464.7164,469.62396,471.9227
0.174,464.7164,469.62396,471.9227
0.1745,464.7164,469.62396,471.9227
0.175,464.7164,469.62396,471.9227
0.1755,464.7164,469.62396,471.9227
0.176,464.7164,469.62396,471.9227
0.1765,464.7164,469.62396,471.9227
0.177,464.7164,469.62396,471.9227
0.1775,464.7164,469.62396,471.9227
