Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,468.56467,473.3882,473.91174
0.0005,468.56467,473.3882,473.91174
0.001,468.56467,473.3882,473.91174
0.0015,468.56467,473.3882,473.91174
0.002,468.56467,473.3882,473.91174
0.0025,468.56467,473.3882,474.35403
0.003,469.40393,473.3882,474.35403
0.0035,469.40393,473.3882,474.35403
0.004,469.40393,473.3882,474.35403
0.0045,469.40393,473.3882,474.35403
0.005,469.40393,473.3882,474.35403
0.0055,469.40393,473.3882,474.35403
0.006,469.40393,473.3882,474.35403
0.0065,469.40393,473.3882,474.35403
0.007,469.40393,473.3882,474.35403
0.0075,469.40393,473.3882,474.35403
0.008,469.40393,473.3882,474.35403
0.0085,469.40393,473.3882,474.35403
0.009,469.40393,473.3882,474.35403
0.0095,469.40393,473.3882,474.35403
0.01,469.40393,473.3882,474.35403
0.0105,469.40393,472.88312,474.35403
0.011,469.40393,472.88312,474.35403
0.0115,469.40393,472.88312,474.35403
0.012,469.40393,472.88312,474.35403
0.0125,469.40393,472.88312,474.35403
0.013,469.40393,472.88312,474.35403
0.0135,469.40393,472.88312,474.35403
0.014,469.40393,472.88312,474.35403
0.0145,469.40393,472.88312,474.35403
0.015,469.40393,472.88312,474.35403
0.0155,469.40393,472.88312,474.35403
0.016,469.40393,472.88312,474.35403
0.0165,469.40393,472.88312,474.35403
0.017,469.40393,472.88312,474.35403
0.0175,469.40393,472.88312,474.35403
0.018,469.40393,472.88312,474.35403
0.0185,469.40393,472.88312,474.35403
0.019,469.40393,472.88312,474.35403
0.0195,469.40393,472.88312,474.35403
0.02,468.6247,472.88312,473.98645
0.0205,468.6247,472.88312,473.98645
0.021,468.6247,472.88312,473.98645
0.0215,468.6247,472.88312,473.98645
0.022,468.6247,472.88312,473.98645
0.0225,468.6247,472.88312,473.98645
0.023,468.6247,472.88312,473.98645
0.0235,468.6247,472.88312,473.98645
0.024,468.6247,472.88312,473.98645
0.0245,468.6247,472.88312,473.98645
0.025,468.6247,472.88312,473.98645
0.0255,468.6247,472.88312,473.98645
0.026,468.6247,472.88312,473.98645
0.0265,468.6247,472.88312,473.98645
0.027,468.6247,472.88312,473.98645
0.0275,468.6247,471.935,473.98645
0.028,468.6247,471.935,473.98645
0.0285,468.6247,471.935,473.98645
0.029,468.6247,471.935,473.98645
0.0295,468.6247,471.935,473.98645
0.03,468.6247,471.935,473.98645
0.0305,468.6247,471.935,473.98645
0.031,468.6247,471.935,473.98645
0.0315,468.6247,471.935,473.98645
0.032,468.6247,471.935,473.98645
0.0325,468.6247,471.935,473.98645
0.033,468.6247,471.935,473.98645
0.0335,468.6247,471.935,473.98645
0.034,468.6247,471.935,473.98645
0.0345,468.6247,471.935,473.98645
0.035,468.6247,471.935,473.98645
0.0355,468.6247,471.935,473.98645
0.036,468.6247,471.935,473.98645
0.0365,468.6247,471.935,473.98645
0.037,468.6247,471.935,473.61197
0.0375,468.2523,471.935,473.61197
0.038,468.2523,471.935,473.61197
0.0385,468.2523,471.935,473.61197
0.039,468.2523,471.935,473.61197
0.0395,468.2523,471.935,473.61197
0.04,468.2523,471.935,473.61197
0.0405,468.2523,471.935,473.61197
0.041,468.2523,471.935,473.61197
0.0415,468.2523,471.935,473.61197
0.042,468.2523,471.935,473.61197
0.0425,468.2523,471.935,473.61197
0.043,468.2523,471.935,473.61197
0.0435,468.2523,471.935,473.61197
0.044,468.2523,471.935,473.61197
0.0445,468.2523,473.00827,473.61197
0.045,468.2523,473.00827,473.61197
0.0455,468.2523,473.00827,473.61197
0.046,468.2523,473.00827,473.61197
0.0465,468.2523,473.00827,473.61197
0.047,468.2523,473.00827,473.61197
0.0475,468.2523,473.00827,473.61197
0.048,468.2523,473.00827,473.61197
0.0485,468.2523,473.00827,473.61197
0.049,468.2523,473.00827,473.61197
0.0495,468.2523,473.00827,473.61197
0.05,468.2523,473.00827,473.61197
0.0505,468.2523,473.00827,473.61197
0.051,468.2523,473.00827,473.61197
0.0515,468.2523,473.00827,473.61197
0.052,468.2523,473.00827,473.61197
0.0525,468.2523,473.00827,473.61197
0.053,468.2523,473.00827,473.61197
0.0535,468.2523,473.00827,473.61197
0.054,468.2523,473.00827,473.61197
0.0545,468.81268,473.00827,473.96005
0.055,468.81268,473.00827,473.96005
0.0555,468.81268,473.00827,473.96005
0.056,468.81268,473.00827,473.96005
0.0565,468.81268,473.00827,473.96005
0.057,468.81268,473.00827,473.96005
0.0575,468.81268,473.00827,473.96005
0.058,468.81268,473.00827,473.96005
0.0585,468.81268,473.00827,473.96005
0.059,468.81268,473.00827,473.96005
0.0595,468.81268,473.00827,473.96005
0.06,468.81268,473.00827,473.96005
0.0605,468.81268,473.00827,473.96005
0.061,468.81268,473.00827,473.96005
0.0615,468.81268,473.00827,473.96005
0.062,468.81268,472.50525,473.96005
0.0625,468.81268,472.50525,473.96005
0.063,468.81268,472.50525,473.96005
0.0635,468.81268,472.50525,473.96005
0.064,468.81268,472.50525,473.96005
0.0645,468.81268,472.50525,473.96005
0.065,468.81268,472.50525,473.96005
0.0655,468.81268,472.50525,473.96005
0.066,468.81268,472.50525,473.96005
0.0665,468.81268,472.50525,473.96005
0.067,468.81268,472.50525,473.96005
0.0675,468.81268,472.50525,473.96005
0.068,468.81268,472.50525,473.96005
0.0685,468.81268,472.50525,473.96005
0.069,468.81268,472.50525,473.96005
0.0695,468.81268,472.50525,473.96005
0.07,468.81268,472.50525,473.96005
0.0705,468.81268,472.50525,473.96005
0.071,468.81268,472.50525,473.96005
0.0715,468.25296,472.50525,473.74435
0.072,468.25296,472.50525,473.74435
0.0725,468.25296,472.50525,473.74435
0.073,468.25296,472.50525,473.74435
0.0735,468.25296,472.50525,473.74435
0.074,468.25296,472.50525,473.74435
0.0745,468.25296,472.50525,473.74435
0.075,468.25296,472.50525,473.74435
0.0755,468.25296,472.50525,473.74435
0.076,468.25296,472.50525,473.74435
0.0765,468.25296,472.50525,473.74435
0.077,468.25296,472.50525,473.74435
0.0775,468.25296,472.50525,473.74435
0.078,468.25296,472.50525,473.74435
0.0785,468.25296,472.50525,473.74435
0.079,468.25296,471.6319,473.74435
0.0795,468.25296,471.6319,473.74435
0.08,468.25296,471.6319,473.74435
0.0805,468.25296,471.6319,473.74435
0.081,468.25296,471.6319,473.74435
0.0815,468.25296,471.6319,473.74435
0.082,468.25296,471.6319,473.74435
0.0825,468.25296,471.6319,473.74435
0.083,468.25296,471.6319,473.74435
0.0835,468.25296,471.6319,473.74435
0.084,468.25296,471.6319,473.74435
0.0845,468.25296,471.6319,473.74435
0.085,468.25296,471.6319,473.74435
0.0855,468.25296,471.6319,473.74435
0.086,468.25296,471.6319,473.74435
0.0865,468.25296,471.6319,473.74435
0.087,468.25296,471.6319,473.74435
0.0875,468.25296,471.6319,473.74435
0.088,468.25296,471.6319,473.74435
0.0885,468.25296,471.6319,473.57822
0.089,468.1209,471.6319,473.57822
0.0895,468.1209,471.6319,473.57822
0.09,468.1209,471.6319,473.57822
0.0905,468.1209,471.6319,473.57822
0.091,468.1209,471.6319,473.57822
0.0915,468.1209,471.6319,473.57822
0.092,468.1209,471.6319,473.57822
0.0925,468.1209,471.6319,473.57822
0.093,468.1209,471.6319,473.57822
0.0935,468.1209,471.6319,473.57822
0.094,468.1209,471.6319,473.57822
0.0945,468.1209,471.6319,473.57822
0.095,468.1209,471.6319,473.57822
0.0955,468.1209,471.6319,473.57822
0.096,468.1209,471.6319,473.57822
0.0965,468.1209,472.78714,473.57822
0.097,468.1209,472.78714,473.57822
0.0975,468.1209,472.78714,473.57822
0.098,468.1209,472.78714,473.57822
0.0985,468.1209,472.78714,473.57822
0.099,468.1209,472.78714,473.57822
0.0995,468.1209,472.78714,473.57822
0.1,468.1209,472.78714,473.57822
0.1005,468.1209,472.78714,473.57822
0.101,468.1209,472.78714,473.57822
0.1015,468.1209,472.78714,473.57822
0.102,468.1209,472.78714,473.57822
0.1025,468.1209,472.78714,473.57822
0.103,468.1209,472.78714,473.57822
0.1035,468.1209,472.78714,473.57822
0.104,468.1209,472.78714,473.57822
0.1045,468.1209,472.78714,473.57822
0.105,468.1209,472.78714,473.57822
0.1055,468.1209,472.78714,473.57822
0.106,468.32382,472.78714,473.68408
0.1065,468.32382,472.78714,473.68408
0.107,468.32382,472.78714,473.68408
0.1075,468.32382,472.78714,473.68408
0.108,468.32382,472.78714,473.68408
0.1085,468.32382,472.78714,473.68408
0.109,468.32382,472.78714,473.68408
0.1095,468.32382,472.78714,473.68408
0.11,468.32382,472.78714,473.68408
0.1105,468.32382,472.78714,473.68408
0.111,468.32382,472.78714,473.68408
0.1115,468.32382,472.78714,473.68408
0.112,468.32382,472.78714,473.68408
0.1125,468.32382,472.78714,473.68408
0.113,468.32382,472.78714,473.68408
0.1135,468.32382,472.0426,473.68408
0.114,468.32382,472.0426,473.68408
0.1145,468.32382,472.0426,473.68408
0.115,468.32382,472.0426,473.68408
0.1155,468.32382,472.0426,473.68408
0.116,468.32382,472.0426,473.68408
0.1165,468.32382,472.0426,473.68408
0.117,468.32382,472.0426,473.68408
0.1175,468.32382,472.0426,473.68408
0.118,468.32382,472.0426,473.68408
0.1185,468.32382,472.0426,473.68408
0.119,468.32382,472.0426,473.68408
0.1195,468.32382,472.0426,473.68408
0.12,468.32382,472.0426,473.68408
0.1205,468.32382,472.0426,473.68408
0.121,468.32382,472.0426,473.68408
0.1215,468.32382,472.0426,473.68408
0.122,468.32382,472.0426,473.68408
0.1225,468.32382,472.0426,473.68408
0.123,468.32382,472.0426,473.44763
0.1235,467.81992,472.0426,473.44763
0.124,467.81992,472.0426,473.44763
0.1245,467.81992,472.0426,473.44763
0.125,467.81992,472.0426,473.44763
0.1255,467.81992,472.0426,473.44763
0.126,467.81992,472.0426,473.44763
0.1265,467.81992,472.0426,473.44763
0.127,467.81992,472.0426,473.44763
0.1275,467.81992,472.0426,473.44763
0.128,467.81992,472.0426,473.44763
0.1285,467.81992,472.0426,473.44763
0.129,467.81992,472.0426,473.44763
0.1295,467.81992,472.0426,473.44763
0.13,467.81992,472.0426,473.44763
0.1305,467.81992,471.42184,473.44763
0.131,467.81992,471.42184,473.44763
0.1315,467.81992,471.42184,473.44763
0.132,467.81992,471.42184,473.44763
0.1325,467.81992,471.42184,473.44763
0.133,467.81992,471.42184,473.44763
0.1335,467.81992,471.42184,473.44763
0.134,467.81992,471.42184,473.44763
0.1345,467.81992,471.42184,473.44763
0.135,467.81992,471.42184,473.44763
0.1355,467.81992,471.42184,473.44763
0.136,467.81992,471.42184,473.44763
0.1365,467.81992,471.42184,473.44763
0.137,467.81992,471.42184,473.44763
0.1375,467.81992,471.42184,473.44763
0.138,467.81992,471.42184,473.44763
0.1385,467.81992,471.42184,473.44763
0.139,467.81992,471.42184,473.44763
0.1395,467.81992,471.42184,473.44763
0.14,467.81992,471.42184,473.44763
0.1405,467.90536,471.42184,473.47382
0.141,467.90536,471.42184,473.47382
0.1415,467.90536,471.42184,473.47382
0.142,467.90536,471.42184,473.47382
0.1425,467.90536,471.42184,473.47382
0.143,467.90536,471.42184,473.47382
0.1435,467.90536,471.42184,473.47382
0.144,467.90536,471.42184,473.47382
0.1445,467.90536,471.42184,473.47382
0.145,467.90536,471.42184,473.47382
0.1455,467.90536,471.42184,473.47382
0.146,467.90536,471.42184,473.47382
0.1465,467.90536,471.42184,473.47382
0.147,467.90536,471.42184,473.47382
0.1475,467.90536,471.42184,473.47382
0.148,467.90536,472.47165,473.47382
0.1485,467.90536,472.47165,473.47382
0.149,467.90536,472.47165,473.47382
0.1495,467.90536,472.47165,473.47382
0.15,467.90536,472.47165,473.47382
0.1505,467.90536,472.47165,473.47382
0.151,467.90536,472.47165,473.47382
0.1515,467.90536,472.47165,473.47382
0.152,467.90536,472.47165,473.47382
0.1525,467.90536,472.47165,473.47382
0.153,467.90536,472.47165,473.47382
0.1535,467.90536,472.47165,473.47382
0.154,467.90536,472.47165,473.47382
0.1545,467.90536,472.47165,473.47382
0.155,467.90536,472.47165,473.47382
0.1555,467.90536,472.47165,473.47382
0.156,467.90536,472.47165,473.47382
0.1565,467.90536,472.47165,473.47382
0.157,467.90536,472.47165,473.47382
0.1575,467.8797,472.47165,473.4224
0.158,467.8797,472.47165,473.4224
0.1585,467.8797,472.47165,473.4224
0.159,467.8797,472.47165,473.4224
0.1595,467.8797,472.47165,473.4224
0.16,467.8797,472.47165,473.4224
0.1605,467.8797,472.47165,473.4224
0.161,467.8797,472.47165,473.4224
0.1615,467.8797,472.47165,473.4224
0.162,467.8797,472.47165,473.4224
0.1625,467.8797,472.47165,473.4224
0.163,467.8797,472.47165,473.4224
0.1635,467.8797,472.47165,473.4224
0.164,467.8797,472.47165,473.4224
0.1645,467.8797,472.47165,473.4224
0.165,467.8797,471.6896,473.4224
0.1655,467.8797,471.6896,473.4224
0.166,467.8797,471.6896,473.4224
0.1665,467.8797,471.6896,473.4224
0.167,467.8797,471.6896,473.4224
0.1675,467.8797,471.6896,473.4224
0.168,467.8797,471.6896,473.4224
0.1685,467.8797,471.6896,473.4224
0.169,467.8797,471.6896,473.4224
0.1695,467.8797,471.6896,473.4224
0.17,467.8797,471.6896,473.4224
0.1705,467.8797,471.6896,473.4224
0.171,467.8797,471.6896,473.4224
0.1715,467.8797,471.6896,473.4224
0.172,467.8797,471.6896,473.4224
0.1725,467.8797,471.6896,473.4224
0.173,467.8797,471.6896,473.4224
0.1735,467.8797,471.6896,473.4224
0.174,467.8797,471.6896,473.4224
0.1745,467.8797,471.6896,473.10205
0.175,467.36838,471.6896,473.10205
0.1755,467.36838,471.6896,473.10205
0.176,467.36838,471.6896,473.10205
0.1765,467.36838,471.6896,473.10205
0.177,467.36838,471.6896,473.10205
0.1775,467.36838,471.6896,473.10205
0.178,467.36838,471.6896,473.10205
0.1785,467.36838,471.6896,473.10205
0.179,467.36838,471.6896,473.10205
0.1795,467.36838,471.6896,473.10205
0.18,467.36838,471.6896,473.10205
0.1805,467.36838,471.6896,473.10205
0.181,467.36838,471.6896,473.10205
0.1815,467.36838,471.6896,473.10205
0.182,467.36838,471.6896,473.10205
0.1825,467.36838,471.1589,473.10205
0.183,467.36838,471.1589,473.10205
0.1835,467.36838,471.1589,473.10205
0.184,467.36838,471.1589,473.10205
0.1845,467.36838,471.1589,473.10205
0.185,467.36838,471.1589,473.10205
0.1855,467.36838,471.1589,473.10205
0.186,467.36838,471.1589,473.10205
0.1865,467.36838,471.1589,473.10205
0.187,467.36838,471.1589,473.10205
0.1875,467.36838,471.1589,473.10205
0.188,467.36838,471.1589,473.10205
0.1885,467.36838,471.1589,473.10205
0.189,467.36838,471.1589,473.10205
0.1895,467.36838,471.1589,473.10205
0.19,467.36838,471.1589,473.10205
0.1905,467.36838,471.1589,473.10205
0.191,467.36838,471.1589,473.10205
0.1915,467.36838,471.1589,473.10205
0.192,467.59143,471.1589,473.2159
0.1925,467.59143,471.1589,473.2159
0.193,467.59143,471.1589,473.2159
0.1935,467.59143,471.1589,473.2159
0.194,467.59143,471.1589,473.2159
0.1945,467.59143,471.1589,473.2159
0.195,467.59143,471.1589,473.2159
0.1955,467.59143,471.1589,473.2159
0.196,467.59143,471.1589,473.2159
0.1965,467.59143,471.1589,473.2159
0.197,467.59143,471.1589,473.2159
0.1975,467.59143,471.1589,473.2159
0.198,467.59143,471.1589,473.2159
0.1985,467.59143,471.1589,473.2159
0.199,467.59143,471.1589,473.2159
0.1995,467.59143,472.03583,473.2159
0.2,467.59143,472.03583,473.2159
0.2005,467.59143,472.03583,473.2159
0.201,467.59143,472.03583,473.2159
0.2015,467.59143,472.03583,473.2159
0.202,467.59143,472.03583,473.2159
0.2025,467.59143,472.03583,473.2159
0.203,467.59143,472.03583,473.2159
0.2035,467.59143,472.03583,473.2159
0.204,467.59143,472.03583,473.2159
0.2045,467.59143,472.03583,473.2159
0.205,467.59143,472.03583,473.2159
0.2055,467.59143,472.03583,473.2159
0.206,467.59143,472.03583,473.2159
0.2065,467.59143,472.03583,473.2159
0.207,467.59143,472.03583,473.2159
0.2075,467.59143,472.03583,473.2159
0.208,467.59143,472.03583,473.2159
0.2085,467.59143,472.03583,473.2159
0.209,467.59143,472.03583,473.2096
0.2095,467.5555,472.03583,473.2096
0.21,467.5555,472.03583,473.2096
0.2105,467.5555,472.03583,473.2096
0.211,467.5555,472.03583,473.2096
0.2115,467.5555,472.03583,473.2096
0.212,467.5555,472.03583,473.2096
0.2125,467.5555,472.03583,473.2096
0.213,467.5555,472.03583,473.2096
0.2135,467.5555,472.03583,473.2096
0.214,467.5555,472.03583,473.2096
0.2145,467.5555,472.03583,473.2096
0.215,467.5555,472.03583,473.2096
0.2155,467.5555,472.03583,473.2096
0.216,467.5555,472.03583,473.2096
0.2165,467.5555,471.50955,473.2096
0.217,467.5555,471.50955,473.2096
0.2175,467.5555,471.50955,473.2096
0.218,467.5555,471.50955,473.2096
0.2185,467.5555,471.50955,473.2096
0.219,467.5555,471.50955,473.2096
0.2195,467.5555,471.50955,473.2096
0.22,467.5555,471.50955,473.2096
0.2205,467.5555,471.50955,473.2096
0.221,467.5555,471.50955,473.2096
0.2215,467.5555,471.50955,473.2096
0.222,467.5555,471.50955,473.2096
0.2225,467.5555,471.50955,473.2096
0.223,467.5555,471.50955,473.2096
0.2235,467.5555,471.50955,473.2096
0.224,467.5555,471.50955,473.2096
0.2245,467.5555,471.50955,473.2096
0.225,467.5555,471.50955,473.2096
0.2255,467.5555,471.50955,473.2096
0.226,467.5555,471.50955,473.2096
0.2265,467.1427,471.50955,472.94894
0.227,467.1427,471.50955,472.94894
0.2275,467.1427,471.50955,472.94894
0.228,467.1427,471.50955,472.94894
0.2285,467.1427,471.50955,472.94894
0.229,467.1427,471.50955,472.94894
0.2295,467.1427,471.50955,472.94894
0.23,467.1427,471.50955,472.94894
0.2305,467.1427,471.50955,472.94894
0.231,467.1427,471.50955,472.94894
0.2315,467.1427,471.50955,472.94894
0.232,467.1427,471.50955,472.94894
0.2325,467.1427,471.50955,472.94894
0.233,467.1427,471.50955,472.94894
0.2335,467.1427,471.50955,472.94894
0.234,467.1427,466.41153,472.94894
0.2345,467.1427,466.41153,472.94894
0.235,467.1427,466.41153,472.94894
0.2355,467.1427,466.41153,472.94894
0.236,467.1427,466.41153,472.94894
0.2365,467.1427,466.41153,472.94894
0.237,467.1427,466.41153,472.94894
0.2375,467.1427,466.41153,472.94894
0.238,467.1427,466.41153,472.94894
0.2385,467.1427,466.41153,472.94894
0.239,467.1427,466.41153,472.94894
0.2395,467.1427,466.41153,472.94894
0.24,467.1427,466.41153,472.94894
0.2405,467.1427,466.41153,472.94894
0.241,467.1427,466.41153,472.94894
0.2415,467.1427,466.41153,472.94894
0.242,467.1427,466.41153,472.94894
0.2425,467.1427,466.41153,472.94894
0.243,467.1427,466.41153,428.16968
0.2435,419.46402,466.41153,428.16968
0.244,419.46402,466.41153,428.16968
0.2445,419.46402,466.41153,428.16968
0.245,419.46402,466.41153,428.16968
0.2455,419.46402,466.41153,428.16968
0.246,419.46402,466.41153,428.16968
0.2465,419.46402,466.41153,428.16968
0.247,419.46402,466.41153,428.16968
0.2475,419.46402,466.41153,428.16968
0.248,419.46402,466.41153,428.16968
0.2485,419.46402,466.41153,428.16968
0.249,419.46402,466.41153,428.16968
0.2495,419.46402,466.41153,428.16968
0.25,419.46402,466.41153,428.16968
0.2505,419.46402,466.41153,428.16968
0.251,419.46402,406.19052,428.16968
0.2515,419.46402,406.19052,428.16968
0.252,419.46402,406.19052,428.16968
0.2525,419.46402,406.19052,428.16968
0.253,419.46402,406.19052,428.16968
0.2535,419.46402,406.19052,428.16968
0.254,419.46402,406.19052,428.16968
0.2545,419.46402,406.19052,428.16968
0.255,419.46402,406.19052,428.16968
0.2555,419.46402,406.19052,428.16968
0.256,419.46402,406.19052,428.16968
0.2565,419.46402,406.19052,428.16968
0.257,419.46402,406.19052,428.16968
0.2575,419.46402,406.19052,428.16968
0.258,419.46402,406.19052,428.16968
0.2585,419.46402,406.19052,428.16968
0.259,419.46402,406.19052,428.16968
0.2595,419.46402,406.19052,428.16968
0.26,419.46402,406.19052,428.16968
0.2605,419.46402,406.19052,410.54175
0.261,403.7378,406.19052,410.54175
0.2615,403.7378,406.19052,410.54175
0.262,403.7378,406.19052,410.54175
0.2625,403.7378,406.19052,410.54175
0.263,403.7378,406.19052,410.54175
0.2635,403.7378,406.19052,410.54175
0.264,403.7378,406.19052,410.54175
0.2645,403.7378,406.19052,410.54175
0.265,403.7378,406.19052,410.54175
0.2655,403.7378,406.19052,410.54175
0.266,403.7378,406.19052,410.54175
0.2665,403.7378,406.19052,410.54175
0.267,403.7378,406.19052,410.54175
0.2675,403.7378,406.19052,410.54175
0.268,403.7378,406.19052,410.54175
0.2685,403.7378,411.94016,410.54175
0.269,403.7378,411.94016,410.54175
0.2695,403.7378,411.94016,410.54175
0.27,403.7378,411.94016,410.54175
0.2705,403.7378,411.94016,410.54175
0.271,403.7378,411.94016,410.54175
0.2715,403.7378,411.94016,410.54175
0.272,403.7378,411.94016,410.54175
0.2725,403.7378,411.94016,410.54175
0.273,403.7378,411.94016,410.54175
0.2735,403.7378,411.94016,410.54175
0.274,403.7378,411.94016,410.54175
0.2745,403.7378,411.94016,410.54175
0.275,403.7378,411.94016,410.54175
0.2755,403.7378,411.94016,410.54175
0.276,403.7378,411.94016,410.54175
0.2765,403.7378,411.94016,410.54175
0.277,403.7378,411.94016,410.54175
0.2775,403.7378,411.94016,410.54175
0.278,403.7378,411.94016,413.51126
0.2785,413.54208,411.94016,413.51126
0.279,413.54208,411.94016,413.51126
0.2795,413.54208,411.94016,413.51126
0.28,413.54208,411.94016,413.51126
0.2805,413.54208,411.94016,413.51126
