Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,470.02954,474.00397,477.53708
0.0005,470.02954,474.00397,477.53708
0.001,470.02954,474.00397,479.79855
0.0015,470.02954,474.00397,479.79855
0.002,470.02954,474.00397,479.79855
0.0025,470.02954,474.00397,479.79855
0.003,470.02954,474.00397,479.79855
0.0035,470.02954,474.00397,479.79855
0.004,470.02954,474.00397,479.79855
0.0045,470.02954,474.00397,479.79855
0.005,470.02954,474.00397,479.79855
0.0055,470.02954,474.00397,479.79855
0.006,470.02954,474.00397,479.79855
0.0065,470.02954,474.00397,479.79855
0.007,477.64575,474.00397,479.79855
0.0075,477.64575,474.00397,479.79855
0.008,477.64575,474.00397,479.79855
0.0085,477.64575,474.00397,479.79855
0.009,477.64575,474.00397,479.79855
0.0095,477.64575,474.00397,479.79855
0.01,477.64575,474.00397,479.79855
0.0105,477.64575,474.00397,479.79855
0.011,477.64575,474.00397,479.79855
0.0115,477.64575,474.00397,479.79855
0.012,477.64575,474.00397,479.79855
0.0125,477.64575,474.00397,479.79855
0.013,477.64575,474.00397,479.79855
0.0135,477.64575,474.00397,479.79855
0.014,477.64575,476.1664,479.79855
0.0145,477.64575,476.1664,479.79855
0.015,477.64575,476.1664,479.79855
0.0155,477.64575,476.1664,479.79855
0.016,477.64575,476.1664,479.79855
0.0165,477.64575,476.1664,479.79855
0.017,477.64575,476.1664,479.79855
0.0175,477.64575,476.1664,479.79855
0.018,477.64575,476.1664,479.15726
0.0185,477.64575,476.1664,479.15726
0.019,477.64575,476.1664,479.15726
0.0195,477.64575,476.1664,479.15726
0.02,477.64575,476.1664,479.15726
0.0205,477.64575,476.1664,479.15726
0.021,477.64575,476.1664,479.15726
0.0215,477.64575,476.1664,479.15726
0.022,477.64575,476.1664,479.15726
0.0225,477.64575,476.1664,479.15726
0.023,477.64575,476.1664,479.15726
0.0235,477.64575,476.1664,479.15726
0.024,472.76376,476.1664,479.15726
0.0245,472.76376,476.1664,479.15726
0.025,472.76376,476.1664,479.15726
0.0255,472.76376,476.1664,479.15726
0.026,472.76376,476.1664,479.15726
0.0265,472.76376,476.1664,479.15726
0.027,472.76376,476.1664,479.15726
0.0275,472.76376,476.1664,479.15726
0.028,472.76376,476.1664,479.15726
0.0285,472.76376,476.1664,479.15726
0.029,472.76376,476.1664,479.15726
0.0295,472.76376,476.1664,479.15726
0.03,472.76376,476.1664,479.15726
0.0305,472.76376,476.1664,479.15726
0.031,472.76376,476.1664,479.15726
0.0315,472.76376,473.27234,479.15726
0.032,472.76376,473.27234,479.15726
0.0325,472.76376,473.27234,479.15726
0.033,472.76376,473.27234,479.15726
0.0335,472.76376,473.27234,479.15726
0.034,472.76376,473.27234,479.15726
0.0345,472.76376,473.27234,479.15726
0.035,472.76376,473.27234,479.15726
0.0355,472.76376,473.27234,476.09482
0.036,472.76376,473.27234,476.09482
0.0365,472.76376,473.27234,476.09482
0.037,472.76376,473.27234,476.09482
0.0375,472.76376,473.27234,476.09482
0.038,472.76376,473.27234,476.09482
0.0385,472.76376,473.27234,476.09482
0.039,472.76376,473.27234,476.09482
0.0395,472.76376,473.27234,476.09482
0.04,472.76376,473.27234,476.09482
0.0405,472.76376,473.27234,476.09482
