Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,464.12067,467.61795,469.4946
0.0005,464.12067,467.61795,469.4946
0.001,464.12067,467.41907,469.4946
0.0015,464.12067,467.41907,469.4946
0.002,464.12067,467.41907,469.4946
0.0025,464.12067,467.41907,469.4946
0.003,464.12067,467.41907,469.4946
0.0035,464.12067,467.41907,469.4946
0.004,464.12067,467.41907,469.4357
0.0045,464.12067,467.41907,469.4357
0.005,464.12067,467.41907,469.4357
0.0055,464.12067,467.41907,469.4357
0.006,464.12067,467.41907,469.4357
0.0065,464.12067,467.41907,469.4357
0.007,464.12067,467.41907,469.4357
0.0075,464.12067,467.41907,469.4357
0.008,464.12067,467.41907,469.4357
0.0085,464.12067,467.41907,469.4357
0.009,464.12067,467.41907,469.4357
0.0095,463.99182,467.41907,469.4357
0.01,463.99182,467.41907,469.4357
0.0105,463.99182,467.41907,469.4357
0.011,463.99182,467.41907,469.4357
0.0115,463.99182,467.41907,469.4357
0.012,463.99182,467.41907,469.4357
0.0125,463.99182,467.41907,469.4357
0.013,463.99182,467.41907,469.4357
0.0135,463.99182,467.41907,469.4357
0.014,463.99182,467.41907,469.4357
0.0145,463.99182,467.41907,469.4357
0.015,463.99182,467.41907,469.4357
0.0155,463.99182,467.41907,469.4357
0.016,463.99182,467.41907,469.4357
0.0165,463.99182,467.41907,469.4357
0.017,463.99182,467.41907,469.4357
0.0175,463.99182,467.41907,469.4357
0.018,463.99182,467.4197,469.4357
0.0185,463.99182,467.4197,469.4357
0.019,463.99182,467.4197,469.4357
0.0195,463.99182,467.4197,469.4357
0.02,463.99182,467.4197,469.4357
0.0205,463.99182,467.4197,469.4357
0.021,463.99182,467.4197,469.4357
0.0215,463.99182,467.4197,469.7753
0.022,463.99182,467.4197,469.7753
0.0225,463.99182,467.4197,469.7753
0.023,463.99182,467.4197,469.7753
0.0235,463.99182,467.4197,469.7753
0.024,463.99182,467.4197,469.7753
0.0245,463.99182,467.4197,469.7753
0.025,463.99182,467.4197,469.7753
0.0255,463.99182,467.4197,469.7753
0.026,463.99182,467.4197,469.7753
0.0265,464.32925,467.4197,469.7753
0.027,464.32925,467.4197,469.7753
0.0275,464.32925,467.4197,469.7753
0.028,464.32925,467.4197,469.7753
0.0285,464.32925,467.4197,469.7753
0.029,464.32925,467.4197,469.7753
0.0295,464.32925,467.4197,469.7753
0.03,464.32925,467.4197,469.7753
0.0305,464.32925,467.4197,469.7753
0.031,464.32925,467.4197,469.7753
0.0315,464.32925,467.4197,469.7753
0.032,464.32925,467.4197,469.7753
0.0325,464.32925,467.4197,469.7753
0.033,464.32925,467.4197,469.7753
0.0335,464.32925,467.4197,469.7753
0.034,464.32925,467.4197,469.7753
0.0345,464.32925,467.4197,469.7753
0.035,464.32925,467.4197,469.7753
0.0355,464.32925,467.39575,469.7753
0.036,464.32925,467.39575,469.7753
0.0365,464.32925,467.39575,469.7753
0.037,464.32925,467.39575,469.7753
0.0375,464.32925,467.39575,469.7753
0.038,464.32925,467.39575,469.7753
0.0385,464.32925,467.39575,469.7356
0.039,464.32925,467.39575,469.7356
0.0395,464.32925,467.39575,469.7356
0.04,464.32925,467.39575,469.7356
0.0405,464.32925,467.39575,469.7356
0.041,464.32925,467.39575,469.7356
0.0415,464.32925,467.39575,469.7356
0.042,464.32925,467.39575,469.7356
0.0425,464.32925,467.39575,469.7356
0.043,464.32925,467.39575,469.7356
0.0435,464.32925,467.39575,469.7356
0.044,464.18124,467.39575,469.7356
0.0445,464.18124,467.39575,469.7356
0.045,464.18124,467.39575,469.7356
0.0455,464.18124,467.39575,469.7356
0.046,464.18124,467.39575,469.7356
0.0465,464.18124,467.39575,469.7356
0.047,464.18124,467.39575,469.7356
0.0475,464.18124,467.39575,469.7356
0.048,464.18124,467.39575,469.7356
0.0485,464.18124,467.39575,469.7356
0.049,464.18124,467.39575,469.7356
0.0495,464.18124,467.39575,469.7356
0.05,464.18124,467.39575,469.7356
0.0505,464.18124,467.39575,469.7356
0.051,464.18124,467.39575,469.7356
0.0515,464.18124,467.39575,469.7356
0.052,464.18124,467.39575,469.7356
0.0525,464.18124,467.09778,469.7356
0.053,464.18124,467.09778,469.7356
0.0535,464.18124,467.09778,469.7356
0.054,464.18124,467.09778,469.7356
0.0545,464.18124,467.09778,469.7356
0.055,464.18124,467.09778,469.7356
0.0555,464.18124,467.09778,469.5444
0.056,464.18124,467.09778,469.5444
0.0565,464.18124,467.09778,469.5444
0.057,464.18124,467.09778,469.5444
0.0575,464.18124,467.09778,469.5444
0.058,464.18124,467.09778,469.5444
0.0585,464.18124,467.09778,469.5444
0.059,464.18124,467.09778,469.5444
0.0595,464.18124,467.09778,469.5444
0.06,464.18124,467.09778,469.5444
0.0605,464.18124,467.09778,469.5444
0.061,464.0415,467.09778,469.5444
0.0615,464.0415,467.09778,469.5444
0.062,464.0415,467.09778,469.5444
0.0625,464.0415,467.09778,469.5444
0.063,464.0415,467.09778,469.5444
0.0635,464.0415,467.09778,469.5444
0.064,464.0415,467.09778,469.5444
0.0645,464.0415,467.09778,469.5444
0.065,464.0415,467.09778,469.5444
0.0655,464.0415,467.09778,469.5444
0.066,464.0415,467.09778,469.5444
0.0665,464.0415,467.09778,469.5444
0.067,464.0415,467.09778,469.5444
0.0675,464.0415,467.09778,469.5444
0.068,464.0415,467.09778,469.5444
0.0685,464.0415,467.09778,469.5444
0.069,464.0415,467.09778,469.5444
0.0695,464.0415,467.152,469.5444
0.07,464.0415,467.152,469.5444
0.0705,464.0415,467.152,469.5444
0.071,464.0415,467.152,469.5444
0.0715,464.0415,467.152,469.5444
0.072,464.0415,467.152,469.5444
0.0725,464.0415,467.152,469.5444
0.073,464.0415,467.152,469.734
0.0735,464.0415,467.152,469.734
0.074,464.0415,467.152,469.734
0.0745,464.0415,467.152,469.734
0.075,464.0415,467.152,469.734
0.0755,464.0415,467.152,469.734
0.076,464.0415,467.152,469.734
0.0765,464.0415,467.152,469.734
0.077,464.0415,467.152,469.734
0.0775,464.0415,467.152,469.734
0.078,464.0415,467.152,469.734
0.0785,464.20514,467.152,469.734
0.079,464.20514,467.152,469.734
0.0795,464.20514,467.152,469.734
0.08,464.20514,467.152,469.734
0.0805,464.20514,467.152,469.734
0.081,464.20514,467.152,469.734
0.0815,464.20514,467.152,469.734
0.082,464.20514,467.152,469.734
0.0825,464.20514,467.152,469.734
0.083,464.20514,467.152,469.734
0.0835,464.20514,467.152,469.734
0.084,464.20514,467.152,469.734
0.0845,464.20514,467.152,469.734
0.085,464.20514,467.152,469.734
0.0855,464.20514,467.152,469.734
0.086,464.20514,467.152,469.734
0.0865,464.20514,467.152,469.734
0.087,464.20514,467.02377,469.734
0.0875,464.20514,467.02377,469.734
0.088,464.20514,467.02377,469.734
0.0885,464.20514,467.02377,469.734
0.089,464.20514,467.02377,469.734
0.0895,464.20514,467.02377,469.734
0.09,464.20514,467.02377,469.63358
0.0905,464.20514,467.02377,469.63358
0.091,464.20514,467.02377,469.63358
0.0915,464.20514,467.02377,469.63358
0.092,464.20514,467.02377,469.63358
0.0925,464.20514,467.02377,469.63358
0.093,464.20514,467.02377,469.63358
0.0935,464.20514,467.02377,469.63358
0.094,464.20514,467.02377,469.63358
0.0945,464.20514,467.02377,469.63358
0.095,464.20514,467.02377,469.63358
0.0955,464.14322,467.02377,469.63358
0.096,464.14322,467.02377,469.63358
0.0965,464.14322,467.02377,469.63358
0.097,464.14322,467.02377,469.63358
0.0975,464.14322,467.02377,469.63358
0.098,464.14322,467.02377,469.63358
0.0985,464.14322,467.02377,469.63358
0.099,464.14322,467.02377,469.63358
0.0995,464.14322,467.02377,469.63358
0.1,464.14322,467.02377,469.63358
0.1005,464.14322,467.02377,469.63358
0.101,464.14322,467.02377,469.63358
0.1015,464.14322,467.02377,469.63358
0.102,464.14322,467.02377,469.63358
0.1025,464.14322,467.02377,469.63358
0.103,464.14322,467.02377,469.63358
0.1035,464.14322,467.02377,469.63358
0.104,464.14322,466.80432,469.63358
0.1045,464.14322,466.80432,469.63358
0.105,464.14322,466.80432,469.63358
0.1055,464.14322,466.80432,469.63358
0.106,464.14322,466.80432,469.63358
0.1065,464.14322,466.80432,469.63358
0.107,464.14322,466.80432,469.63358
0.1075,464.14322,466.80432,469.37653
