Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,111899.81,23396.29,-18124.824,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0005,115693.76,26385.662,-16854.867,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.001,118267.72,28361.531,-16031.414,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0015,122110.22,31229.154,-14907.913,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.002,124605.19,33040.984,-14270.843,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0025,102713.52,31007.604,30251.908,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.003,99467.85,30625.354,38055.184,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0035,97156.02,38884.242,65934.22,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.004,99697.26,51795.44,95213.58,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0045,110100.695,81048.3,152214.42,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.005,120481.06,105206.41,195454.08,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0055,139431.45,144734.69,260332.02,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.006,153481.66,171296.78,299312.06,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0065,175079.69,208602.55,346933.88,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.007,188696.78,230472.97,370947.72,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.0075,206287.2,257148.03,397072.94,-5271.324,-6139.704,-5476.9556,202.97643,161.2942,193.10612
0.008,215683.44,270387.06,409586.06,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0085,226285.94,283740.78,424030.2,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.009,231138.03,289165.3,432291.4,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0095,235137.7,294184.28,444483.0,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.01,235768.25,296502.22,453060.4,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0105,234531.55,299477.34,466785.0,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.011,233059.42,301373.25,476237.25,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0115,231291.33,304419.9,490085.4,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.012,230962.52,306892.16,498646.22,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0125,232080.95,311829.78,509995.44,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.013,233844.58,316118.0,516515.78,-5271.324,-6139.704,-3121.7717,202.97643,161.2942,306.15497
0.0135,237759.31,323890.47,524969.0,-5271.324,-2157.6255,-3121.7717,202.97643,352.434,306.15497
0.014,241062.86,329697.2,529966.44,-5271.324,-2157.6255,-3121.7717,202.97643,352.434,306.15497
0.0145,246831.58,338823.6,536916.5,-5271.324,-2157.6255,-3121.7717,202.97643,352.434,306.15497
0.015,251103.86,344968.47,541339.8,-5271.324,-2157.6255,-3121.7717,202.97643,352.434,306.15497
0.0155,257985.83,354098.0,547724.8,-5271.324,-2157.6255,-3121.7717,202.97643,352.434,306.15497
