Time;Q_level_1;.Q_level_2;Q_level_3;Voltage_diff_1;Voltage_diff_2;Voltage_diff_3; Meter1.VLn_RMS; Meter2.VLn_RMS; Meter3.VLn_RMS
0;154379.73;88038.58;-177654.83;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.0005;154128.02;88345.04;-177230.77;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.001;154051.67;88438.85;-176962.25;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.0015;154041.06;88387.336;-176583.47;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.002;154067.9;88234.96;-176346.7;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.0025;154087.47;87886.25;-176018.28;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.003;154052.42;87617.36;-175821.9;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.0035;153897.98;87226.46;-175568.86;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.004;153723.27;87002.74;-175426.2;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.0045;153357.12;86754.914;-175231.61;-619.9721;-1109.244;-885.5515;533.75867;557.2437;546.5065
0.005;153050.95;86659.58;-175098.75;-619.9721;-719.02203;-885.5515;533.75867;538.51306;546.5065
0.0055;152516.64;86631.75;-174869.39;-619.9721;-719.02203;-885.5515;533.75867;538.51306;546.5065
0.006;152125.52;86689.02;-174684.05;-619.9721;-719.02203;-885.5515;533.75867;538.51306;546.5065
0.0065;151526.53;86869.234;-174345.44;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.007;151148.7;87029.2;-174078.55;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0075;150666.28;87275.39;-173625.34;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.008;150423.95;87411.84;-173298.73;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0085;150200.22;87530.984;-172800.42;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.009;150143.02;87536.93;-172483.36;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0095;150186.14;87423.42;-172068.23;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.01;150281.9;87268.63;-171849.73;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0105;150481.88;86939.22;-171625.3;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.011;150621.36;86676.61;-171543.8;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0115;150784.9;86267.305;-171508.03;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.012;150835.11;86015.766;-171526.86;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0125;150787.28;85721.54;-171587.08;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.013;150662.48;85604.82;-171627.55;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0135;150334.05;85574.586;-171651.34;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.014;150020.27;85655.02;-171622.31;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0145;149443.3;85913.32;-171484.67;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.015;149030.95;86158.49;-171321.81;-231.44368;-719.02203;-885.5515;515.1093;538.51306;546.5065
0.0155;148397.08;86588.51;-170971.19;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.016;147997.08;86883.92;-170674.84;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0165;147475.45;87283;-170161.55;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.017;147192.36;87490.15;-169792.5;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0175;146870.92;87675.34;-169234.86;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.018;146723.22;87703.945;-168881.39;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0185;146581.4;87605.63;-168409.78;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.019;146520.67;87458.1;-168147.19;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0195;146442.81;87150.61;-167840.66;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.02;146376.84;86915.94;-167692.06;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0205;146219.89;86571.97;-167535;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.021;146058.6;86377.45;-167456.05;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.0215;145721.28;86175.58;-167342.03;-231.44368;-719.02203;-580.3193;515.1093;538.51306;531.85535
0.022;145439.94;86113.1;-167252.44;-231.44368;-435.65463;-580.3193;515.1093;524.91144;531.85535
0.0225;144960.77;86131.18;-167077.66;-231.44368;-435.65463;-580.3193;515.1093;524.91144;531.85535
0.023;144626.64;86209.38;-166926.5;-231.44368;-435.65463;-580.3193;515.1093;524.91144;531.85535
0.0235;144148.86;86395.01;-166640.7;-231.44368;-435.65463;-580.3193;515.1093;524.91144;531.85535
0.024;143873.23;86538.33;-166412.23;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0245;143567.53;86730.914;-166028.1;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.025;143453.69;86815.836;-165760.45;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0255;143427.39;86842.125;-165375.23;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.026;143497.86;86781.93;-165148.14;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0265;143702.8;86576.07;-164877.69;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.027;143880.31;86371.77;-164753.73;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0275;144161.42;85995.16;-164658.78;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.028;144331.62;85721.414;-164653.84;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0285;144512.86;85326.37;-164718.06;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.029;144561.22;85103.78;-164792.77;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
