Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,103938.53,107113.05,-130644.24,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.0005,103904.086,107109.97,-130391.78,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.001,104001.79,106956.91,-130031.94,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.0015,104153.29,106757.44,-129823.805,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.002,104469.25,106335.91,-129585.125,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.0025,104709.0,105997.61,-129484.234,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.003,105055.67,105457.74,-129423.55,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.0035,105245.43,105110.74,-129437.71,0.0,-282.56128,-525.0501,485.95642,517.5629,529.2024
0.004,105410.36,104667.96,-129516.21,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0045,105427.66,104452.0,-129587.28,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.005,105293.586,104275.57,-129686.65,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0055,105097.56,104261.766,-129731.27,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.006,104719.31,104386.055,-129743.4,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0065,101424.67,98716.336,-125451.39,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.007,98137.74,91507.28,-120216.47,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0075,96346.78,89711.42,-116598.12,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.008,89512.766,85899.67,-102904.63,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0085,81840.75,83000.61,-86858.164,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.009,65509.76,79935.43,-53868.516,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0095,50934.363,80130.24,-27896.088,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.01,22694.83,85435.37,14331.126,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0105,293.5884,92260.41,43660.918,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.011,-34493.797,105574.41,87307.445,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.0115,-55423.152,115053.195,114364.41,0.0,-282.56128,-284.55035,485.95642,517.5629,517.6584
0.012,-80507.28,128435.945,148998.45,0.0,0.0,-284.55035,485.95642,460.3485,517.6584
0.0125,-93372.88,136451.2,167426.36,0.0,0.0,-284.55035,485.95642,460.3485,517.6584
0.013,-109223.8,146961.44,188985.97,0.0,0.0,-284.55035,485.95642,460.3485,517.6584
0.0135,-118435.41,152653.86,200548.55,0.0,0.0,-284.55035,485.95642,460.3485,517.6584
