Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,206049.33,45403.93,-157493.9,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0005,205893.72,45203.86,-157414.3,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.001,205732.53,45051.984,-157418.34,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0015,205431.73,44833.812,-157523.98,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.002,205211.89,44712.77,-157663.7,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0025,204890.0,44597.324,-157969.27,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.003,204702.53,44574.973,-158225.98,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0035,204495.25,44628.684,-158659.56,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.004,204423.4,44717.047,-158958.62,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0045,204433.4,44910.266,-159383.17,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.005,204516.31,45063.664,-159631.34,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0055,204744.31,45299.656,-159931.64,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.006,204948.58,45442.477,-160080.44,-362.7631,-338.99197,-216.0553,438.58737,439.7284,445.62933
0.0065,205292.86,45604.082,-160232.16,-362.7631,-338.99197,-106.109825,438.58737,439.7284,450.90674
0.007,205523.2,45661.688,-160294.78,-362.7631,-338.99197,-106.109825,438.58737,439.7284,450.90674
0.0075,205825.9,45657.863,-160352.36,-362.7631,-232.24442,-106.109825,438.58737,444.85226,450.90674
0.008,205980.67,45592.93,-160381.62,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0085,206117.83,45408.473,-160438.42,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.009,206141.94,45238.523,-160498.67,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0095,206084.06,44941.16,-160638.77,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.01,205992.78,44734.695,-160769.05,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0105,205809.0,44447.188,-161015.31,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.011,205673.02,44288.78,-161204.3,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0115,205477.81,44125.63,-161497.89,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.012,205372.1,44072.605,-161682.5,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0125,205280.97,44069.035,-161915.5,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.013,205271.72,44106.23,-162029.67,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0135,205332.92,44197.688,-162122.0,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.014,205412.02,44266.68,-162124.75,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0145,205556.48,44355.902,-162041.4,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.015,205649.92,44391.355,-161936.56,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0155,205753.31,44387.637,-161735.42,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.016,205780.97,44340.99,-161593.89,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0165,205737.81,44205.84,-161408.72,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.017,205646.36,44079.65,-161323.34,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0175,205420.86,43856.51,-161280.03,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.018,205224.61,43701.453,-161318.17,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0185,204892.66,43490.094,-161482.39,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.019,204667.55,43381.49,-161659.77,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0195,204361.52,43291.277,-162009.19,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.02,204199.88,43288.023,-162281.61,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0205,204052.06,43369.027,-162715.81,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.021,204028.16,43472.824,-163001.14,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0215,204111.03,43678.703,-163390.88,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.022,204239.03,43831.9,-163610.88,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0225,204514.6,44052.363,-163865.33,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.023,204733.19,44172.914,-163983.6,-262.47452,-232.24442,-106.109825,443.4012,444.85226,450.90674
0.0235,205072.53,44285.504,-164094.4,-262.47452,-232.24442,-88.23995,443.4012,444.85226,451.7645
0.024,205281.75,44302.43,-164135.5,-262.47452,-232.24442,-88.23995,443.4012,444.85226,451.7645
0.0245,205533.52,44231.766,-164174.03,-262.47452,-232.24442,-88.23995,443.4012,444.85226,451.7645
0.025,205643.34,44122.707,-164200.72,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0255,205709.77,43884.285,-164268.14,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.026,205688.33,43690.465,-164343.08,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0265,205573.4,43379.668,-164510.67,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.027,205457.05,43178.746,-164658.89,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0275,205253.78,42920.4,-164924.61,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.028,205117.05,42793.348,-165115.4,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0285,204944.45,42684.08,-165390.84,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.029,204864.86,42664.43,-165549.4,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0295,204824.92,42700.18,-165726.22,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.03,204850.08,42753.793,-165794.69,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0305,204951.75,42853.19,-165813.95,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.031,205046.47,42916.43,-165769.42,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0315,205194.34,42979.29,-165626.23,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.032,205275.38,42987.086,-165492.83,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0325,205349.58,42941.223,-165273.69,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.033,205622.33,42979.41,-165334.17,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
0.0335,207693.92,43808.2,-167958.22,-233.98772,-201.42583,-88.23995,444.7686,446.33157,451.7645
