Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,603247.6,739513.1,421067.72,560.18945,402.68655,544.1014,39.99367,30.012815,52.122013,21.203398,-56.362164,-25.462744
0.0005,599378.8,736299.75,416373.88,560.18945,402.68655,544.1014,40.271046,29.479155,52.25193,20.66633,-55.68935,-25.573246
0.001,596330.75,733557.6,412909.22,560.18945,402.68655,544.1014,40.447807,29.071356,52.325985,20.27217,-55.092075,-25.634035
0.0015,591058.6,728570.56,407272.2,425.028,402.68655,544.1014,40.6883,28.39095,52.41038,19.637463,-54.20973,-25.88671
0.002,587107.75,724684.94,403263.72,425.028,402.68655,544.1014,40.823425,27.898216,52.447533,19.190945,-53.48963,-26.08607
0.0025,580606.06,718107.56,396948.22,425.028,402.68655,544.1014,40.983807,27.115889,52.473877,18.495123,-52.45695,-26.507814
0.003,575936.6,713297.94,392575.34,425.028,402.68655,544.1014,41.05998,26.574522,52.472713,18.018064,-51.69645,-26.86249
0.0035,568542.06,705547.9,385826.4,425.028,402.68655,544.1014,41.128613,25.743769,52.444954,17.288578,-50.645824,-27.453154
0.004,563410.25,700115.7,381226.38,425.028,402.68655,544.1014,41.146976,25.1835,52.410675,16.79502,-49.92498,-27.921507
0.0045,555518.4,691668.0,374199.56,425.028,402.68655,544.1014,41.137527,24.338324,52.337555,16.047297,-48.89355,-28.625317
0.005,550159.25,685908.3,369436.34,425.028,402.68655,544.1014,41.10888,23.777761,52.275227,15.544661,-48.232895,-29.156673
0.0055,542036.3,677099.5,362173.84,425.028,402.68655,544.1014,41.038593,22.9397,52.161686,14.785198,-47.249096,-29.958181
