Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,43368.684,62036.348,-38619.203,438.36972,443.60355,443.77213,50.418964,0.9099988,50.770412,-0.4727742,0.2765627,0.0031734663
0.0005,43697.992,62275.566,-38163.84,438.36972,443.60355,443.77213,50.39638,0.9443974,50.755524,-0.4189808,0.2764241,0.0032990752
0.001,44237.254,62674.68,-37514.23,438.36972,443.60355,443.77213,50.38014,1.0057422,50.756294,-0.33606678,0.27633187,0.0035129809
0.0015,44592.79,62943.426,-37148.867,438.36972,443.60355,443.77213,50.381443,1.0472722,50.77171,-0.28433144,0.27635485,0.0036593187
0.002,45059.652,63301.176,-36767.137,438.36972,443.60355,443.77213,50.401237,1.1043476,50.813374,-0.21995562,0.27650884,0.0038565209
0.0025,45295.277,63489.055,-36646.703,438.36972,443.60355,443.77213,50.42451,1.134466,50.849434,-0.18997994,0.27667564,0.0039602895
0.003,45492.07,63662.6,-36676.133,438.36972,443.60355,443.77213,50.467598,1.1628909,50.908714,-0.16792628,0.2769845,0.0040556886
0.0035,45513.125,63699.82,-36820.574,438.36972,443.60355,443.77213,50.499714,1.1688931,50.94528,-0.16888914,0.2771988,0.0040753814
0.004,45408.727,63662.26,-37190.316,438.36972,443.60355,443.77213,50.55906,1.1611866,51.004913,-0.19040182,0.2755199,0.0040030517
0.0045,45256.81,63557.074,-37474.598,438.36972,443.60355,443.77213,50.57973,1.1452032,51.017742,-0.21413702,0.27306673,0.0039017897
0.005,44959.54,63330.727,-37906.59,438.36972,443.60355,443.77213,50.599068,1.1096368,51.017635,-0.25681984,0.26965782,0.003721281
0.0055,44750.176,63158.69,-38154.535,438.36972,443.60355,444.2939,50.601368,1.0811952,51.004036,-0.28491008,0.2675322,0.003592728
0.006,44474.96,62914.82,-38400.83,438.36972,443.60355,444.2939,50.588337,1.0403829,50.965065,-0.3177568,0.2645281,0.0034066143
0.0065,44346.242,62787.19,-38451.645,438.36972,443.60355,444.2939,50.56894,1.0176841,50.92973,-0.32969916,0.2626381,0.003298232
0.007,44275.89,62682.777,-38335.13,438.36972,443.60355,444.2939,50.528458,0.99628556,50.869583,-0.32764822,0.25997448,0.0031765448
0.0075,44326.66,62681.168,-38133.18,438.36972,443.60355,444.2939,50.49765,0.99300635,50.82964,-0.31177586,0.25832188,0.0031293947
0.008,44550.98,62779.633,-37681.105,438.36972,443.60355,444.2939,50.452103,1.0063213,50.778507,-0.26717225,0.25605103,0.0031117527
0.0085,44783.355,62903.184,-37311.297,438.36972,443.60355,444.2939,50.42656,1.0271258,50.75489,-0.22664091,0.25468937,0.0031317023
0.009,45215.188,63151.22,-36726.05,438.36972,443.60355,444.2939,50.40127,1.0692219,50.74015,-0.1575993,0.25289246,0.0031974423
0.0095,45525.49,63336.42,-36365.22,438.36972,444.16232,444.2939,50.395287,1.1017903,50.74512,-0.1115665,0.25186238,0.0032546364
0.01,45960.8,63602.71,-35941.625,438.36972,444.16232,444.2939,50.404327,1.1502374,50.771996,-0.05280856,0.25055838,0.003339092
0.0105,46198.035,63747.074,-35773.87,438.36972,444.16232,444.2939,50.42059,1.1776388,50.80071,-0.023664743,0.24983895,0.0033825247
0.011,46426.71,63876.234,-35727.1,438.36972,444.16232,444.2939,50.458904,1.2057371,50.853264,-0.000118611984,0.24894536,0.00341015
0.0115,46479.11,63892.688,-35831.98,438.36972,444.16232,444.2939,50.48991,1.2131428,50.88951,0.0008247949,0.24844462,0.0033974885
0.012,46403.16,63804.797,-36160.91,438.36972,444.16232,444.2939,50.53655,1.2059096,50.9374,-0.018846529,0.24778569,0.0033272465
0.0125,46256.453,63677.82,-36461.63,438.36972,444.16232,444.2939,50.564064,1.189251,50.960403,-0.043902613,0.24737512,0.0032481053
0.013,45936.3,63413.3,-36958.74,438.36972,444.16232,444.2939,50.59189,1.150262,50.97523,-0.0929174,0.24675459,0.0030931467
0.0135,45699.07,63211.74,-37274.13,438.36972,444.16232,444.2939,50.5992,1.1189504,50.96948,-0.12759191,0.24631734,0.0029755693
0.014,45359.125,62918.44,-37647.496,438.36972,444.16232,444.2939,50.59064,1.0702643,50.937656,-0.17335145,0.2456073,0.0027988495
0.0145,45178.707,62754.562,-37793.113,438.36972,444.16232,444.2939,50.572582,1.041287,50.903584,-0.19507548,0.24509862,0.002693015
0.015,45023.68,62593.617,-37814.98,438.55035,444.16232,444.2939,50.530262,1.0099686,50.839645,-0.20790116,0.2442995,0.0025703008
0.0155,45015.29,62558.383,-37690.883,438.55035,444.16232,444.2939,50.49518,1.0000268,50.793465,-0.20138678,0.24376112,0.002519952
0.016,45154.13,62623.523,-37315.145,438.55035,444.16232,444.2939,50.43942,1.004162,50.72812,-0.16912198,0.24298425,0.0024976165
0.0165,45339.133,62741.855,-36966.277,438.55035,444.16232,444.2939,50.404686,1.018572,50.692173,-0.13456564,0.24251045,0.002516924
0.017,45722.484,63006.363,-36374.188,438.55035,444.16232,444.2939,50.36276,1.0561982,50.65691,-0.06771895,0.24190283,0.0025868171
0.0175,46020.22,63220.7,-35979.914,438.55035,444.16232,444.2939,50.344822,1.0878991,50.648304,-0.018740492,0.24158089,0.002651513
0.018,46472.31,63556.547,-35471.895,438.55035,444.16232,444.2939,50.335075,1.1385471,50.65855,0.05199599,0.24123715,0.0027573
0.0185,46741.402,63760.645,-35229.3,438.55035,444.16232,444.2939,50.341007,1.1708044,50.678856,0.09165654,0.24109688,0.0028206087
0.019,47041.96,63996.87,-35059.074,438.55035,444.16232,444.2939,50.365128,1.2082719,50.72257,0.1316729,0.24100143,0.0028925878
0.0195,47143.61,64083.34,-35091.098,438.55035,444.16232,444.2939,50.38843,1.2226429,50.756096,0.1419968,0.24099742,0.0029046906
0.02,47112.9,64084.293,-35346.65,438.55035,444.16232,444.2939,50.428463,1.2254436,50.804398,0.1324984,0.24103215,0.0028660088
0.0205,46989.613,63997.617,-35629.523,438.55035,444.16232,444.2939,50.454136,1.2131368,50.829994,0.111081876,0.24105375,0.0028019163
0.021,46671.395,63756.906,-36152.094,438.55035,444.16232,444.2939,50.482544,1.1757096,50.85092,0.0622706,0.24103801,0.002664177
