Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-156.61276,-3629.5864,-13692.961,698.2134,673.2144,661.63617,37.99356,-14.481679,37.978535,-15.923654,8.484942,12.160784
0.0005,-2504.988,-7757.1562,-13626.285,698.2134,673.2144,661.63617,36.374134,-14.041979,36.576584,-15.101544,9.256906,10.156512
0.001,-4754.593,-11172.77,-14274.448,698.2134,673.2144,661.63617,35.263107,-13.833559,35.5948,-14.625273,9.681378,8.775017
0.0015,-9118.538,-17234.53,-16262.314,698.2134,673.2144,661.63617,33.550095,-13.645619,34.05418,-14.019389,10.170742,6.6418505
0.002,-12648.241,-21852.107,-18239.01,698.2134,673.2144,661.63617,32.37781,-13.600868,32.98475,-13.687838,10.394169,5.1872478
0.0025,-18792.512,-29549.32,-22130.186,698.2134,673.2144,661.63617,30.579428,-13.648542,31.32161,-13.298019,10.571799,2.9709213
0.003,-23407.508,-35141.812,-25309.125,698.2134,673.2144,661.63617,29.359241,-13.755468,30.177734,-13.109059,10.578186,1.4865143
0.0035,-29810.25,-41405.38,-29508.498,698.2134,673.2144,661.63617,25.709106,-13.756392,27.592945,-12.777047,8.45767,-1.1902409
0.004,-36092.066,-49416.44,-34094.246,698.2134,673.2144,661.63617,24.421566,-14.090588,26.36537,-12.760695,8.301688,-3.2460907
0.0045,-45326.74,-60538.562,-40994.22,698.2134,673.2144,661.63617,22.240696,-14.579765,24.317345,-12.749796,7.629312,-6.1619906
0.005,-51160.645,-67228.64,-45369.4,698.2134,673.2144,661.63617,20.690977,-14.895331,22.848734,-12.736828,6.962208,-7.964641
0.0055,-59242.996,-76391.65,-51270.277,698.2134,673.2144,661.63617,18.325756,-15.364822,20.55223,-12.69377,5.742515,-10.456414
0.006,-64189.48,-82150.42,-54686.383,422.37976,673.2144,661.63617,16.764772,-15.685349,18.996126,-12.651775,4.8275304,-11.982796
0.0065,-71125.23,-90560.375,-59172.227,422.37976,673.2144,661.63617,14.49524,-16.19197,16.686638,-12.591683,3.357138,-14.087335
0.007,-75599.67,-96091.82,-61972.453,422.37976,673.2144,661.63617,13.052895,-16.552744,15.193325,-12.575741,2.3363023,-15.371826
0.0075,-82404.77,-104330.17,-66413.72,422.37976,673.2144,661.63617,11.024252,-17.138636,13.057163,-12.630373,0.77177405,-17.141418
0.008,-87165.19,-109857.11,-69826.91,422.37976,673.2144,661.63617,9.77494,-17.570332,11.713139,-12.741238,-0.28212816,-18.23133
0.0085,-94859.664,-118457.5,-75959.63,422.37976,673.2144,661.63617,8.069101,-18.307594,9.823873,-13.047091,-1.874302,-19.766155
0.009,-100469.02,-124592.945,-80806.63,422.37976,673.2144,661.63617,7.044302,-18.8773,8.649618,-13.354137,-2.9538229,-20.734863
0.0095,-109766.7,-134648.25,-89222.57,422.37976,673.2144,661.63617,5.664812,-19.874561,7.0126534,-13.978527,-4.6165705,-22.136217
0.01,-116628.29,-141968.64,-95582.234,422.37976,673.2144,661.63617,4.840099,-20.643673,6.0003242,-14.506694,-5.772798,-23.041689
0.0105,-127944.375,-153776.36,-106246.18,422.37976,673.2144,661.63617,3.7290413,-21.954567,4.5904922,-15.467301,-7.594237,-24.350437
0.011,-136104.12,-162079.08,-114112.016,422.37976,673.2144,661.63617,3.065747,-22.929237,3.7146564,-16.217056,-8.877764,-25.181679
0.0115,-149048.75,-174985.47,-126994.23,422.37976,296.63235,661.63617,2.1775763,-24.526506,2.4815645,-17.493912,-10.908289,-26.33976
0.012,-158011.33,-183798.42,-136202.95,422.37976,296.63235,661.63617,1.6531763,-25.67043,1.7056525,-18.43554,-12.328753,-27.043186
0.0125,-171747.05,-197198.28,-150628.03,422.37976,296.63235,661.63617,0.96554244,-27.485006,0.60514766,-19.960821,-14.552738,-27.972355
0.013,-181007.75,-206173.62,-160431.75,422.37976,296.63235,661.63617,0.572036,-28.745787,-0.085220754,-21.037811,-16.085556,-28.497223
0.0135,-194912.25,-219524.9,-175086.9,422.37976,296.63235,661.63617,0.07838078,-30.687138,-1.0464334,-22.71787,-18.440693,-29.124592
