Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.IA,measurement5.Three-phase Meter5.IA,measurement6.Three-phase Meter6.IA,measurement4.Three-phase Meter4.POWER_S,measurement5.Three-phase Meter5.POWER_S,measurement6.Three-phase Meter6.POWER_S
0,102643.75,110570.6,89371.57,370.383,291.79456,398.41437,-2.5244124,-2.5960617,8.095422,7419.5444,7806.59,19771.395
0.0005,99623.95,105842.625,86837.6,370.383,291.79456,398.41437,-4.5910482,-4.4714394,-1.1869233,7417.4893,7803.3047,20107.959
0.001,97448.836,102506.95,85020.73,370.383,291.79456,398.41437,-6.4948773,-6.188047,-10.428014,7400.7363,7787.014,20280.637
0.0015,94064.76,97410.695,82193.62,370.383,291.79456,398.41437,-8.16828,-7.6849666,-19.302021,7355.059,7743.883,20457.764
0.002,91795.41,94050.19,80292.25,370.383,291.79456,398.41437,-9.551988,-8.909105,-27.49731,7313.0166,7704.497,20527.902
0.0025,88470.95,89209.65,77495.92,370.383,291.79456,398.41437,-10.596872,-9.816947,-34.72532,7236.3975,7633.0703,20570.4
0.003,86354.586,86183.83,75709.14,370.383,291.79456,398.41437,-11.265938,-10.376317,-40.73179,7178.912,7579.4565,20561.082
0.0035,83389.91,82025.445,73197.12,370.383,291.79456,398.41437,-11.535421,-10.567366,-45.30528,7087.415,7493.8813,20503.04
0.004,81576.48,79531.11,71653.31,370.383,291.79456,398.41437,-11.395774,-10.383303,-48.285126,7025.295,7435.5254,20441.426
0.0045,79118.9,76215.14,69547.27,370.383,291.79456,398.41437,-10.851961,-9.830669,-49.566227,6933.958,7349.2925,20328.602
0.005,77654.46,74277.18,68282.5,370.383,291.79456,398.41437,-9.923225,-8.929083,-49.10367,6875.9517,7294.241,20246.248
0.0055,75701.67,71737.414,66584.32,370.383,291.79456,398.41437,-8.642557,-7.710487,-46.913685,6795.507,7217.313,20123.486
0.006,74546.78,70257.984,65575.58,370.383,291.79456,398.41437,-7.055343,-6.2182083,-43.07328,6746.9688,7170.577,20047.268
0.0065,73004.33,68302.45,64228.105,370.383,291.79456,398.41437,-5.217815,-4.5051694,-37.71773,6682.4033,7107.9673,19947.215
0.007,72085.35,67142.67,63427.734,370.383,291.79456,398.41437,-3.195234,-2.6321769,-31.035086,6644.9253,7071.3276,19892.123
0.0075,70844.83,65573.33,62353.848,370.383,291.79456,350.9835,-1.0592226,-0.66564095,-23.260557,6596.662,7023.831,19823.723
0.008,70097.766,64620.867,61713.3,325.48862,291.79456,350.9835,1.1143636,1.3245205,-14.667883,6569.4155,6996.89,19793.264
0.0085,69085.8,63312.133,60854.625,325.48862,291.79456,350.9835,3.2485497,3.2677295,-5.5588093,6535.234,6963.0737,19764.686
