Time,L5.Constant Power L5_vab,L6.Constant Power L6_vab,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.IA,measurement4.Three-phase Meter4.POWER_S,measurement5.Three-phase Meter5.IA,measurement6.Three-phase Meter6.IA
0.0,-2018.5272,-959.34454,512735.56,874298.75,233909.22,432.75238,396.58447,517.1994,-69.40725,104945.28,-58.46349,65.413666
0.0005,-2062.6255,-898.45123,510158.56,873391.44,230687.25,432.75238,396.58447,517.1994,-72.3346,105960.82,-61.163784,46.206837
0.001,-2038.6937,-806.1406,506577.53,872478.25,226083.67,432.75238,396.58447,517.1994,-72.66238,107421.164,-61.68487,25.604107
0.0015,-1945.8894,-678.12646,504468.0,872334.06,223182.27,432.75238,396.58447,517.1994,-70.37869,108368.07,-60.00823,4.2295012
0.002,-1786.1499,-522.52313,501814.06,873025.4,219072.14,432.75238,396.58447,517.1994,-65.56564,109775.305,-56.19356,-17.271698
0.0025,-1563.2136,-338.40942,500404.94,874115.56,216470.58,432.75238,396.58447,517.1994,-58.395878,110720.57,-50.37672,-38.251213
0.003,-1283.6102,-142.2749,498793.8,876623.25,212695.17,432.75238,396.58447,517.1994,-49.126694,112168.56,-42.764847,-58.075596
0.0035,-956.01794,78.59416,497989.75,878779.5,210211.05,740.76794,396.58447,517.1994,-38.091484,113165.34,-33.629093,-76.14518
0.004,-590.5794,296.15756,497047.25,882522.9,206419.97,740.76794,712.83215,517.1994,-25.68729,114715.32,-23.29491,-91.914894
0.0045,-198.73306,519.8065,496495.78,885206.44,203803.08,740.76794,712.83215,517.1994,-12.358981,115785.19,-12.130388,-104.90776
0.005,206.00867,727.5271,495622.44,889248.75,199702.8,740.76794,712.83215,517.1994,1.4137124,117434.33,-0.53330714,-114.73281
0.0055,610.3774,928.3612,494917.3,891793.1,196852.84,740.76794,712.83215,517.1994,15.13642,118551.99,11.08319,-121.09225
0.006,1000.28827,1091.9989,493570.34,895173.5,192439.33,740.76794,712.83215,517.1994,28.315191,120235.375,22.305208,-123.79436
0.0065,1362.5754,1233.9534,492461.03,897079.06,189436.58,740.76794,712.83215,517.1994,40.47693,121353.68,32.73283,-122.75829
0.007,1683.7935,1330.7551,490510.66,899398.94,184908.27,740.76794,712.83215,517.1994,51.1846,123006.33,41.994797,-118.01517
0.0075,1952.4866,1391.0769,489060.06,900621.94,181914.64,740.76794,712.83215,835.51465,60.052773,124079.56,49.760513,-109.70776
0.008,2158.3164,1402.5593,486740.62,902122.94,177530.1,740.76794,712.83215,835.51465,66.76273,125640.68,55.753555,-98.087776
0.0085,2293.368,1359.6758,485187.16,903020.25,174711.34,740.76794,712.83215,835.51465,71.07377,126649.17,59.76035,-83.50676
0.009,2351.8025,1276.8746,482951.8,904421.0,170674.94,740.76794,712.83215,835.51465,72.83047,128123.21,61.63807,-66.40343
0.0095,2330.9585,1136.8123,481577.9,905491.1,168115.2,740.76794,712.83215,835.51465,71.969315,129085.234,61.319786,-47.296318
0.01,2230.3088,958.88184,479753.2,907402.8,164429.92,740.76794,712.83215,835.51465,68.521614,130516.83,58.816784,-26.761137
0.0105,2052.0637,735.07996,478700.06,908928.06,162026.2,740.76794,712.83215,835.51465,62.61112,131476.27,54.21819,-5.419168
0.011,1801.6178,487.29556,477325.28,911567.2,158383.5,740.76794,712.83215,835.51465,54.450462,132939.7,47.68779,16.086239
0.0115,1486.7194,201.23698,476475.94,913511.4,155852.14,740.76794,712.83215,835.51465,44.33231,133938.12,39.458202,37.104435
0.012,1117.7014,-86.9039,475148.28,916527.3,151788.34,740.76794,712.83215,835.51465,32.620758,135477.83,29.822517,57.001995
0.0125,706.4894,-388.27133,474118.2,918468.06,148849.92,740.76794,712.83215,835.51465,19.736298,136532.92,19.124182,75.17665
