Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-25481.803,17345.934,33933.312,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.2156287,0.0008955247,18.982841,10.856377,12.070075,-7.793692
0.0005,-25040.719,17413.84,33431.156,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.2147847,0.00088763284,18.94962,10.787144,12.029775,-7.783908
0.001,-24759.594,17488.494,33200.07,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21428455,0.0008828716,18.930328,10.745653,12.006363,-7.7768917
0.0015,-24390.738,17596.742,32981.53,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21362768,0.0008764322,18.906042,10.690178,11.975877,-7.766249
0.002,-24201.275,17642.264,32898.402,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21324672,0.00087255536,18.892809,10.657088,11.958821,-7.7587533
0.0025,-24034.93,17636.59,32826.74,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21274424,0.00086724106,18.877079,10.611579,11.936453,-7.7475376
0.003,-24015.559,17569.418,32793.16,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21244183,0.000863949,18.868855,10.583049,11.923395,-7.740136
0.0035,-24130.926,17364.682,32736.523,-4138.724,-4319.529,-4196.3,702.65875,711.3374,705.42236,0.21201265,0.0008592489,18.858744,10.541511,11.905439,-7.7295036
0.004,-24297.828,17163.945,32683.828,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.21172793,0.00085620023,18.85246,10.513575,11.893685,-7.7224703
0.0045,-24655.164,16788.871,32574.318,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.2112821,0.0008516556,18.842813,10.470956,11.875949,-7.712245
0.005,-24939.982,16506.521,32484.127,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.21096385,0.00084860733,18.83568,10.441919,11.863737,-7.70552
0.0055,-25384.686,16063.3955,32341.598,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.21045044,0.000843973,18.823519,10.396557,11.844422,-7.6961765
0.006,-25664.95,15769.789,32258.924,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.21008605,0.00084083655,18.814428,10.365402,11.830816,-7.6899476
0.0065,-26021.643,15354.007,32187.094,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.2095157,0.00083606585,18.79991,10.317417,11.809459,-7.6814227
0.007,-26203.889,15103.152,32190.967,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20912611,0.0008328431,18.79,10.284837,11.794713,-7.676152
0.0075,-26387.98,14776.595,32292.236,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20853946,0.0008279502,18.775492,10.235723,11.772138,-7.669326
0.008,-26452.238,14592.614,32424.414,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.2081525,0.0008246472,18.766918,10.202532,11.757041,-7.665362
0.0085,-26477.316,14356.726,32702.508,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20758484,0.00081961777,18.756243,10.15217,11.734408,-7.66105
0.009,-26457.508,14213.876,32920.906,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20721604,0.0008161976,18.750849,10.117947,11.719187,-7.6592684
0.0095,-26398.354,13994.781,33249.55,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20667407,0.00081092824,18.745148,10.065014,11.695722,-7.6584196
0.01,-26351.012,13830.04,33436.254,-4138.724,-3842.6763,-4196.3,702.65875,688.4485,705.42236,0.20631482,0.0008072901,18.743053,10.028041,11.6794815,-7.6590424
0.0105,-26292.61,13533.241,33609.758,-4138.724,-3842.6763,-3610.5674,702.65875,688.4485,677.30725,0.20576562,0.0008015938,18.741545,9.96931,11.653957,-7.6617703
0.011,-26271.826,13294.092,33625.29,-4138.724,-3842.6763,-3610.5674,702.65875,688.4485,677.30725,0.20538318,0.000797611,18.74114,9.927584,11.635531,-7.664618
0.0115,-26273.824,12868.668,33461.965,-4138.724,-3842.6763,-3610.5674,702.65875,688.4485,677.30725,0.2047706,0.0007913347,18.740242,9.860566,11.60588,-7.6701136
0.012,-26295.477,12543.903,33217.957,-4138.724,-3842.6763,-3610.5674,702.65875,688.4485,677.30725,0.20432854,0.0007869451,18.738781,9.8128605,11.584204,-7.674302
0.0125,-26344.904,12011.504,32652.031,-4138.724,-3842.6763,-3610.5674,702.65875,688.4485,677.30725,0.20360695,0.00078007847,18.734255,9.7371855,11.549555,-7.681244
0.013,-26377.566,11641.432,32154.842,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.20308633,0.0007753455,18.729383,9.684896,11.524808,-7.685826
0.0135,-26399.7,11095.129,31269.562,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.20225184,0.0007680992,18.71861,9.603721,11.485897,-7.6921973
0.014,-26382.863,10756.003,30617.467,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.20166741,0.0007632348,18.709156,9.5492935,11.459147,-7.696114
0.0145,-26287.312,10315.502,29608.607,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.20076707,0.0007560213,18.692083,9.468007,11.419206,-7.7008867
0.015,-26173.477,10082.89,28954.121,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.20016515,0.00075134553,18.679232,9.41547,11.393028,-7.703271
0.0155,-25931.191,9841.341,28058.967,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19928572,0.0007446543,18.658752,9.340982,11.35568,-7.705457
0.016,-25724.406,9751.836,27545.494,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19872819,0.0007438251,18.645308,9.294538,11.332457,-7.7060146
0.0165,-25363.502,9708.629,26924.24,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19795504,0.00073762756,18.62618,9.23084,11.300945,-7.705533
0.017,-25098.975,9725.08,26611.635,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19748798,0.00073382567,18.615,9.192254,11.282225,-7.7047777
0.0175,-24704.611,9787.685,26282.41,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19686434,0.00072859833,18.601143,9.139846,11.258018,-7.7024584
0.018,-24464.607,9836.987,26140.611,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19649835,0.0007254002,18.594149,9.108138,11.244116,-7.700679
0.0185,-24182.314,9892.588,26007.807,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19601572,0.0007209601,18.587008,9.06447,11.2265,-7.6975846
0.019,-24064.51,9901.802,25946.855,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19573192,0.0007193575,18.584223,9.037112,11.215946,-7.6953845
0.0195,-24013.148,9853.055,25853.188,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19533946,0.0007152423,18.58227,8.997346,11.201986,-7.692012
0.02,-24065.49,9772.212,25769.092,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.1950899,0.00071256206,18.58192,8.971042,11.193093,-7.6898246
0.0205,-24264.65,9577.481,25590.19,-3484.026,-3842.6763,-3610.5674,671.2332,688.4485,677.30725,0.19471325,0.00070854434,18.581375,8.930327,11.179449,-7.6866474
0.021,-24463.566,9403.596,25432.828,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.1944513,0.0007058256,18.580498,8.902045,11.169972,-7.6848774
0.0215,-24824.738,9092.715,25148.617,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19402952,0.00070163794,18.57767,8.85817,11.154275,-7.681931
0.022,-25082.191,8864.994,24939.94,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19372576,0.00069876004,18.574373,8.827708,11.142826,-7.680179
0.0225,-25452.168,8518.392,24629.219,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19323714,0.0006943139,18.567333,8.780238,11.124222,-7.677289
0.023,-25669.088,8299.026,24444.541,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19289348,0.0006912751,18.561571,8.747491,11.11103,-7.675398
0.0235,-25930.773,8007.9375,24234.732,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19236217,0.000686632,18.551498,8.698103,11.09035,-7.6728354
0.024,-26050.766,7845.5054,24154.098,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19200493,0.0006834964,18.544819,8.664606,11.076308,-7.67162
0.0245,-26151.705,7648.486,24132.465,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19147667,0.0006787514,18.53541,8.614437,11.055043,-7.670402
0.025,-26170.273,7541.501,24180.178,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19113506,0.00067556126,18.530046,8.580994,11.040845,-7.670178
0.0255,-26141.406,7398.2197,24321.963,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19064273,0.0006707216,18.523773,8.530658,11.0196085,-7.670937
0.026,-26098.637,7300.3384,24442.213,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.19032723,0.00066744344,18.520836,8.496712,11.005411,-7.672247
0.0265,-26017.588,7125.158,24615.04,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.18986686,0.00066240836,18.518972,8.444244,10.983801,-7.675414
0.027,-25969.12,6976.2803,24695.168,-3484.026,-3202.6284,-3610.5674,671.2332,657.7262,677.30725,0.18956259,0.0006589482,18.518831,8.407833,10.968985,-7.678241
0.0275,-25922.543,6688.3057,24714.105,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.1890965,0.00065355696,18.519457,8.350368,10.945345,-7.683824
0.028,-25914.635,6448.8384,24635.95,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.1887711,0.00064981106,18.519869,8.30983,10.928953,-7.6882343
0.0285,-25938.172,6021.638,24356.768,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.18824774,0.0006439494,18.5194,8.245507,10.901911,-7.695189
0.029,-25972.252,5699.38,24058.148,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.18786949,0.000639885,18.517704,8.200303,10.882727,-7.700145
0.0295,-26033.178,5181.8384,23452.643,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.18725337,0.00063359004,18.51224,8.129416,10.851971,-7.7073402
0.03,-26066.33,4830.4316,22960.361,-3484.026,-3202.6284,-3006.6255,671.2332,657.7262,648.31805,0.18681088,0.00062929787,18.506443,8.080737,10.830295,-7.7119412
0.0305,-26080.373,4324.5356,22131.25,-2897.3943,-3202.6284,-3006.6255,643.07495,657.7262,648.31805,0.18610822,0.0006228022,18.494417,8.007375,10.796482,-7.7181726
0.031,-26052.82,4019.2834,21548.785,-2897.3943,-3202.6284,-3006.6255,643.07495,657.7262,648.31805,0.18562196,0.0006184948,18.484346,7.958688,10.773613,-7.7216315
0.0315,-26042.596,3775.5137,20518.996,-2897.3943,-3202.6284,-3006.6255,643.07495,657.7262,648.31805,0.1864134,0.0006133573,18.431183,7.880169,10.735555,-7.705343
0.032,-26091.17,4017.0554,19565.125,-2897.3943,-3202.6284,-3006.6255,643.07495,657.7262,648.31805,0.18745175,0.00060477504,18.198086,7.7549453,10.604761,-7.5984044
