Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,3.51601,333.6359,28.07845,374.96066,6.9028263,395.04486,-1.8778678,13.857829,7.369996,9.015984,4.0004644,9.022686
0.0005,3.4019976,333.6359,28.587498,374.96066,6.9901505,395.04486,-1.7829782,13.986493,7.2079334,9.26577,3.930768,9.166235
0.001,3.2168021,333.6359,29.348106,374.96066,7.113361,395.04486,-1.6329074,14.169762,6.9485526,9.626206,3.8227057,9.372032
0.0015,3.0893245,333.6359,29.848852,374.96066,7.191425,395.04486,-1.5294466,14.285101,6.7640915,9.857111,3.7472026,9.503025
0.002,2.8994935,333.6359,30.584677,374.96066,7.30466,395.04486,-1.3720343,14.448157,6.469222,10.190009,3.6272032,9.690948
0.0025,2.7768216,333.6359,31.063421,374.96066,7.3788896,395.04486,-1.2669578,14.55128,6.26029,10.40351,3.541832,9.811368
0.003,2.6009092,333.6359,31.7637,374.96066,7.489948,395.04486,-1.1106218,14.6997385,5.9284124,10.71226,3.4049952,9.9863
0.0035,2.4885142,462.42352,32.220184,374.96066,7.56405,395.04486,-1.0079207,14.795723,5.695234,10.91112,3.3078406,10.100266
0.004,2.3234267,462.42352,32.894485,374.96066,7.6745586,395.04486,-0.8554994,14.937989,5.3288383,11.199984,3.1540225,10.269012
0.0045,2.2121644,462.42352,33.341015,374.96066,7.746782,395.04486,-0.7542047,15.032977,5.074468,11.386708,3.0466475,10.380902
0.005,2.0363393,462.42352,34.013165,374.96066,7.850142,395.04486,-0.6008731,15.1770935,4.6796966,11.658345,2.8801825,10.54889
0.0055,1.9088234,462.42352,34.46666,374.96066,7.913811,395.04486,-0.49636948,15.274703,4.4089675,11.833684,2.7667167,10.661103
0.006,1.6949742,462.42352,35.160145,374.96066,7.998314,395.04486,-0.33365217,15.423051,3.993716,12.087311,2.594503,10.829766
0.0065,1.5342724,462.42352,35.633,374.96066,8.045771,395.04486,-0.22009048,15.522322,3.7118747,12.249443,2.4795246,10.941904
0.007,1.2625408,462.42352,36.35862,374.96066,8.101836,395.04486,-0.03998505,15.670279,3.2833152,12.480514,2.3079696,11.108216
0.0075,1.0604599,462.42352,36.851967,374.96066,8.128784,395.04486,0.086870365,15.766629,2.9944324,12.625364,2.1948454,11.217028
0.008,0.7281084,462.42352,37.60129,374.96066,8.154178,395.04486,0.28708088,15.905193,2.5569427,12.826795,2.0270898,11.374851
0.0085,0.48994496,462.42352,38.10297,374.96066,8.16197,395.04486,0.426374,15.991981,2.262523,12.949435,1.9161496,11.475635
0.009,0.115104,462.42352,38.85043,374.96066,8.162044,395.04486,0.64196163,16.112106,1.8162776,13.114333,1.7502114,11.618722
0.0095,-0.14141184,462.42352,39.340477,374.96066,8.155853,395.04486,0.78851753,16.184996,1.515188,13.210898,1.6387056,11.708066
0.01,-0.5278851,462.42352,40.055916,374.96066,8.139858,395.04486,1.0097485,16.283281,1.0571597,13.335146,1.4686453,11.832759
0.0105,-0.78265685,462.42352,40.516865,374.96066,8.126188,395.04486,1.1565293,16.342072,0.74696475,13.404267,1.3523285,11.909764
0.011,-1.1556768,462.42352,41.182064,374.96066,8.103059,395.04486,1.373905,16.42202,0.27357703,13.487898,1.1718091,12.017088
0.0115,-1.3968155,462.42352,41.6082,374.96066,8.086471,395.04486,1.5163192,16.471306,-0.047650807,13.530914,1.0468618,12.08398
0.012,-1.7481681,462.42352,42.224796,374.96066,8.060135,532.93427,1.7258326,16.541416,-0.5379839,13.577694,0.8521242,12.179342
0.0125,-1.9780312,462.42352,42.624428,374.96066,8.041271,532.93427,1.863425,16.587421,-0.87020755,13.597976,0.7176454,12.240799
0.013,-2.3233101,462.42352,43.214573,374.96066,8.009691,532.93427,2.0685153,16.657356,-1.375397,13.613669,0.50968355,12.331636
0.0135,-2.5588987,462.42352,43.606464,374.96066,7.985305,532.93427,2.205727,16.705393,-1.7157998,13.615146,0.36788738,12.392247
0.014,-2.929056,462.42352,44.199226,374.96066,7.941236,532.93427,2.4151657,16.780012,-2.2297275,13.605008,0.15219362,12.484103
0.0145,-3.1914515,462.42352,44.60068,374.96066,7.905322,532.93427,2.5588188,16.83091,-2.5731013,13.590365,0.00767312,12.546216
0.015,-3.6141677,462.42352,45.215313,374.96066,7.8392243,532.93427,2.7826672,16.906693,-3.0867057,13.556668,-0.20755334,12.639961
0.0155,-3.917479,462.42352,45.633698,374.96066,7.78594,532.93427,2.9387429,16.955423,-3.4265761,13.52608,-0.34890807,12.702144
0.016,-4.404967,462.42352,46.27122,374.96066,7.691482,532.93427,3.183401,17.022312,-3.9302747,13.466911,-0.5560335,12.793357
0.0165,-4.7502985,462.42352,46.699654,515.5646,7.6191373,532.93427,3.3533945,17.06065,-4.260865,13.417715,-0.6902752,12.851274
0.017,-5.293275,462.42352,47.33933,515.5646,7.4978633,532.93427,3.6165109,17.106222,-4.7475667,13.327436,-0.88570285,12.931858
0.0175,-5.6671076,462.42352,47.75805,515.5646,7.4097033,532.93427,3.7958252,17.12724,-5.0655727,13.255095,-1.0124456,12.980083
0.018,-6.235813,462.42352,48.364132,515.5646,7.2688026,532.93427,4.0671406,17.143799,-5.5329933,13.126412,-1.1989795,13.041985
0.0185,-6.614602,462.42352,48.748043,515.5646,7.170323,532.93427,4.2473392,17.144667,-5.838581,13.0263405,-1.321952,13.075899
0.019,-7.1738977,462.42352,49.286976,515.5646,7.017608,532.93427,4.5133247,17.13201,-6.288908,12.853845,-1.5065793,13.11456
0.0195,-7.537217,462.42352,49.619293,515.5646,6.913331,532.93427,4.686265,17.115494,-6.584453,12.723766,-1.6311555,13.132266
0.02,-8.064636,462.42352,50.076317,515.5646,6.7542243,532.93427,4.9375806,17.081121,-7.0219684,12.506374,-1.8218986,13.147841
0.0205,-8.404541,462.42352,50.354984,515.5646,6.646573,532.93427,5.0991526,17.053673,-7.310384,12.347169,-1.9523882,13.151842
0.021,-9.289028,462.42352,50.918163,515.5646,6.3408394,532.93427,5.3653417,16.723522,-7.5130467,12.000915,-1.9821098,13.016703
0.0215,-9.843656,564.79065,50.998814,515.5646,6.088368,532.93427,5.4376745,16.464329,-7.6176767,11.703644,-2.039498,12.850851
0.022,-10.691755,564.79065,51.221245,515.5646,5.6878433,532.93427,5.574934,16.075293,-7.748901,11.286206,-2.0918453,12.619842
0.0225,-11.2504225,564.79065,51.402836,515.5646,5.4022765,532.93427,5.67611,15.816167,-7.8219337,11.022324,-2.111296,12.473169
0.023,-12.056079,564.79065,51.664795,515.5646,4.961943,532.93427,5.830649,15.430611,-7.914325,10.641649,-2.1275396,12.259514
0.0235,-12.56302,564.79065,51.80434,515.5646,4.6753144,532.93427,5.930593,15.177882,-7.9671745,10.394891,-2.1344218,12.120069
0.024,-13.271119,564.79065,51.9341,515.5646,4.2751584,532.93427,6.071551,14.808021,-8.038207,10.031225,-2.1441944,11.914886
0.0245,-13.706683,564.79065,51.96356,515.5646,4.0314093,532.93427,6.158112,14.568774,-8.082988,9.791434,-2.152158,11.780242
0.025,-14.301536,564.79065,51.929115,515.5646,3.693886,532.93427,6.2753444,14.222574,-8.150599,9.434202,-2.168527,11.581451
0.0255,-14.657351,564.79065,51.86175,515.5646,3.4815953,532.93427,6.3445916,14.001417,-8.197812,9.197457,-2.1835496,11.451234
0.026,-15.1303215,564.79065,51.709305,515.5646,3.176668,532.93427,6.4355655,13.686504,-8.273631,8.844668,-2.2139306,11.26038
0.0265,-15.408383,564.79065,51.582302,515.5646,2.9833596,532.93427,6.4884543,13.4889765,-8.327899,8.611245,-2.240145,11.137065
0.027,-15.778734,564.79065,51.368824,515.5646,2.7136157,532.93427,6.5583396,13.213347,-8.41483,8.264062,-2.2888794,10.959968
0.0275,-16.000338,564.79065,51.220074,515.5646,2.5491128,532.93427,6.600234,13.043708,-8.476261,8.03471,-2.327413,10.848164
0.028,-16.302698,564.79065,51.00122,515.5646,2.3228052,532.93427,6.658717,12.81011,-8.573209,7.6942544,-2.393195,10.691085
0.0285,-16.487406,564.79065,50.864487,515.5646,2.181453,532.93427,6.696107,12.667342,-8.640734,7.4700093,-2.4417126,10.593346
0.029,-16.74417,564.79065,50.679375,515.5646,1.976734,532.93427,6.7512093,12.471268,-8.745641,7.1384125,-2.519991,10.457277
0.0295,-16.905703,564.79065,50.57033,515.5646,1.8431576,561.3317,6.787974,12.351453,-8.817422,6.9209065,-2.5754402,10.372984
0.03,-17.141167,564.79065,50.426247,515.5646,1.6479261,561.3317,6.8441615,12.18612,-8.926596,6.6004353,-2.6622462,10.255753
0.0305,-17.297754,564.79065,50.340786,515.5646,1.5226727,561.3317,6.882917,12.084217,-8.999524,6.390701,-2.721726,10.183316
0.031,-17.53671,564.79065,50.223854,515.5646,1.3432633,561.3317,6.9438734,11.941249,-9.107641,6.0816994,-2.811818,10.082383
0.0315,-17.699514,564.79065,50.150578,515.5646,1.2283665,561.3317,6.9865108,11.850911,-9.178056,5.879078,-2.8715677,10.019553
0.032,-17.947584,564.79065,50.042744,515.5646,1.0595105,561.3317,7.053064,11.720072,-9.279755,5.579442,-2.9595559,9.93046
0.0325,-18.113703,564.79065,49.96885,515.5646,0.9471983,561.3317,7.0983047,11.634607,-9.344157,5.3819833,-3.0166728,9.873393
0.033,-18.359478,564.79065,49.847946,515.5646,0.7775024,561.3317,7.165754,11.507429,-9.43458,5.0880284,-3.099962,9.789224
0.0335,-18.517414,564.79065,49.755634,515.5646,0.6639851,561.3317,7.209148,11.422968,-9.4901495,4.8926945,-3.1543434,9.732927
0.034,-18.738533,564.79065,49.591393,515.5646,0.495578,561.3317,7.2694254,11.296813,-9.565879,4.599035,-3.2354212,9.646786
0.0345,-18.87127,564.79065,49.46098,524.5667,0.3861143,561.3317,7.3052235,11.21357,-9.61122,4.401808,-3.2898946,9.587392
0.035,-19.042238,564.79065,49.230835,524.5667,0.22775294,561.3317,7.350586,11.091389,-9.671953,4.1020927,-3.373976,9.494668
0.0355,-19.135138,564.79065,49.054703,524.5667,0.12640756,561.3317,7.3746734,11.01291,-9.708166,3.8988953,-3.4326737,9.430225
0.036,-19.242275,564.79065,48.760883,524.5667,-0.019102793,561.3317,7.4012513,10.902139,-9.757437,3.5880833,-3.5263748,9.329877
0.0365,-19.293995,564.79065,48.549614,524.5667,-0.11167129,561.3317,7.413089,10.834472,-9.787856,3.3765993,-3.5935946,9.261199
0.037,-19.348728,564.79065,48.22013,524.5667,-0.24374157,561.3317,7.423781,10.744765,-9.831576,3.0531685,-3.7027557,9.157258
0.0375,-19.375557,564.79065,47.999405,524.5667,-0.32748085,561.3317,7.427693,10.69388,-9.860425,2.8338664,-3.7814572,9.088602
0.038,-19.412632,564.79065,47.680965,524.5667,-0.44833308,561.3317,7.4322925,10.632054,-9.904727,2.500665,-3.908304,8.989103
0.0385,-19.442287,564.79065,47.485622,524.5667,-0.52755314,561.3317,7.4368105,10.600495,-9.935606,2.2767184,-3.9981546,8.926534
0.039,-19.506302,508.82443,47.231598,524.5667,-0.64812386,561.3317,7.449492,10.566495,-9.984576,1.9403546,-4.1390224,8.840466
0.0395,-19.568401,508.82443,47.094555,524.5667,-0.7316211,561.3317,7.463931,10.551291,-10.018975,1.7173196,-4.2356133,8.789235
0.04,-19.699478,508.82443,46.944256,524.5667,-0.86394536,561.3317,7.4973755,10.53629,-10.072564,1.387015,-4.381803,8.722503
0.0405,-19.814808,508.82443,46.881985,524.5667,-0.9575804,561.3317,7.528138,10.529378,-10.108823,1.1710279,-4.4783587,8.684822
0.041,-20.029215,508.82443,46.842434,524.5667,-1.1060406,561.3317,7.5875072,10.519277,-10.162085,0.8553363,-4.618797,8.637762
0.0415,-20.198143,508.82443,46.8478,524.5667,-1.2097319,561.3317,7.635452,10.510136,-10.195518,0.6511809,-4.7079735,8.611814
0.042,-20.482744,508.82443,46.89203,524.5667,-1.3705145,561.3317,7.717839,10.489205,-10.23994,0.3550254,-4.832956,8.579005
0.0425,-20.687513,508.82443,46.93759,524.5667,-1.4797686,561.3317,7.77791,10.468929,-10.264263,0.16421375,-4.9097123,8.559387
0.043,-21.004066,508.82443,47.01427,524.5667,-1.6440713,561.3317,7.87223,10.426886,-10.290546,-0.11285029,-5.014403,8.530539
0.0435,-21.213568,508.82443,47.063477,524.5667,-1.7524152,561.3317,7.935698,10.390725,-10.300148,-0.29211766,-5.077325,8.509991
0.044,-21.514336,508.82443,47.119877,524.5667,-1.9110781,561.3317,8.02809,10.324723,-10.30119,-0.5547251,-5.1624985,8.47464
0.0445,-21.699696,508.82443,47.139217,524.5667,-2.0132325,561.3317,8.0857525,10.274051,-10.29253,-0.7268065,-5.2142625,8.446815
0.045,-21.947163,508.82443,47.13259,524.5667,-2.1596816,561.3317,8.163873,10.190393,-10.265336,-0.98254126,-5.2866364,8.397356
0.0455,-22.090336,508.82443,47.102207,524.5667,-2.2524273,561.3317,8.209639,10.131289,-10.238012,-1.1525822,-5.3327513,8.358926
0.046,-22.273176,508.82443,47.017376,524.5667,-2.384495,561.3317,8.2686405,10.040732,-10.184276,-1.4085616,-5.401156,8.293216
0.0465,-22.376099,508.82443,46.936474,524.5667,-2.468559,561.3317,8.301883,9.980745,-10.140805,-1.5804744,-5.447376,8.24456
0.047,-22.508104,508.82443,46.784336,524.5667,-2.5907848,507.8083,8.344184,9.893349,-10.065781,-1.8407625,-5.518898,8.165617
0.0475,-22.58552,508.82443,46.66691,524.5667,-2.6712294,507.8083,8.368506,9.837548,-10.010187,-2.0158405,-5.5683002,8.110021
