Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement1.Three-phase Meter1.POWER_Q,measurement2.Three-phase Meter2.POWER_Q,measurement3.Three-phase Meter3.POWER_Q,measurement4.Three-phase Meter4.POWER_P,measurement5.Three-phase Meter5.POWER_P,measurement6.Three-phase Meter6.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_Q
0,468.3959,447.82404,472.17825,-23.485983,30.730976,-0.7898538,0.46733233,0.49039152,0.16102214,0.028755497,0.024947654,-0.4134148
0.0005,464.3604,445.79498,472.17825,-23.58236,30.808378,-0.81121624,0.46804023,0.4909469,0.14041124,0.028212227,0.02431711,-0.41690677
0.001,464.3604,445.79498,472.17825,-23.646925,30.86261,-0.8251074,0.4684051,0.49119252,0.12647088,0.027777674,0.023833878,-0.41854808
0.0015,464.3604,445.79498,472.17825,-23.734592,30.940336,-0.8435757,0.46874097,0.491338,0.10538986,0.027077723,0.0230769,-0.41994506
0.002,464.3604,445.79498,472.17825,-23.781586,30.98546,-0.853409,0.4688103,0.49128604,0.09129977,0.026608324,0.022590637,-0.42017192
0.0025,464.3604,445.79498,472.17825,-23.828516,31.037312,-0.8631287,0.468708,0.49101946,0.07024408,0.025983686,0.02195231,-0.41950592
0.003,464.3604,445.79498,472.17825,-23.842793,31.059559,-0.865759,0.46852934,0.4907536,0.056324378,0.02564743,0.0216155,-0.41843677
0.0035,464.3604,445.79498,472.17825,-23.840181,31.074274,-0.86392426,0.468164,0.4903073,0.035701755,0.025292465,0.021272993,-0.4159906
0.004,464.3604,445.79498,472.17825,-23.82526,31.073193,-0.859403,0.46791345,0.49003315,0.022151422,0.025168737,0.02115725,-0.41385505
0.0045,464.3604,445.79498,469.50577,-23.790585,31.060127,-0.8494023,0.46761623,0.48974887,0.002134994,0.025143465,0.021136738,-0.40998286
0.005,464.3604,445.79498,469.50577,-23.764627,31.047487,-0.8418574,0.4675241,0.48968846,-0.01101435,0.025218487,0.021203183,-0.40699056
0.0055,464.3604,445.79498,469.50577,-23.731243,31.029867,-0.83148915,0.46760792,0.4898404,-0.030488161,0.025420692,0.02136873,-0.40190578
0.006,464.3604,445.79498,469.50577,-23.718016,31.023125,-0.8264142,0.46782985,0.49011198,-0.043332435,0.025579466,0.02148596,-0.3981062
0.0065,464.3604,445.79498,469.50577,-23.718538,31.026083,-0.82308,0.46839944,0.49075362,-0.062431183,0.0257973,0.021608993,-0.39174113
0.007,464.3604,445.79498,469.50577,-23.734615,31.038937,-0.8242018,0.46892223,0.49130613,-0.07506444,0.025888547,0.021623442,-0.38700867
0.0075,464.3604,445.79498,469.50577,-23.779226,31.069973,-0.83084863,0.46842977,0.49077526,-0.09252015,0.02584097,0.021438554,-0.3779779
0.008,464.3604,445.79498,469.50577,-23.82094,31.101309,-0.83780843,0.46369737,0.48574466,-0.0996366,0.02542934,0.020996498,-0.3680193
0.0085,464.3604,445.79498,469.50577,-23.901884,31.167933,-0.8503733,0.45732945,0.47890174,-0.11005565,0.024710145,0.02025375,-0.35364118
0.009,464.3604,445.79498,469.50577,-23.960373,31.21627,-0.8588442,0.45346177,0.4747268,-0.11679855,0.024187664,0.01972049,-0.34437752
0.0095,464.3604,445.79498,469.50577,-24.045559,31.289177,-0.8697304,0.44809598,0.46891844,-0.1265859,0.023376865,0.018899402,-0.33088344
0.01,464.3604,445.79498,469.50577,-24.095335,31.334711,-0.8750168,0.44474792,0.4652951,-0.13287559,0.022830542,0.018364318,-0.32212833
0.0105,464.3604,445.79498,469.50577,-24.15201,31.392862,-0.87916535,0.44000396,0.46017808,-0.14192602,0.022057027,0.017627187,-0.30934444
0.011,464.3604,445.79498,469.50577,-24.174316,31.422068,-0.87909025,0.4370093,0.45696685,-0.14769076,0.021599822,0.01720405,-0.30106178
0.0115,464.3604,445.79498,469.50577,-24.18269,31.44841,-0.87445235,0.43277463,0.45245954,-0.15592816,0.021042118,0.016703792,-0.28902116
0.012,464.3604,445.79498,469.50577,-24.172459,31.453928,-0.86845493,0.4301415,0.4496795,-0.16115393,0.02077074,0.016470008,-0.28126302
0.0125,464.3604,445.79498,469.50577,-24.138708,31.446299,-0.8558315,0.42652315,0.4458898,-0.16862427,0.020521132,0.016267598,-0.27003825
0.013,464.3604,445.79498,469.50577,-24.108631,31.43332,-0.84581745,0.42436022,0.44364205,-0.1733848,0.020452445,0.016221335,-0.26282313
0.0135,464.3604,445.79498,469.50577,-24.06142,31.408415,-0.8306484,0.42152852,0.44072095,-0.18024701,0.020466587,0.016252272,-0.2523662
0.014,464.3604,445.79498,469.50577,-24.033955,31.392326,-0.8219442,0.4199257,0.4390806,-0.18466613,0.020529749,0.01631344,-0.24560405
0.0145,464.3604,445.79498,469.50577,-24.006802,31.37559,-0.81322926,0.41795135,0.43706423,-0.19110557,0.02065372,0.016414892,-0.23569778
0.015,464.3604,445.79498,469.50577,-24.001543,31.372452,-0.8110937,0.4169012,0.43598914,-0.19529118,0.020726679,0.016459499,-0.22920002
0.0155,464.3604,445.79498,469.50577,-24.016293,31.38327,-0.81356466,0.41566497,0.4347066,-0.20142494,0.02077372,0.016447587,-0.21951994
0.016,464.3604,445.79498,469.50577,-24.041288,31.401508,-0.81848,0.4150185,0.4340173,-0.20541649,0.020742092,0.016369658,-0.2130609
0.0165,464.3604,445.79498,469.50577,-24.097761,31.44374,-0.82934666,0.4142224,0.43313152,-0.21123898,0.020581966,0.016137455,-0.20330067
0.017,464.3604,445.79498,469.50577,-24.143576,31.479095,-0.8379343,0.4137513,0.43258303,-0.21499266,0.0204018,0.015912201,-0.1967263
0.0175,464.3604,452.50763,469.50577,-24.215015,31.536795,-0.8509237,0.41304746,0.43174213,-0.22039336,0.020042019,0.01549741,-0.18675761
0.018,469.9324,452.50763,469.50577,-24.258934,31.574636,-0.8585168,0.41253823,0.43113604,-0.22381885,0.019762095,0.015193312,-0.18005091
0.0185,469.9324,452.50763,469.50577,-24.310875,31.624037,-0.86650556,0.411673,0.4301317,-0.22866274,0.019333962,0.014743656,-0.16994421
0.019,469.9324,452.50763,469.50577,-24.332403,31.648783,-0.86874086,0.4110188,0.42940152,-0.23168565,0.019063568,0.014475944,-0.16320975
0.0195,469.9324,452.50763,469.50577,-24.34093,31.669596,-0.8667359,0.4099477,0.4282478,-0.23590876,0.018733164,0.014163685,-0.15317671
0.02,469.9324,452.50763,469.50577,-24.33026,31.671513,-0.8618147,0.40920845,0.4274722,-0.23852576,0.018587464,0.014032607,-0.14656691
0.0205,469.9324,452.50763,469.50577,-24.292797,31.657549,-0.84978086,0.40811652,0.42636797,-0.2421819,0.018491171,0.013964772,-0.13680679
0.021,469.9324,452.50763,469.50577,-24.257402,31.63926,-0.8395032,0.40744647,0.42571384,-0.24446137,0.018511627,0.014002496,-0.13041042
0.0215,469.9324,452.50763,476.23734,-24.197548,31.603981,-0.8227063,0.40660018,0.42492115,-0.24768335,0.018654637,0.014160662,-0.12097013
0.022,469.9324,452.50763,476.23734,-24.158749,31.579042,-0.8119256,0.40617508,0.42454553,-0.2497204,0.01880662,0.014311652,-0.11475698
0.0225,469.9324,452.50763,476.23734,-24.111204,31.546144,-0.7986142,0.40577525,0.42423055,-0.25263423,0.019075973,0.014558941,-0.10549988
0.023,469.9324,452.50763,476.23734,-24.090816,31.530552,-0.7926685,0.40566686,0.42417967,-0.2544884,0.019256333,0.014708443,-0.09932943
0.0235,469.9324,452.50763,476.23734,-24.081692,31.520685,-0.7890406,0.40572459,0.42430183,-0.25713295,0.019474601,0.014864339,-0.09000857
0.024,469.9324,452.50763,476.23734,-24.090654,31.524181,-0.7901112,0.40587744,0.42447785,-0.25879356,0.019563757,0.014903036,-0.083717816
