Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-20.456696,296.67798,24.790358,255.73949,1.2695162,307.56378,-3.0187366,-0.39630002,41.171387,-11.954788,40.503326,-22.141916
0.0005,-20.60656,296.67798,24.977552,255.73949,1.2457395,307.56378,-3.0309322,-0.43049937,41.40991,-12.097661,40.75528,-21.939169
0.001,-20.70333,296.67798,25.10768,255.73949,1.2318358,307.56378,-3.0391529,-0.45420897,41.568157,-12.186861,40.92252,-21.79461
0.0015,-20.846952,296.67798,25.307154,255.73949,1.2152085,307.56378,-3.0514696,-0.49058247,41.801765,-12.310428,41.19428,-21.566465
0.002,-20.940527,296.67798,25.441616,255.73949,1.20829,307.56378,-3.059542,-0.5152855,41.95389,-12.384179,41.36502,-21.411123
0.0025,-21.073433,296.67798,25.643097,255.73949,1.207445,307.56378,-3.0710104,-0.552947,42.17654,-12.477474,41.62113,-21.168884
0.003,-21.153593,296.67798,25.777363,255.73949,1.2154491,307.56378,-3.0780299,-0.5785362,42.322807,-12.525808,41.78376,-21.004568
0.0035,-21.254482,296.67798,25.980536,339.44983,1.2432979,307.56378,-3.0874727,-0.6178343,42.54287,-12.573481,42.0068,-20.741058
0.004,-21.30549,296.67798,26.118969,339.44983,1.2734438,387.72568,-3.0929463,-0.6449085,42.693394,-12.586977,42.153824,-20.556906
0.0045,-23.326532,296.67798,27.731203,339.44983,0.52896917,387.72568,-3.2103615,-0.6532333,42.565945,-13.7805195,44.56699,-20.1321
0.005,-23.473532,296.67798,27.754002,339.44983,0.4643823,387.72568,-3.1690435,-0.67234933,43.180367,-13.956182,44.193005,-19.278358
0.0055,-23.912317,382.49628,27.907412,339.44983,0.26327446,387.72568,-3.121287,-0.7014413,44.01112,-14.341357,43.90991,-18.21427
0.006,-24.320017,382.49628,28.067642,339.44983,0.037518572,387.72568,-3.0938847,-0.7215868,44.523273,-14.676458,43.805412,-17.62881
0.0065,-25.017899,382.49628,28.336525,339.44983,-0.44169077,387.72568,-3.0530484,-0.7550332,45.242542,-15.302493,43.6533,-16.89203
0.007,-25.483383,382.49628,28.48906,339.44983,-0.8234871,387.72568,-3.0242498,-0.78056294,45.683117,-15.792395,43.526485,-16.446548
0.0075,-26.113832,382.49628,28.61081,339.44983,-1.3939384,387.72568,-2.9786942,-0.82429886,46.268127,-16.586224,43.29452,-15.821448
0.008,-26.480494,382.49628,28.605175,339.44983,-1.7169973,387.72568,-2.9474998,-0.856664,46.603413,-17.114054,43.138847,-15.432291
0.0085,-26.976824,382.49628,28.492079,339.44983,-2.0663989,387.72568,-2.9006,-0.9085064,47.037758,-17.838343,42.913467,-14.919225
0.009,-27.2907,382.49628,28.383926,339.44983,-2.2173193,387.72568,-2.869389,-0.9446939,47.296513,-18.252995,42.782078,-14.621288
0.0095,-27.743414,382.49628,28.239792,339.44983,-2.3779912,387.72568,-2.821947,-1.0015506,47.665237,-18.764177,42.597782,-14.234037
0.01,-28.021893,382.49628,28.183,339.44983,-2.4772673,387.72568,-2.78955,-1.0418116,47.905216,-19.039,42.482975,-13.994773
0.0105,-28.380629,382.49628,28.172434,339.44983,-2.6447673,387.72568,-2.7393112,-1.1071823,48.256744,-19.37288,42.330704,-13.634293
0.011,-28.576618,382.49628,28.210629,339.44983,-2.7632687,387.72568,-2.7047465,-1.1545883,48.483414,-19.55232,42.247337,-13.36981
0.0115,-28.820066,382.49628,28.319138,339.44983,-2.9213407,387.72568,-2.6514614,-1.2313464,48.810665,-19.761784,42.16318,-12.945043
0.012,-28.961433,382.49628,28.4164,339.44983,-2.999625,387.72568,-2.6149921,-1.2857195,49.026173,-19.862864,42.135643,-12.641072
0.0125,-29.153963,382.49628,28.588129,339.44983,-3.0739973,387.72568,-2.558525,-1.3706009,49.364956,-19.966114,42.12507,-12.172429
0.013,-29.267208,382.49628,28.715734,339.44983,-3.1041615,387.72568,-2.5193934,-1.4286352,49.6102,-20.010288,42.13011,-11.861788
0.0135,-29.408594,382.49628,28.921295,339.44983,-3.1381185,387.72568,-2.4578485,-1.5169113,50.01416,-20.05481,42.146557,-11.399267
0.014,-29.484615,382.49628,29.06481,339.44983,-3.1567187,387.72568,-2.4147887,-1.576224,50.305275,-20.078773,42.155586,-11.093796
0.0145,-29.583044,382.49628,29.286293,339.44983,-3.1719558,387.72568,-2.3471673,-1.6656525,50.762302,-20.114456,42.17349,-10.639581
0.015,-29.64644,382.49628,29.434717,339.44983,-3.1677763,387.72568,-2.3001733,-1.7253538,51.071396,-20.13897,42.19003,-10.338784
0.0155,-29.743258,382.49628,29.654907,339.44983,-3.1387231,387.72568,-2.227187,-1.8146096,51.52589,-20.175041,42.220238,-9.896261
0.016,-29.805529,382.49628,29.797892,339.44983,-3.1106887,387.72568,-2.1769142,-1.8735206,51.816174,-20.195814,42.249973,-9.606211
