Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,7.426152,283.4783,16.240635,225.64687,11.315465,243.19484,17.778925,2.0444999,20.005524,4.5655136,2.7775834,-8.012116
0.0005,6.2834463,283.4783,16.025564,225.64687,10.647058,243.19484,18.278553,1.171599,20.284697,3.6545877,3.303892,-7.947637
0.001,5.5034957,283.4783,15.869418,225.64687,10.201844,243.19484,18.600727,0.570695,20.45129,3.0364287,3.6588738,-7.9164186
0.0015,4.329445,283.4783,15.623398,225.64687,9.55431,243.19484,19.065609,-0.3416867,20.67701,2.120144,4.193446,-7.88331
0.002,3.5603874,283.4783,15.458626,225.64687,9.143283,243.19484,19.365334,-0.9455542,20.817125,1.5298402,4.546602,-7.865317
0.0025,2.451832,283.4783,15.227237,225.64687,8.563769,243.19484,19.799692,-1.8220098,21.02539,0.6886585,5.04661,-7.827234
0.003,1.7533723,283.4783,15.095286,225.64687,8.20415,243.19484,20.090008,-2.377408,21.17269,0.16131157,5.3536434,-7.784993
0.0035,0.7698368,283.4783,14.952149,225.64687,7.7079396,243.19484,20.540699,-3.15269,21.423697,-0.5787161,5.7782702,-7.6816626
0.004,0.15405776,283.4783,14.904233,225.64687,7.4076724,243.19484,20.867785,-3.6269782,21.62052,-1.0419589,6.0532503,-7.574715
0.0045,-0.7224916,283.4783,14.916217,225.64687,7.0031714,243.19484,21.416456,-4.27693,21.973248,-1.6973015,6.455481,-7.348101
0.005,-1.2825032,283.4783,14.982009,162.47823,6.7619567,243.19484,21.834093,-4.674932,22.25488,-2.1150975,6.721697,-7.149069
0.0055,-2.1029313,283.4783,15.166968,162.47823,6.434276,243.19484,22.546953,-5.237677,22.755644,-2.7324858,7.1287584,-6.7778726
0.006,-2.6483138,179.57559,15.343177,162.47823,6.2300677,243.19484,23.0854,-5.5966325,23.144464,-3.1444647,7.411962,-6.491698
0.0065,-3.4868295,179.57559,15.678866,162.47823,5.931529,243.19484,23.990221,-6.133635,23.808714,-3.785026,7.8676786,-5.9792824
0.007,-4.0735564,179.57559,15.9424,162.47823,5.7298937,243.19484,24.657097,-6.504173,24.300352,-4.2383175,8.199605,-5.599008
0.0075,-5.017582,179.57559,16.382328,162.47823,5.410218,243.19484,25.747955,-7.1007,25.100685,-4.9686666,8.744387,-4.980549
0.008,-5.6993866,179.57559,16.694128,162.47823,5.180351,243.19484,26.529947,-7.5369196,25.664457,-5.4971685,9.139987,-4.5337462
0.0085,-6.8095975,179.57559,17.168608,162.47823,4.8027716,243.19484,27.770134,-8.266105,26.539793,-6.3563704,9.791979,-3.833994
0.009,-7.6108637,179.57559,17.477453,162.47823,4.525952,243.19484,28.629622,-8.808701,27.132784,-6.9737616,10.266746,-3.3570814
0.0095,-8.902218,179.57559,17.914022,162.47823,4.0708733,243.19484,29.935728,-9.713491,28.01521,-7.962916,11.038752,-2.6411297
0.01,-9.81812,179.57559,18.178804,162.47823,3.7415218,243.19484,30.807999,-10.376738,28.592655,-8.661224,11.579131,-2.172854
0.0105,-11.261645,179.57559,18.528355,162.47823,3.2125516,243.19484,32.0912,-11.45008,29.428137,-9.756031,12.416713,-1.4945542
0.011,-12.25828,179.57559,18.726498,162.47823,2.840523,243.19484,32.919983,-12.210478,29.958052,-10.50914,12.977637,-1.0676038
0.0115,-13.782516,179.57559,18.971436,162.47823,2.2628665,243.19484,34.108994,-13.3997755,30.709585,-11.662199,13.8253765,-0.45108634
0.012,-14.803557,179.57559,19.102055,162.47823,1.86988,243.19484,34.858788,-14.212391,31.18023,-12.437213,14.393066,-0.054852474
0.0125,-16.31947,179.57559,19.258577,162.47823,1.2783053,243.19484,35.916397,-15.445431,31.842993,-13.596015,15.222802,0.5126234
0.013,-17.30835,179.57559,19.343372,162.47823,0.88762313,243.19484,36.578262,-16.26172,32.259247,-14.359135,15.756735,0.87289065
0.0135,-18.745516,179.57559,19.457773,162.47823,0.31317815,243.19484,37.514828,-17.464548,32.852406,-15.483407,16.518507,1.3875818
0.014,-19.667366,179.57559,19.5335,162.47823,-0.05911743,243.19484,38.107197,-18.245588,33.23111,-16.217142,16.993,1.7387966
0.0145,-20.99072,179.57559,19.66022,162.47823,-0.5993327,243.19484,38.9648,-19.371325,33.783756,-17.287178,17.656805,2.27786
0.015,-21.834797,179.57559,19.759964,162.47823,-0.9468265,243.19484,39.521748,-20.090673,34.144634,-17.9822,18.068832,2.6482105
0.0155,-23.04862,179.57559,19.93812,162.47823,-1.448864,292.61362,40.355934,-21.123863,34.679295,-19.000385,18.64085,3.2294104
0.016,-23.828981,179.57559,20.07703,162.47823,-1.7723002,292.61362,40.91365,-21.787247,35.03614,-19.662752,18.996164,3.6364062
0.0165,-24.967297,179.57559,20.315489,162.47823,-2.2425117,292.61362,41.75714,-22.755033,35.570255,-20.63634,19.4978,4.2787037
0.017,-25.71128,179.57559,20.492262,162.47823,-2.5469487,292.61362,42.330383,-23.385792,35.92537,-21.274155,19.814203,4.725988
0.0175,-26.812714,179.57559,20.778627,162.47823,-2.992154,292.61362,43.20105,-24.316534,36.458458,-22.214916,20.270542,5.4267774
0.018,-27.541077,179.57559,20.979307,162.47823,-3.2813363,292.61362,43.78741,-24.93129,36.81174,-22.831266,20.562906,5.909071
0.0185,-28.62494,179.57559,21.288637,162.47823,-3.7019808,292.61362,44.665863,-25.847403,37.33657,-23.738363,20.976103,6.635272
0.019,-29.338385,179.57559,21.497889,162.47823,-3.9723907,292.61362,45.245613,-26.454062,37.682793,-24.329132,21.238676,7.130992
0.0195,-30.388527,179.57559,21.81417,162.47823,-4.3599734,292.61362,46.105614,-27.354109,38.19884,-25.191244,21.616135,7.8975725
0.02,-31.072119,179.57559,22.028059,162.47823,-4.604762,292.61362,46.66803,-27.94317,38.541996,-25.748892,21.848877,8.414186
0.0205,-32.06262,179.57559,22.358255,162.47823,-4.9488726,292.61362,47.498253,-28.801395,39.058353,-26.555054,22.167894,9.194089
0.021,-32.696114,179.57559,22.588606,162.47823,-5.161358,292.61362,48.043617,-29.354494,39.407917,-27.073643,22.363874,9.71207
0.0215,-33.60052,179.57559,22.957651,162.47823,-5.4542966,292.61362,48.857693,-30.143805,39.945534,-27.823793,22.609392,10.505086
0.022,-34.172253,179.57559,23.224586,162.47823,-5.6336155,292.61362,49.402893,-30.644608,40.31644,-28.305285,22.73708,11.057234
0.0225,-34.985703,179.57559,23.663298,162.47823,-5.8806944,292.61362,50.238613,-31.35491,40.896908,-29.008238,22.884766,11.91269
0.023,-35.503387,179.57559,23.985172,336.96973,-6.0336337,292.61362,50.810856,-31.804504,41.302326,-29.467123,22.958052,12.505658
0.0235,-36.256046,179.57559,24.5134,336.96973,-6.2526627,292.61362,51.70535,-32.45151,41.939266,-30.148382,23.035997,13.43049
