Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-23.485983,468.3959,30.730976,447.82404,-0.7898538,472.17825,0.46733233,0.028755497,0.49039152,0.024947654,0.16102214,-0.4134148
0.0005,-23.58236,464.3604,30.808378,445.79498,-0.81121624,472.17825,0.46804023,0.028212227,0.4909469,0.02431711,0.14041124,-0.41690677
0.001,-23.646925,464.3604,30.86261,445.79498,-0.8251074,472.17825,0.4684051,0.027777674,0.49119252,0.023833878,0.12647088,-0.41854808
0.0015,-23.734592,464.3604,30.940336,445.79498,-0.8435757,472.17825,0.46874097,0.027077723,0.491338,0.0230769,0.10538986,-0.41994506
0.002,-23.781586,464.3604,30.98546,445.79498,-0.853409,472.17825,0.4688103,0.026608324,0.49128604,0.022590637,0.09129977,-0.42017192
0.0025,-23.828516,464.3604,31.037312,445.79498,-0.8631287,472.17825,0.468708,0.025983686,0.49101946,0.02195231,0.07024408,-0.41950592
0.003,-23.842793,464.3604,31.059559,445.79498,-0.865759,472.17825,0.46852934,0.02564743,0.4907536,0.0216155,0.056324378,-0.41843677
0.0035,-23.840181,464.3604,31.074274,445.79498,-0.86392426,472.17825,0.468164,0.025292465,0.4903073,0.021272993,0.035701755,-0.4159906
0.004,-23.82526,464.3604,31.073193,445.79498,-0.859403,472.17825,0.46791345,0.025168737,0.49003315,0.02115725,0.022151422,-0.41385505
0.0045,-23.790585,464.3604,31.060127,445.79498,-0.8494023,469.50577,0.46761623,0.025143465,0.48974887,0.021136738,0.0021349937,-0.40998286
0.005,-23.764627,464.3604,31.047487,445.79498,-0.8418574,469.50577,0.4675241,0.025218487,0.48968846,0.021203183,-0.01101435,-0.40699056
0.0055,-23.731243,464.3604,31.029867,445.79498,-0.83148915,469.50577,0.46760792,0.025420692,0.4898404,0.02136873,-0.030488161,-0.40190578
0.006,-23.718016,464.3604,31.023125,445.79498,-0.8264142,469.50577,0.46782985,0.025579466,0.49011198,0.02148596,-0.043332435,-0.3981062
0.0065,-23.718538,464.3604,31.026083,445.79498,-0.82308,469.50577,0.46839944,0.0257973,0.49075362,0.021608993,-0.062431183,-0.39174113
0.007,-23.734615,464.3604,31.038937,445.79498,-0.8242018,469.50577,0.46892223,0.025888547,0.49130613,0.021623442,-0.07506444,-0.38700867
0.0075,-23.779226,464.3604,31.069973,445.79498,-0.83084863,469.50577,0.46842977,0.02584097,0.49077526,0.021438554,-0.09252015,-0.3779779
0.008,-23.82094,464.3604,31.101309,445.79498,-0.83780843,469.50577,0.46369737,0.02542934,0.48574466,0.020996498,-0.0996366,-0.3680193
0.0085,-23.901884,464.3604,31.167933,445.79498,-0.8503733,469.50577,0.45732945,0.024710145,0.47890174,0.02025375,-0.11005565,-0.35364118
0.009,-23.960373,464.3604,31.21627,445.79498,-0.8588442,469.50577,0.45346177,0.024187664,0.4747268,0.01972049,-0.11679855,-0.34437752
0.0095,-24.045559,464.3604,31.289177,445.79498,-0.8697304,469.50577,0.44809598,0.023376865,0.46891844,0.018899402,-0.1265859,-0.33088344
0.01,-24.095335,464.3604,31.334711,445.79498,-0.8750168,469.50577,0.44474792,0.022830542,0.4652951,0.018364318,-0.13287559,-0.32212833
0.0105,-24.15201,464.3604,31.392862,445.79498,-0.87916535,469.50577,0.44000396,0.022057027,0.46017808,0.017627187,-0.14192602,-0.30934444
0.011,-24.174316,464.3604,31.422068,445.79498,-0.87909025,469.50577,0.4370093,0.021599822,0.45696685,0.01720405,-0.14769076,-0.30106178
0.0115,-24.18269,464.3604,31.44841,445.79498,-0.87445235,469.50577,0.43277463,0.021042118,0.45245954,0.016703792,-0.15592816,-0.28902116
0.012,-24.172459,464.3604,31.453928,445.79498,-0.86845493,469.50577,0.4301415,0.02077074,0.4496795,0.016470008,-0.16115393,-0.28126302
0.0125,-24.138708,464.3604,31.446299,445.79498,-0.8558315,469.50577,0.42652315,0.020521132,0.4458898,0.016267598,-0.16862427,-0.27003825
0.013,-24.108631,464.3604,31.43332,445.79498,-0.84581745,469.50577,0.42436022,0.020452445,0.44364205,0.016221335,-0.1733848,-0.26282313
0.0135,-24.06142,464.3604,31.408415,445.79498,-0.8306484,469.50577,0.42152852,0.020466587,0.44072095,0.016252272,-0.18024701,-0.2523662
0.014,-24.033955,464.3604,31.392326,445.79498,-0.8219442,469.50577,0.4199257,0.020529749,0.4390806,0.01631344,-0.18466613,-0.24560405
0.0145,-24.006802,464.3604,31.37559,445.79498,-0.81322926,469.50577,0.41795135,0.02065372,0.43706423,0.016414892,-0.19110557,-0.23569778
0.015,-24.001543,464.3604,31.372452,445.79498,-0.8110937,469.50577,0.4169012,0.020726679,0.43598914,0.016459499,-0.19529118,-0.22920002
0.0155,-24.016293,464.3604,31.38327,445.79498,-0.81356466,469.50577,0.41566497,0.02077372,0.4347066,0.016447587,-0.20142494,-0.21951994
0.016,-24.041288,464.3604,31.401508,445.79498,-0.81848,469.50577,0.4150185,0.020742092,0.4340173,0.016369658,-0.20541649,-0.2130609
0.0165,-24.097761,464.3604,31.44374,445.79498,-0.82934666,469.50577,0.4142224,0.020581966,0.43313152,0.016137455,-0.21123898,-0.20330067
0.017,-24.143576,464.3604,31.479095,445.79498,-0.8379343,469.50577,0.4137513,0.0204018,0.43258303,0.015912201,-0.21499266,-0.1967263
0.0175,-24.215015,464.3604,31.536795,452.50763,-0.8509237,469.50577,0.41304746,0.020042019,0.43174213,0.01549741,-0.22039336,-0.18675761
0.018,-24.258934,469.9324,31.574636,452.50763,-0.8585168,469.50577,0.41253823,0.019762095,0.43113604,0.0151933115,-0.22381885,-0.18005091
0.0185,-24.310875,469.9324,31.624037,452.50763,-0.86650556,469.50577,0.411673,0.019333962,0.4301317,0.014743656,-0.22866274,-0.16994421
0.019,-24.332403,469.9324,31.648783,452.50763,-0.86874086,469.50577,0.4110188,0.019063568,0.42940152,0.0144759435,-0.23168565,-0.16320975
0.0195,-24.34093,469.9324,31.669596,452.50763,-0.8667359,469.50577,0.4099477,0.018733164,0.4282478,0.014163685,-0.23590876,-0.15317671
0.02,-24.33026,469.9324,31.671513,452.50763,-0.8618147,469.50577,0.40920845,0.018587464,0.4274722,0.014032607,-0.23852576,-0.14656691
0.0205,-24.292797,469.9324,31.657549,452.50763,-0.84978086,469.50577,0.40811652,0.018491171,0.42636797,0.013964772,-0.2421819,-0.13680679
0.021,-24.257402,469.9324,31.63926,452.50763,-0.8395032,469.50577,0.40744647,0.018511627,0.42571384,0.014002496,-0.24446137,-0.13041042
0.0215,-24.197548,469.9324,31.603981,452.50763,-0.8227063,476.23734,0.40660018,0.018654637,0.42492115,0.014160662,-0.24768335,-0.12097013
0.022,-24.158749,469.9324,31.579042,452.50763,-0.8119256,476.23734,0.40617508,0.01880662,0.42454553,0.014311652,-0.2497204,-0.11475698
0.0225,-24.111204,469.9324,31.546144,452.50763,-0.7986142,476.23734,0.40577525,0.019075973,0.42423055,0.014558941,-0.25263423,-0.10549988
0.023,-24.090816,469.9324,31.530552,452.50763,-0.7926685,476.23734,0.40566686,0.019256333,0.42417967,0.014708443,-0.2544884,-0.09932943
0.0235,-24.081692,469.9324,31.520685,452.50763,-0.7890406,476.23734,0.40572459,0.019474601,0.42430183,0.014864339,-0.25713295,-0.09000857
0.024,-24.090654,469.9324,31.524181,452.50763,-0.7901112,476.23734,0.40587744,0.019563757,0.42447785,0.014903036,-0.25879356,-0.083717816
0.0245,-24.124601,469.9324,31.544106,452.50763,-0.79604536,476.23734,0.4062007,0.019592343,0.42480418,0.014845611,-0.26110113,-0.074128956
0.025,-24.157988,469.9324,31.565863,452.50763,-0.802055,476.23734,0.40643275,0.019525668,0.42501372,0.014730349,-0.2624952,-0.06762461
0.0255,-24.21725,469.9324,31.606731,452.50763,-0.8124509,476.23734,0.40671182,0.019314243,0.42523783,0.014461089,-0.2643315,-0.057716742
0.026,-24.256184,469.9324,31.635784,452.50763,-0.81926084,476.23734,0.4068158,0.019120231,0.42529207,0.014238617,-0.26536927,-0.051036343
