Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-23.96129,471.3879,36.676624,451.37894,0.8411476,487.93686,41.931293,-1.2132857,0.10391737,-3.4342967e-05,7.58694,0.07530632
0.0005,-23.8169,471.3879,36.64139,451.37894,0.8730756,490.60852,41.926075,-1.1336676,0.103940934,-3.3953118e-05,7.5835576,0.09637995
0.001,-23.740105,471.3879,36.628025,451.37894,0.9142163,490.60852,41.93535,-1.0222285,0.10404811,-3.3418168e-05,7.5818315,0.12711665
0.0015,-23.66032,471.3879,36.62253,451.37894,0.9359912,490.60852,41.95184,-0.95654094,0.10415617,-3.3110115e-05,7.582734,0.14622016
0.002,-23.63057,471.3879,36.62689,451.37894,0.95943797,490.60852,41.984478,-0.878203,0.104345284,-3.273615e-05,7.5862675,0.17182496
0.0025,-23.614769,471.3879,36.640366,451.37894,0.96919316,490.60852,42.007652,-0.839612,0.104470216,-3.2547116e-05,7.589084,0.18632211
0.003,-23.61833,471.3879,36.65048,451.37894,0.97657263,490.60852,42.03676,-0.8014633,0.10462412,-3.2342577e-05,7.5930705,0.20420967
0.0035,-23.63148,471.3879,36.661514,451.37894,0.9781125,490.60852,42.04919,-0.7875118,0.10468835,-3.2245374e-05,7.5946674,0.21388532
0.004,-23.637726,471.3879,36.663063,451.37894,0.97843134,490.60852,42.050533,-0.7780275,0.10470873,-3.2128624e-05,7.594403,0.22588381
0.0045,-23.631638,471.3879,36.653107,451.37894,0.9792394,490.60852,42.03858,-0.7740078,0.10466741,-3.205127e-05,7.591719,0.23296127
0.005,-23.61186,471.3879,36.63759,451.37894,0.9843428,490.60852,42.001434,-0.76585937,0.10452717,-3.190452e-05,7.584031,0.2433917
0.0055,-23.552156,471.3879,36.615044,451.37894,0.9915868,490.60852,41.96484,-0.7553643,0.104389966,-3.1771622e-05,7.576642,0.25095356
0.006,-23.49179,471.3879,36.56985,451.37894,1.0093915,490.60852,41.89777,-0.72479516,0.10414128,-3.150244e-05,7.56295,0.26452053
0.0065,-23.570995,471.3879,36.787926,451.37894,1.0178624,490.60852,41.982864,-0.70330757,0.10424167,-3.131047e-05,7.545401,0.27528086
0.007,-23.499573,471.3879,36.75574,447.682,1.030052,490.60852,42.02761,-0.6420123,0.104314454,-3.0474452e-05,7.4003196,0.29444444
0.0075,-23.434998,471.3879,36.76515,447.682,1.0379118,490.60852,41.999336,-0.5950351,0.10428552,-2.9888473e-05,7.305294,0.30742332
0.008,-23.425085,471.3879,36.8052,447.682,1.0322549,490.60852,42.000237,-0.53490293,0.104398005,-2.9139115e-05,7.181585,0.32562503
0.0085,-23.461512,471.3879,36.90032,447.682,1.0145704,490.60852,42.022057,-0.50468326,0.104561634,-2.874038e-05,7.1097126,0.33640093
0.009,-23.516249,471.3879,36.97559,447.682,0.9715046,490.60852,42.07488,-0.4755532,0.10489919,-2.8305793e-05,7.015384,0.35049075
0.0095,-23.637453,471.3879,37.052147,447.682,0.93740493,490.60852,42.119175,-0.47054115,0.105154976,-2.812236e-05,6.9600916,0.35775787
0.01,-23.740763,471.3879,37.160267,447.682,0.8873769,490.60852,42.19033,-0.48814365,0.105532795,-2.7984403e-05,6.8867564,0.36480355
0.0105,-23.92254,471.3879,37.225533,447.682,0.8574991,490.60852,42.234886,-0.5188338,0.10575388,-2.7964681e-05,6.8429914,0.36646083
0.011,-24.055643,471.3879,37.312706,447.682,0.817001,490.60852,42.289043,-0.59222806,0.106005855,-2.8007491e-05,6.782722,0.3644011
0.0115,-24.257875,471.41034,37.386253,447.682,0.7769726,490.60852,42.31691,-0.6898913,0.10613525,-2.8064387e-05,6.7452455,0.36032605
0.012,-24.382719,471.41034,37.4251,447.682,0.7488496,490.60852,42.317657,-0.76128674,0.10614456,-2.815976e-05,6.6905847,0.3517299
0.0125,-24.5368,471.41034,37.463116,447.682,0.70611066,490.60852,42.29101,-0.8659061,0.106040776,-2.8230666e-05,6.637166,0.3421052
0.013,-24.609236,471.41034,37.47251,447.682,0.68013895,490.60852,42.256763,-0.92728853,0.10589793,-2.8245413e-05,6.601926,0.3364796
0.0135,-24.66704,471.41034,37.46222,447.682,0.6505563,490.60852,42.186016,-0.99922025,0.105595805,-2.819606e-05,6.550004,0.33200458
0.014,-24.671957,471.41034,37.441013,447.682,0.6390918,490.60852,42.13054,-1.0303285,0.10535605,-2.8106879e-05,6.516292,0.328106
0.0145,-24.634527,471.41034,37.393837,447.682,0.63431585,490.60852,42.042393,-1.0470413,0.1051055,-2.7970846e-05,6.4836974,0.3279603
0.015,-24.584919,471.41034,37.356346,447.682,0.63789076,490.60852,41.985935,-1.0451093,0.10474821,-2.76862e-05,6.437483,0.33151177
0.0155,-24.486576,471.41034,37.298782,447.682,0.65004396,490.60852,41.911465,-1.0154492,0.10454556,-2.7454187e-05,6.4091415,0.3362493
0.016,-24.414186,471.41034,37.26362,447.682,0.6610069,490.60852,41.87262,-0.9833893,0.10432392,-2.7070046e-05,6.371095,0.34647208
0.0165,-24.313059,471.41034,37.22181,447.682,0.6794765,490.60852,41.83551,-0.9458595,0.10423975,-2.6809023e-05,6.349159,0.35470393
0.017,-24.259787,471.41034,37.203766,447.682,0.6916707,490.60852,41.826157,-0.88775426,0.10420949,-2.6441045e-05,6.321765,0.3677044
0.0175,-24.212574,471.41034,37.194714,447.682,0.7022467,490.83795,41.827965,-0.8537156,0.10424535,-2.6228032e-05,6.3071995,0.37617669
0.018,-24.206272,471.41034,37.19758,447.682,0.7116453,490.83795,41.84824,-0.8180779,0.10435869,-2.5979192e-05,6.2899604,0.38677755
0.0185,-24.220335,471.41034,37.20917,447.682,0.71165687,490.83795,41.86826,-0.80835897,0.10445434,-2.5869014e-05,6.2812133,0.39199173
0.019,-24.274921,471.41034,37.236065,447.682,0.70064557,490.83795,41.900574,-0.81888825,0.104588866,-2.579058e-05,6.2703133,0.39612356
0.0195,-24.357313,471.41034,37.26618,447.682,0.68646103,490.83795,41.917103,-0.8421545,0.104649,-2.5790778e-05,6.263638,0.3963611
0.02,-24.41829,471.41034,37.282425,447.682,0.6582893,490.83795,41.926598,-0.89654905,0.10465892,-2.5847916e-05,6.253219,0.39337987
0.0205,-24.503784,471.41034,37.293552,447.682,0.63770944,490.83795,41.918594,-0.9415507,0.10459749,-2.590648e-05,6.245021,0.38980952
0.021,-24.548227,471.41034,37.288525,447.682,0.6088511,490.83795,41.88074,-1.0134847,0.104390986,-2.5989297e-05,6.230364,0.38286877
0.0215,-24.575342,471.41034,37.271797,447.682,0.5931824,490.83795,41.838142,-1.0589979,0.104179054,-2.6021586e-05,6.2185235,0.37820578
0.022,-24.576115,471.41034,37.22397,447.682,0.5776773,490.83795,41.750977,-1.114182,0.103766695,-2.6006026e-05,6.1977506,0.3722522
0.0225,-24.524176,471.41034,37.151443,447.682,0.5734997,490.83795,41.679974,-1.1386184,0.10344569,-2.5941226e-05,6.182189,0.36965102
0.023,-24.460766,471.41034,37.092224,447.682,0.5769008,490.83795,41.56206,-1.1516348,0.10293052,-2.5751202e-05,6.157174,0.36897448
0.0235,-24.329355,471.41034,36.993404,447.682,0.58545506,490.83795,41.48109,-1.1431746,0.10258737,-2.5562727e-05,6.1400037,0.3709494
0.024,-24.22405,471.41034,36.92504,447.682,0.60669106,490.83795,41.365604,-1.1052091,0.10211066,-2.519768e-05,6.1151247,0.377815
0.0245,-24.05472,471.41034,36.826443,449.84668,0.6251824,490.83795,41.29738,-1.0656673,0.101836994,-2.4911755e-05,6.0998254,0.38476652
0.025,-23.943172,471.41034,36.76736,449.84668,0.6560675,490.83795,41.21466,-0.9916654,0.10151637,-2.4445999e-05,6.0799184,0.39761618
0.0255,-23.791557,471.41034,36.71597,449.84668,0.67642254,490.83795,41.17464,-0.9373346,0.101369284,-2.412957e-05,6.0690064,0.40732318
0.026,-23.707027,471.41034,36.655685,449.84668,0.7028225,490.83795,41.137768,-0.85601926,0.101247706,-2.3676721e-05,6.056456,0.42256558
0.0265,-23.611723,471.41034,36.61625,449.84668,0.7160459,490.83795,41.125946,-0.8068897,0.10122437,-2.3405042e-05,6.050354,0.43221214
0.027,-23.570404,471.41034,36.600227,449.84668,0.72795266,490.83795,41.124184,-0.7471475,0.101251885,-2.3062325e-05,6.044544,0.44515347
0.0275,-23.539202,471.41034,36.58806,449.84668,0.7307458,490.83795,41.129047,-0.7192321,0.10129395,-2.2882235e-05,6.041985,0.45222947
0.028,-23.53444,471.41034,36.58446,449.84668,0.72882855,490.83795,41.13922,-0.6956261,0.101359546,-2.2682054e-05,6.039456,0.46026003
0.0285,-23.541264,465.52127,36.580326,449.84668,0.72245246,490.83795,41.143017,-0.69122493,0.101394095,-2.2549428e-05,6.036971,0.46524894
0.029,-23.54788,465.52127,36.575314,449.84668,0.7174237,490.83795,41.138077,-0.6956182,0.10138546,-2.2484941e-05,6.0345974,0.467325
0.0295,-23.549131,465.52127,36.56009,449.84668,0.7112701,490.83795,41.117012,-0.7080167,0.10131453,-2.240066e-05,6.0293593,0.4691031
0.03,-23.538538,465.52127,36.543404,449.84668,0.70948696,490.83795,41.093727,-0.715095,0.10122846,-2.233886e-05,6.024442,0.47023472
0.0305,-23.499517,465.52127,36.507805,449.84668,0.71231914,490.83795,41.046333,-0.71940154,0.10111582,-2.2263406e-05,6.0185437,0.4715032
0.031,-23.456837,465.52127,36.477795,449.84668,0.71860796,490.83795,41.00917,-0.7149299,0.10091251,-2.2112159e-05,6.0082593,0.47470516
