Time,Modbus1.Q_level,Modbus1.Voltage_diff,Modbus2.Q_level,Modbus2.Voltage_diff,Modbus3.Q_level,Modbus3.Voltage_diff,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,289598.22,-2573.8345,182908.98,-2643.9048,-29144.979,-2710.3333,332.45593,329.09256,325.904
0.0005,287557.28,-2573.8345,181672.61,-2643.9048,-30744.502,-2710.3333,332.45593,329.09256,325.904
0.001,284106.6,-2573.8345,179474.02,-2643.9048,-33354.156,-2710.3333,332.45593,329.09256,325.904
0.0015,281642.5,-2573.8345,177863.47,-2643.9048,-35119.586,-2710.3333,332.45593,329.09256,325.904
0.002,277920.4,-2573.8345,175305.88,-2643.9048,-37692.105,-2710.3333,332.45593,329.09256,325.904
0.0025,275535.53,-2573.8345,173525.94,-2643.9048,-39323.867,-2710.3333,332.45593,329.09256,325.904
0.003,272186.78,-2573.8345,170779.89,-2643.9048,-41644.13,-2710.3333,332.45593,329.09256,325.904
0.0035,270103.1,-2573.8345,168928.03,-2643.9048,-43118.41,-2710.3333,332.45593,329.09256,325.904
0.004,267166.12,-2573.8345,166182.62,-2643.9048,-45258.52,-2710.3333,332.45593,329.09256,325.904
0.0045,265320.75,-2573.8345,164404.06,-2643.9048,-46662.184,-2710.3333,332.45593,329.09256,325.904
0.005,262686.03,-2573.8345,161824.48,-2643.9048,-48787.293,-2710.3333,332.45593,329.09256,325.904
0.0055,261005.33,-2573.8345,160143.48,-2643.9048,-50247.938,-2710.3333,332.45593,329.09256,325.904
0.006,258566.88,-2573.8345,157654.47,-2643.9048,-52537.33,-2710.3333,332.45593,329.09256,325.904
0.0065,256980.89,-2573.8345,156005.16,-2643.9048,-54136.344,-2710.3333,332.45593,329.09256,325.904
0.007,254637.27,-2573.8345,153536.84,-2643.9048,-56641.56,-2710.3333,332.45593,329.09256,325.904
0.0075,253095.9,-2573.8345,151890.23,-2643.9048,-58380.28,-2710.3333,332.45593,329.09256,325.904
0.008,250827.17,-2573.8345,149418.5,-2643.9048,-61080.918,-2710.3333,332.45593,329.09256,325.904
0.0085,249348.52,-2573.8345,147773.23,-2643.9048,-62930.047,-2710.3333,332.45593,329.09256,325.904
0.009,247177.53,-2573.8345,145328.7,-2643.9048,-65735.586,-2710.3333,332.45593,329.09256,325.904
0.0095,245758.72,-2573.8345,143729.86,-2643.9048,-67597.25,-2710.3333,332.45593,329.09256,325.904
0.01,243677.02,-2573.8345,141388.28,-2643.9048,-70332.78,-2710.3333,332.45593,329.09256,325.904
0.0105,242327.61,-2573.8345,139860.1,-2643.9048,-72094.99,-2710.3333,332.45593,329.09256,325.904
0.011,240381.56,-2573.8345,137601.81,-2643.9048,-74624.66,-2710.3333,332.45593,329.09256,325.904
0.0115,239127.81,-2573.8345,136101.72,-2643.9048,-76238.805,-2710.3333,332.45593,329.09256,325.904
0.012,237288.2,-2573.8345,133840.14,-2643.9048,-78555.52,-2710.3333,332.45593,329.09256,325.904
0.0125,236079.14,-2573.8345,132322.25,-2643.9048,-80045.04,-2710.3333,332.45593,329.09256,325.904
0.013,234271.69,-2573.8345,130027.695,-2643.9048,-82231.71,-2710.3333,332.45593,329.09256,325.904
0.0135,233049.19,-2573.8345,128471.62,-2643.9048,-83691.04,-2710.3333,332.45593,329.09256,325.904
0.014,231178.89,-2573.8345,126076.91,-2643.9048,-85948.63,-3195.4624,332.45593,329.09256,302.6178
0.0145,229903.02,-2573.8345,124436.64,-2643.9048,-87526.414,-3195.4624,332.45593,329.09256,302.6178
0.015,227927.75,-2573.8345,121906.94,-2643.9048,-90039.984,-3195.4624,332.45593,329.09256,302.6178
0.0155,226561.55,-2573.8345,120174.125,-2913.7605,-91822.28,-3195.4624,332.45593,316.1395,302.6178
0.016,224433.22,-2869.0227,117510.836,-2913.7605,-94649.016,-3195.4624,318.2869,316.1395,302.6178
0.0165,222967.84,-2869.0227,115697.98,-2913.7605,-96619.08,-3195.4624,318.2869,316.1395,302.6178
0.017,220726.38,-2869.0227,112933.06,-2913.7605,-99657.19,-3195.4624,318.2869,316.1395,302.6178
0.0175,219220.48,-2869.0227,111073.87,-2913.7605,-101698.04,-3195.4624,318.2869,316.1395,302.6178
0.018,216971.11,-2869.0227,108289.984,-2913.7605,-104712.164,-3195.4624,318.2869,316.1395,302.6178
0.0185,215494.69,-2869.0227,106451.24,-2913.7605,-106652.53,-3195.4624,318.2869,316.1395,302.6178
0.019,213347.64,-2869.0227,103741.41,-2913.7605,-109408.09,-3195.4624,318.2869,316.1395,302.6178
0.0195,211974.88,-2869.0227,101978.24,-2913.7605,-111132.52,-3195.4624,318.2869,316.1395,302.6178
0.02,210022.1,-2869.0227,99404.914,-2913.7605,-113539.72,-3195.4624,318.2869,316.1395,302.6178
0.0205,208800.12,-2869.0227,97744.32,-2913.7605,-115030.17,-3195.4624,318.2869,316.1395,302.6178
0.021,207100.88,-2869.0227,95351.73,-2913.7605,-117118.73,-3195.4624,318.2869,316.1395,302.6178
0.0215,206038.84,-2869.0227,93823.09,-2913.7605,-118434.4,-3195.4624,318.2869,316.1395,302.6178
0.022,204527.7,-2869.0227,91612.48,-2913.7605,-120361.69,-3195.4624,318.2869,316.1395,302.6178
0.0225,203567.06,-2869.0227,90185.195,-2913.7605,-121650.04,-3195.4624,318.2869,316.1395,302.6178
0.023,202184.7,-2869.0227,88099.766,-2913.7605,-123638.2,-3195.4624,318.2869,316.1395,302.6178
0.0235,201280.83,-2869.0227,86735.85,-2913.7605,-125028.08,-3195.4624,318.2869,316.1395,302.6178
0.024,199929.69,-2869.0227,84722.04,-2913.7605,-127228.305,-3195.4624,318.2869,316.1395,302.6178
0.0245,199019.1,-2869.0227,83398.78,-2913.7605,-128770.86,-3195.4624,318.2869,316.1395,302.6178
0.025,197637.58,-2869.0227,81433.086,-2913.7605,-131173.22,-3195.4624,318.2869,316.1395,302.6178
0.0255,196708.31,-2869.0227,80131.73,-2913.7605,-132808.97,-3195.4624,318.2869,316.1395,302.6178
0.026,195312.31,-2869.0227,78193.484,-2913.7605,-135254.61,-3195.4624,318.2869,316.1395,302.6178
0.0265,194384.92,-2869.0227,76910.26,-2913.7605,-136845.47,-3195.4624,318.2869,316.1395,302.6178
