Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,447.71066,459.17813,463.08273
0.0005,447.71066,459.17813,463.08273
0.001,447.71066,459.17813,463.08273
0.0015,447.71066,459.17813,463.08273
0.002,447.71066,459.17813,463.08273
0.0025,447.71066,459.17813,463.08273
0.003,447.71066,458.87582,463.08273
0.0035,447.71066,458.87582,463.08273
0.004,447.87845,458.87582,463.08273
0.0045,447.87845,458.87582,463.08273
0.005,447.87845,458.87582,463.08273
0.0055,447.87845,458.87582,463.08273
0.006,447.87845,458.87582,463.08273
0.0065,447.87845,458.87582,463.08273
0.007,447.87845,458.87582,463.08273
0.0075,447.87845,458.87582,463.08273
0.008,447.87845,458.87582,463.08273
0.0085,447.87845,458.87582,463.08273
0.009,447.87845,458.87582,462.7953
0.0095,447.87845,458.87582,462.7953
0.01,447.87845,458.87582,462.7953
0.0105,447.87845,458.87582,462.7953
0.011,447.87845,458.87582,462.7953
0.0115,447.87845,458.87582,462.7953
0.012,447.87845,458.87582,462.7953
0.0125,447.87845,458.87582,462.7953
0.013,447.87845,458.87582,462.7953
0.0135,447.87845,458.87582,462.7953
0.014,447.87845,458.87582,462.7953
0.0145,447.87845,458.87582,462.7953
0.015,447.87845,458.87582,462.7953
0.0155,447.87845,458.87582,462.7953
0.016,447.87845,458.87582,462.7953
0.0165,447.87845,458.87582,462.7953
0.017,447.87845,458.87582,462.7953
0.0175,447.87845,458.87582,462.7953
0.018,447.87845,458.87582,462.7953
0.0185,447.87845,458.87582,462.7953
0.019,447.87845,458.87582,462.7953
0.0195,447.87845,458.87582,462.7953
0.02,447.87845,458.87582,462.7953
0.0205,447.87845,459.4518,462.7953
0.021,448.87894,459.4518,462.7953
0.0215,448.87894,459.4518,462.7953
0.022,448.87894,459.4518,462.7953
0.0225,448.87894,459.4518,462.7953
0.023,448.87894,459.4518,462.7953
0.0235,448.87894,459.4518,462.7953
0.024,448.87894,459.4518,462.7953
0.0245,448.87894,459.4518,462.7953
0.025,448.87894,459.4518,462.7953
0.0255,448.87894,459.4518,462.7953
0.026,448.87894,459.4518,463.8045
0.0265,448.87894,459.4518,463.8045
0.027,448.87894,459.4518,463.8045
0.0275,448.87894,459.4518,463.8045
0.028,448.87894,459.4518,463.8045
0.0285,448.87894,459.4518,463.8045
0.029,448.87894,459.4518,463.8045
0.0295,448.87894,459.4518,463.8045
0.03,448.87894,459.4518,463.8045
0.0305,448.87894,459.4518,463.8045
