Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0,423.09262,438.81992,421.8076
0.0005,423.09262,438.81992,421.8076
0.001,423.09262,438.81992,421.8076
0.0015,423.09262,438.81992,421.8076
0.002,423.09262,438.81992,421.8076
0.0025,429.45148,438.81992,421.8076
0.003,429.45148,438.81992,421.8076
0.0035,429.45148,438.81992,421.8076
0.004,429.45148,438.81992,421.8076
0.0045,429.45148,438.81992,421.8076
0.005,429.45148,438.81992,421.8076
0.0055,429.45148,438.81992,446.72455
0.006,429.45148,438.81992,446.72455
0.0065,429.45148,438.81992,446.72455
0.007,429.45148,438.81992,446.72455
0.0075,429.45148,438.81992,446.72455
0.008,429.45148,438.81992,446.72455
0.0085,429.45148,438.81992,446.72455
0.009,429.45148,438.81992,446.72455
0.0095,429.45148,438.81992,446.72455
0.01,429.45148,438.81992,446.72455
0.0105,429.45148,438.81992,446.72455
0.011,429.45148,438.81992,446.72455
0.0115,429.45148,438.81992,446.72455
0.012,429.45148,438.81992,446.72455
0.0125,429.45148,438.81992,446.72455
0.013,429.45148,438.81992,446.72455
0.0135,429.45148,438.81992,446.72455
0.014,429.45148,430.72974,446.72455
0.0145,429.45148,430.72974,446.72455
0.015,429.45148,430.72974,446.72455
0.0155,429.45148,430.72974,446.72455
0.016,429.45148,430.72974,446.72455
0.0165,429.45148,430.72974,446.72455
0.017,429.45148,430.72974,446.72455
0.0175,429.45148,430.72974,446.72455
0.018,429.45148,430.72974,446.72455
0.0185,429.45148,430.72974,446.72455
0.019,429.45148,430.72974,446.72455
0.0195,429.45148,430.72974,446.72455
0.02,405.50766,430.72974,446.72455
0.0205,405.50766,430.72974,446.72455
0.021,405.50766,430.72974,446.72455
0.0215,405.50766,430.72974,446.72455
0.022,405.50766,430.72974,446.72455
0.0225,405.50766,430.72974,408.34
0.023,405.50766,430.72974,408.34
0.0235,405.50766,430.72974,408.34
0.024,405.50766,430.72974,408.34
0.0245,405.50766,430.72974,408.34
0.025,405.50766,430.72974,408.34
0.0255,405.50766,430.72974,408.34
0.026,405.50766,430.72974,408.34
0.0265,405.50766,430.72974,408.34
0.027,405.50766,430.72974,408.34
0.0275,405.50766,430.72974,408.34
0.028,405.50766,430.72974,408.34
0.0285,405.50766,430.72974,408.34
0.029,405.50766,430.72974,408.34
0.0295,405.50766,430.72974,408.34
0.03,405.50766,430.72974,408.34
0.0305,405.50766,430.72974,408.34
0.031,405.50766,410.37012,408.34
0.0315,405.50766,410.37012,408.34
0.032,405.50766,410.37012,408.34
0.0325,405.50766,410.37012,408.34
0.033,405.50766,410.37012,408.34
0.0335,405.50766,410.37012,408.34
0.034,405.50766,410.37012,408.34
0.0345,405.50766,410.37012,408.34
0.035,405.50766,410.37012,408.34
0.0355,405.50766,410.37012,408.34
0.036,405.50766,410.37012,408.34
0.0365,405.50766,410.37012,408.34
0.037,405.50766,410.37012,408.34
0.0375,394.46628,410.37012,408.34
0.038,394.46628,410.37012,408.34
0.0385,394.46628,410.37012,408.34
0.039,394.46628,410.37012,408.34
0.0395,394.46628,410.37012,408.34
0.04,394.46628,410.37012,398.5361
0.0405,394.46628,410.37012,398.5361
0.041,394.46628,410.37012,398.5361
0.0415,394.46628,410.37012,398.5361
0.042,394.46628,410.37012,398.5361
0.0425,394.46628,410.37012,398.5361
0.043,394.46628,410.37012,398.5361
0.0435,394.46628,410.37012,398.5361
0.044,394.46628,410.37012,398.5361
0.0445,394.46628,410.37012,398.5361
