Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,466.58398,474.2663,468.1491
0.0005,466.58398,474.2663,468.1491
0.001,466.58398,474.2663,468.1491
0.0015,466.58398,474.2663,468.1491
0.002,466.58398,474.2663,468.1491
0.0025,466.58398,474.2663,468.1491
0.003,466.58398,474.2663,468.1491
0.0035,466.58398,474.2663,468.1491
0.004,466.58398,474.2663,468.1491
0.0045,466.58398,474.2663,468.1491
0.005,466.58398,474.2663,468.1491
0.0055,466.58398,474.2663,468.1491
0.006,466.58398,474.2663,468.1491
0.0065,466.58398,474.2663,468.1491
0.007,466.58398,474.2663,468.1491
0.0075,466.58398,474.2663,468.1491
0.008,466.58398,474.2663,468.1491
0.0085,466.58398,474.2663,468.1491
0.009,466.58398,474.2663,468.1491
0.0095,466.58398,472.62247,468.1491
0.01,466.58398,472.62247,468.1491
0.0105,466.58398,472.62247,468.1491
0.011,466.58398,472.62247,468.1491
0.0115,466.58398,472.62247,468.1491
0.012,466.58398,472.62247,468.1491
0.0125,466.58398,472.62247,468.1491
0.013,466.58398,472.62247,468.1491
0.0135,466.58398,472.62247,468.1491
0.014,466.58398,472.62247,468.1491
0.0145,466.58398,472.62247,468.1491
0.015,466.58398,472.62247,467.13153
0.0155,466.58398,472.62247,467.13153
0.016,466.58398,472.62247,467.13153
0.0165,465.5545,472.62247,467.13153
0.017,465.5545,472.62247,467.13153
0.0175,465.5545,472.62247,467.13153
0.018,465.5545,472.62247,467.13153
0.0185,465.5545,472.62247,467.13153
0.019,465.5545,472.62247,467.13153
0.0195,465.5545,472.62247,467.13153
0.02,465.5545,472.62247,467.13153
0.0205,465.5545,472.62247,467.13153
0.021,465.5545,472.62247,467.13153
0.0215,465.5545,472.62247,467.13153
0.022,465.5545,472.62247,467.13153
0.0225,465.5545,472.62247,467.13153
0.023,465.5545,472.62247,467.13153
0.0235,465.5545,472.62247,467.13153
0.024,465.5545,472.62247,467.13153
0.0245,465.5545,472.62247,467.13153
0.025,465.5545,472.62247,467.13153
0.0255,465.5545,472.62247,467.13153
0.026,465.5545,472.62247,467.13153
0.0265,465.5545,474.0393,467.13153
0.027,465.5545,474.0393,467.13153
0.0275,465.5545,474.0393,467.13153
0.028,465.5545,474.0393,467.13153
0.0285,465.5545,474.0393,467.13153
0.029,465.5545,474.0393,467.13153
0.0295,465.5545,474.0393,467.13153
0.03,465.5545,474.0393,467.13153
0.0305,465.5545,474.0393,467.13153
0.031,465.5545,474.0393,467.13153
0.0315,465.5545,474.0393,467.13153
0.032,465.5545,474.0393,467.13153
0.0325,465.5545,474.0393,469.22574
0.033,465.5545,474.0393,469.22574
0.0335,467.08527,474.0393,469.22574
0.034,467.08527,474.0393,469.22574
0.0345,467.08527,474.0393,469.22574
0.035,467.08527,474.0393,469.22574
0.0355,467.08527,474.0393,469.22574
0.036,467.08527,474.0393,469.22574
0.0365,467.08527,474.0393,469.22574
0.037,467.08527,474.0393,469.22574
0.0375,467.08527,474.0393,469.22574
0.038,467.08527,474.0393,469.22574
