Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,283.00787,270.43762,357.40582
0.0005,283.00787,270.43762,357.40582
0.001,283.00787,270.43762,357.40582
0.0015,283.00787,270.43762,357.40582
0.002,283.00787,270.43762,357.40582
0.0025,283.00787,270.43762,357.40582
0.003,283.00787,270.43762,357.40582
0.0035,283.00787,270.43762,357.40582
0.004,283.00787,270.43762,357.40582
0.0045,283.00787,270.43762,357.40582
0.005,283.00787,270.43762,357.40582
0.0055,283.00787,270.43762,357.40582
0.006,283.00787,270.43762,357.40582
0.0065,283.00787,270.43762,357.40582
0.007,283.00787,270.43762,357.40582
0.0075,283.00787,270.43762,357.40582
0.008,283.00787,270.43762,357.40582
0.0085,327.50958,270.43762,357.40582
0.009,327.50958,270.43762,357.40582
0.0095,327.50958,270.43762,357.40582
0.01,327.50958,270.43762,357.40582
0.0105,327.50958,270.43762,357.40582
0.011,327.50958,302.64206,357.40582
0.0115,327.50958,302.64206,357.40582
0.012,327.50958,302.64206,357.40582
0.0125,327.50958,302.64206,357.40582
0.013,327.50958,302.64206,357.40582
0.0135,327.50958,302.64206,357.40582
0.014,327.50958,302.64206,357.40582
0.0145,327.50958,302.64206,357.40582
0.015,327.50958,302.64206,357.40582
0.0155,327.50958,302.64206,357.40582
0.016,327.50958,302.64206,309.78763
0.0165,327.50958,302.64206,309.78763
0.017,327.50958,302.64206,309.78763
0.0175,327.50958,302.64206,309.78763
0.018,327.50958,302.64206,309.78763
0.0185,327.50958,302.64206,309.78763
0.019,327.50958,302.64206,309.78763
0.0195,327.50958,302.64206,309.78763
0.02,327.50958,302.64206,309.78763
0.0205,327.50958,302.64206,309.78763
0.021,327.50958,302.64206,309.78763
0.0215,327.50958,302.64206,309.78763
0.022,327.50958,302.64206,309.78763
0.0225,327.50958,302.64206,309.78763
0.023,327.50958,302.64206,309.78763
0.0235,327.50958,302.64206,309.78763
0.024,327.50958,302.64206,309.78763
0.0245,327.50958,302.64206,309.78763
0.025,327.50958,302.64206,309.78763
0.0255,167.94777,302.64206,309.78763
0.026,167.94777,302.64206,309.78763
0.0265,167.94777,302.64206,309.78763
0.027,167.94777,302.64206,309.78763
0.0275,167.94777,302.64206,309.78763
0.028,167.94777,302.64206,309.78763
0.0285,167.94777,139.91972,309.78763
0.029,167.94777,139.91972,309.78763
0.0295,167.94777,139.91972,309.78763
0.03,167.94777,139.91972,309.78763
0.0305,167.94777,139.91972,309.78763
0.031,167.94777,139.91972,309.78763
0.0315,167.94777,139.91972,309.78763
