Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,468.69925,472.0449,476.51077
0.0005,468.69925,472.0449,476.51077
0.001,468.69925,472.0449,476.51077
0.0015,468.69925,472.0449,476.51077
0.002,468.69925,472.0449,476.51077
0.0025,468.69925,472.0449,476.51077
0.003,468.69925,472.0449,476.51077
0.0035,468.69925,472.0449,476.3751
0.004,468.69925,472.0449,476.3751
0.0045,468.69925,472.0449,476.3751
0.005,468.69925,472.0449,476.3751
0.0055,468.69925,472.0449,476.3751
0.006,468.69925,472.0449,476.3751
0.0065,468.69925,472.0449,476.3751
0.007,468.69925,472.0449,476.3751
0.0075,468.54736,472.0449,476.3751
0.008,468.54736,472.0449,476.3751
0.0085,468.54736,472.0449,476.3751
0.009,468.54736,467.20016,476.3751
0.0095,468.54736,467.20016,476.3751
0.01,468.54736,467.20016,476.3751
0.0105,468.54736,467.20016,476.3751
0.011,468.54736,467.20016,476.3751
0.0115,468.54736,467.20016,476.3751
0.012,468.54736,467.20016,476.3751
0.0125,468.54736,467.20016,476.3751
0.013,468.54736,467.20016,476.3751
0.0135,468.54736,467.20016,476.3751
0.014,468.54736,467.20016,476.3751
0.0145,468.54736,467.20016,476.3751
0.015,468.54736,467.20016,476.3751
0.0155,468.54736,467.20016,476.3751
0.016,468.54736,467.20016,476.3751
0.0165,468.54736,467.20016,476.3751
0.017,468.54736,467.20016,476.3751
0.0175,468.54736,467.20016,476.3751
0.018,468.54736,467.20016,476.3751
0.0185,468.54736,467.20016,476.3751
0.019,468.54736,467.20016,476.3751
0.0195,468.54736,467.20016,476.3751
0.02,468.54736,467.20016,476.3751
0.0205,468.54736,467.20016,447.33948
0.021,468.54736,467.20016,447.33948
0.0215,468.54736,467.20016,447.33948
0.022,468.54736,467.20016,447.33948
0.0225,468.54736,467.20016,447.33948
0.023,468.54736,467.20016,447.33948
0.0235,468.54736,467.20016,447.33948
0.024,417.00128,467.20016,447.33948
0.0245,417.00128,467.20016,447.33948
0.025,417.00128,467.20016,447.33948
0.0255,417.00128,467.20016,447.33948
0.026,417.00128,414.33292,447.33948
0.0265,417.00128,414.33292,447.33948
0.027,417.00128,414.33292,447.33948
0.0275,417.00128,414.33292,447.33948
0.028,417.00128,414.33292,447.33948
0.0285,417.00128,414.33292,447.33948
0.029,417.00128,414.33292,447.33948
0.0295,417.00128,414.33292,447.33948
0.03,417.00128,414.33292,447.33948
0.0305,417.00128,414.33292,447.33948
0.031,417.00128,414.33292,447.33948
0.0315,417.00128,414.33292,447.33948
0.032,417.00128,414.33292,447.33948
0.0325,417.00128,414.33292,447.33948
0.033,417.00128,414.33292,447.33948
0.0335,417.00128,414.33292,447.33948
0.034,417.00128,414.33292,447.33948
0.0345,417.00128,414.33292,447.33948
0.035,417.00128,414.33292,447.33948
0.0355,417.00128,414.33292,447.33948
0.036,417.00128,414.33292,447.33948
0.0365,417.00128,414.33292,447.33948
0.037,417.00128,414.33292,447.33948
0.0375,417.00128,414.33292,447.33948
0.038,417.00128,414.33292,438.3592
0.0385,417.00128,414.33292,438.3592
0.039,417.00128,414.33292,438.3592
0.0395,417.00128,414.33292,438.3592
0.04,417.00128,414.33292,438.3592
0.0405,417.00128,414.33292,438.3592
0.041,417.00128,414.33292,438.3592
0.0415,421.14804,414.33292,438.3592
0.042,421.14804,414.33292,438.3592
0.0425,421.14804,414.33292,438.3592
0.043,421.14804,414.33292,438.3592
0.0435,421.14804,416.62473,438.3592
0.044,421.14804,416.62473,438.3592
0.0445,421.14804,416.62473,438.3592
0.045,421.14804,416.62473,438.3592
0.0455,421.14804,416.62473,438.3592
0.046,421.14804,416.62473,438.3592
0.0465,421.14804,416.62473,438.3592
0.047,421.14804,416.62473,438.3592
0.0475,421.14804,416.62473,438.3592
0.048,421.14804,416.62473,438.3592
0.0485,421.14804,416.62473,438.3592
0.049,421.14804,416.62473,438.3592
0.0495,421.14804,416.62473,438.3592
0.05,421.14804,416.62473,438.3592
0.0505,421.14804,416.62473,438.3592
0.051,421.14804,416.62473,438.3592
0.0515,421.14804,416.62473,438.3592
0.052,421.14804,416.62473,438.3592
0.0525,421.14804,416.62473,438.3592
0.053,421.14804,416.62473,438.3592
0.0535,421.14804,416.62473,438.3592
0.054,421.14804,416.62473,438.3592
0.0545,421.14804,416.62473,438.3592
0.055,421.14804,416.62473,438.17352
0.0555,421.14804,416.62473,438.17352
0.056,421.14804,416.62473,438.17352
0.0565,421.14804,416.62473,438.17352
0.057,421.14804,416.62473,438.17352
0.0575,421.14804,416.62473,438.17352
0.058,421.14804,416.62473,438.17352
0.0585,421.14804,416.62473,438.17352
0.059,426.8979,416.62473,438.17352
0.0595,426.8979,416.62473,438.17352
0.06,426.8979,416.62473,438.17352
0.0605,426.8979,416.62473,438.17352
0.061,426.8979,418.20215,438.17352
0.0615,426.8979,418.20215,438.17352
0.062,426.8979,418.20215,438.17352
0.0625,426.8979,418.20215,438.17352
0.063,426.8979,418.20215,438.17352
0.0635,426.8979,418.20215,438.17352
0.064,426.8979,418.20215,438.17352
0.0645,426.8979,418.20215,438.17352
0.065,426.8979,418.20215,438.17352
0.0655,426.8979,418.20215,438.17352
0.066,426.8979,418.20215,438.17352
0.0665,426.8979,418.20215,438.17352
0.067,426.8979,418.20215,438.17352
0.0675,426.8979,418.20215,438.17352
0.068,426.8979,418.20215,438.17352
0.0685,426.8979,418.20215,438.17352
0.069,426.8979,418.20215,438.17352
0.0695,426.8979,418.20215,438.17352
0.07,426.8979,418.20215,438.17352
0.0705,426.8979,418.20215,438.17352
0.071,426.8979,418.20215,438.17352
0.0715,426.8979,418.20215,438.17352
0.072,426.8979,418.20215,417.84518
0.0725,426.8979,418.20215,417.84518
0.073,426.8979,418.20215,417.84518
0.0735,426.8979,418.20215,417.84518
0.074,426.8979,418.20215,417.84518
0.0745,426.8979,418.20215,417.84518
