Time,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0,406.5875,403.55447,427.41995
0.0005,406.5875,403.55447,427.41995
0.001,406.5875,403.55447,427.41995
0.0015,406.5875,403.55447,427.41995
0.002,406.5875,403.55447,427.41995
0.0025,406.5875,403.55447,427.41995
0.003,406.5875,403.55447,427.41995
0.0035,406.5875,404.74304,427.41995
0.004,406.5875,404.74304,420.80862
0.0045,408.32712,404.74304,420.80862
0.005,408.32712,404.74304,420.80862
0.0055,408.32712,404.74304,420.80862
0.006,408.32712,404.74304,420.80862
0.0065,408.32712,404.74304,420.80862
0.007,408.32712,404.74304,420.80862
0.0075,408.32712,404.74304,420.80862
0.008,408.32712,404.74304,420.80862
0.0085,408.32712,404.74304,420.80862
0.009,408.32712,404.74304,420.80862
0.0095,408.32712,404.74304,420.80862
0.01,408.32712,404.74304,420.80862
0.0105,408.32712,404.74304,420.80862
0.011,408.32712,404.74304,420.80862
0.0115,408.32712,404.74304,420.80862
0.012,408.32712,404.74304,420.80862
0.0125,408.32712,404.74304,420.80862
0.013,408.32712,404.74304,420.80862
0.0135,408.32712,404.74304,420.80862
0.014,408.32712,404.74304,420.80862
0.0145,408.32712,404.74304,420.80862
0.015,408.32712,404.74304,420.80862
0.0155,408.32712,404.74304,420.80862
0.016,408.32712,404.74304,420.80862
0.0165,408.32712,404.74304,420.80862
0.017,408.32712,404.74304,420.80862
0.0175,408.32712,404.74304,420.80862
0.018,408.32712,404.74304,420.80862
0.0185,408.32712,404.74304,420.80862
0.019,408.32712,404.74304,420.80862
0.0195,408.32712,404.74304,420.80862
0.02,408.32712,404.74304,420.80862
0.0205,408.32712,380.75082,405.3498
0.021,408.32712,380.75082,405.3498
0.0215,384.82217,380.75082,405.3498
0.022,384.82217,380.75082,405.3498
0.0225,384.82217,380.75082,405.3498
0.023,384.82217,380.75082,405.3498
0.0235,384.82217,380.75082,405.3498
0.024,384.82217,380.75082,405.3498
0.0245,384.82217,380.75082,405.3498
0.025,384.82217,380.75082,405.3498
0.0255,384.82217,380.75082,405.3498
0.026,384.82217,380.75082,405.3498
0.0265,384.82217,380.75082,405.3498
0.027,384.82217,380.75082,405.3498
0.0275,384.82217,380.75082,405.3498
0.028,384.82217,380.75082,405.3498
0.0285,384.82217,380.75082,405.3498
0.029,384.82217,380.75082,405.3498
0.0295,384.82217,380.75082,405.3498
0.03,384.82217,380.75082,405.3498
0.0305,384.82217,380.75082,405.3498
0.031,384.82217,380.75082,405.3498
0.0315,384.82217,380.75082,405.3498
0.032,384.82217,380.75082,405.3498
0.0325,384.82217,380.75082,405.3498
0.033,384.82217,380.75082,405.3498
0.0335,384.82217,380.75082,405.3498
0.034,384.82217,380.75082,405.3498
0.0345,384.82217,380.75082,405.3498
0.035,384.82217,380.75082,405.3498
0.0355,384.82217,380.75082,405.3498
0.036,384.82217,380.75082,405.3498
0.0365,384.82217,380.75082,405.3498
0.037,384.82217,380.75082,405.3498
0.0375,384.82217,380.75082,405.3498
0.038,384.82217,379.246,408.72232
0.0385,384.82217,379.246,408.72232
0.039,391.30676,379.246,408.72232
0.0395,391.30676,379.246,408.72232
0.04,391.30676,379.246,408.72232
0.0405,391.30676,379.246,408.72232
0.041,391.30676,379.246,408.72232
0.0415,391.30676,379.246,408.72232
0.042,391.30676,379.246,408.72232
0.0425,391.30676,379.246,408.72232
0.043,391.30676,379.246,408.72232
0.0435,391.30676,379.246,408.72232
0.044,391.30676,379.246,408.72232
0.0445,391.30676,379.246,408.72232
0.045,391.30676,379.246,408.72232
0.0455,391.30676,379.246,408.72232
0.046,391.30676,379.246,408.72232
0.0465,391.30676,379.246,408.72232
0.047,391.30676,379.246,408.72232
0.0475,391.30676,379.246,408.72232
0.048,391.30676,379.246,408.72232
0.0485,391.30676,379.246,408.72232
0.049,391.30676,379.246,408.72232
0.0495,391.30676,379.246,408.72232
0.05,391.30676,379.246,408.72232
0.0505,391.30676,379.246,408.72232
0.051,391.30676,379.246,408.72232
0.0515,391.30676,379.246,408.72232
0.052,391.30676,379.246,408.72232
0.0525,391.30676,379.246,408.72232
0.053,391.30676,379.246,408.72232
0.0535,391.30676,379.246,408.72232
0.054,391.30676,379.246,408.72232
0.0545,391.30676,379.246,408.72232
