Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,2164299.5,1030097.44,462166.97,1112.0017,1064.0608,556.6035
0.0005,2185347.2,1046607.7,475336.3,1112.0017,1064.0608,556.6035
0.001,2214471.5,1072129.0,495934.56,1112.0017,1064.0608,556.6035
0.0015,2232985.0,1089400.9,510179.56,1112.0017,1064.0608,556.6035
0.002,2260226.2,1115620.5,531836.7,1112.0017,1064.0608,556.6035
0.0025,2278161.0,1133374.5,546189.25,1112.0017,1064.0608,556.6035
0.003,2304705.0,1160371.6,567357.0,1112.0017,1064.0608,556.6035
0.0035,2322144.5,1178396.9,581202.06,1112.0017,1064.0608,556.6035
0.004,2348239.0,1205564.6,601562.7,1112.0017,1064.0608,1307.9844
0.0045,2367296.5,1227002.0,614867.94,1112.0017,1064.0608,1307.9844
0.005,2398396.2,1273986.0,632607.9,1112.0017,1064.0608,1307.9844
0.0055,2418184.0,1318891.5,640534.9,1112.0017,1064.0608,1307.9844
0.006,2446004.2,1402053.2,643073.06,1112.0017,1064.0608,1307.9844
0.0065,2467424.2,1458421.9,638731.2,1112.0017,1064.0608,1307.9844
0.007,2511735.5,1525387.6,628406.25,1112.0017,1064.0608,1307.9844
0.0075,2548976.5,1552773.1,623562.56,1112.0017,1064.0608,1307.9844
0.008,2605287.8,1573109.8,625436.8,1112.0017,1064.0608,1307.9844
0.0085,2635353.5,1580819.6,633467.8,1112.0017,1064.0608,1307.9844
0.009,2664690.0,1594639.5,651912.0,1112.0017,1064.0608,1307.9844
0.0095,2677698.2,1606914.2,665042.06,1112.0017,1064.0608,1307.9844
0.01,2698423.8,1626754.6,681797.44,1112.0017,1064.0608,1307.9844
0.0105,2716854.5,1639142.8,690602.3,1112.0017,1064.0608,1307.9844
0.011,2750277.8,1656819.4,702166.9,1112.0017,1064.0608,1307.9844
0.0115,2773570.2,1669275.5,710051.3,1112.0017,1064.0608,1307.9844
0.012,2807136.2,1689903.8,722672.6,1112.0017,1064.0608,1307.9844
0.0125,2828865.5,1704279.6,730975.25,1112.0017,1064.0608,1307.9844
0.013,2861378.8,1725355.0,741990.06,1112.0017,1064.0608,1307.9844
0.0135,2882253.2,1738937.2,748257.6,1112.0017,1064.0608,1307.9844
0.014,2909489.8,1759027.2,756944.06,1112.0017,1064.0608,1307.9844
0.0145,2924048.8,1771848.1,762839.06,1112.0017,1064.0608,1307.9844
0.015,2942185.2,1787853.8,771905.8,1487.1566,1525.0431,1307.9844
0.0155,2953807.5,1794880.9,777556.25,1487.1566,1525.0431,1307.9844
0.016,2972755.8,1799481.5,784301.4,1487.1566,1525.0431,1307.9844
0.0165,2985905.2,1799874.8,787376.56,1487.1566,1525.0431,1307.9844
0.017,3003641.5,1799803.5,790412.06,1487.1566,1525.0431,1307.9844
0.0175,3012837.8,1800693.1,792049.6,1487.1566,1525.0431,1307.9844
0.018,3022583.8,1803840.2,794848.4,1487.1566,1525.0431,1307.9844
0.0185,3027262.5,1806655.1,797071.6,1487.1566,1525.0431,1307.9844
0.019,3033053.2,1811222.4,800537.0,1487.1566,1525.0431,1307.9844
0.0195,3036396.5,1814448.2,802560.94,1487.1566,1525.0431,1307.9844
0.02,3040413.2,1819720.9,804701.3,1487.1566,1525.0431,1307.9844
0.0205,3042258.5,1823438.1,805433.44,1487.1566,1525.0431,1307.9844
0.021,3043777.5,1828768.2,805523.6,1487.1566,1525.0431,1307.9844
0.0215,3043968.2,1831857.1,804941.4,1487.1566,1525.0431,1562.3796
0.022,3042796.2,1835670.1,803058.0,1487.1566,1525.0431,1562.3796
0.0225,3040812.5,1837731.0,801061.44,1487.1566,1525.0431,1562.3796
0.023,3035887.2,1840061.1,796907.9,1487.1566,1525.0431,1562.3796
0.0235,3031497.5,1840892.8,793440.3,1487.1566,1525.0431,1562.3796
0.024,3023841.2,1840637.1,787515.1,1487.1566,1525.0431,1562.3796
0.0245,3018244.8,1839478.5,783321.44,1487.1566,1525.0431,1562.3796
0.025,3009146.0,1836886.6,776987.8,1487.1566,1525.0431,1562.3796
