Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,262374.3,305826.0,-294579.7,440.2697,456.99692,431.7971
0.0005,262511.5,305392.47,-294868.0,440.2697,456.99692,431.7971
0.001,262673.44,304657.16,-295495.8,440.2697,456.99692,431.7971
0.0015,262759.72,304147.2,-296003.0,440.2697,456.99692,431.7971
0.002,262864.9,303427.88,-296786.53,440.2697,456.99692,431.7971
0.0025,262912.78,303024.94,-297247.22,440.2697,456.99692,431.7971
0.003,262941.44,302599.78,-297725.06,440.2697,456.99692,431.7971
0.0035,262941.28,302457.6,-297863.4,440.2697,456.99692,431.7971
0.004,262953.72,302452.94,-297788.12,440.2697,456.99692,431.7971
0.0045,262995.03,302568.56,-297570.3,440.2697,456.99692,431.7971
0.005,263116.44,302866.12,-297048.12,440.2697,456.99692,431.7971
0.0055,263219.8,303114.25,-296605.84,440.2697,456.99692,431.7971
0.006,263362.8,303503.22,-295875.3,440.2697,456.99692,431.7971
0.0065,263430.6,303735.6,-295387.94,440.2697,456.99692,431.7971
0.007,263476.53,303968.3,-294748.06,440.2697,456.99692,431.7971
0.0075,263470.28,304013.6,-294425.25,440.2697,456.99692,431.7971
0.008,263407.5,303893.56,-294142.97,440.2697,456.99692,431.7971
0.0085,263325.8,303692.47,-294094.06,440.2697,456.99692,431.7971
0.009,263139.44,303251.6,-294201.12,440.2697,456.99692,431.7971
0.0095,262977.3,302905.8,-294352.8,440.2697,456.99692,431.7971
0.01,262694.66,302383.72,-294610.72,440.2697,456.99692,431.7971
0.0105,262493.84,302075.12,-294749.12,440.2697,456.99692,431.7971
0.011,262193.2,301732.97,-294818.12,440.2697,462.95026,437.69888
0.0115,262000.88,301617.84,-294734.25,440.2697,462.95026,437.69888
0.012,261734.61,301645.94,-294367.6,440.2697,462.95026,437.69888
0.0125,261575.89,301798.7,-293951.75,440.2697,462.95026,437.69888
0.013,261379.78,302193.16,-293085.7,440.2697,462.95026,437.69888
0.0135,261274.14,302527.38,-292373.6,445.15268,462.95026,437.69888
0.014,261147.05,303055.1,-291181.94,445.15268,462.95026,437.69888
0.0145,261075.27,303378.75,-290356.62,445.15268,462.95026,437.69888
0.015,260970.97,303751.9,-289176.8,445.15268,462.95026,437.69888
0.0155,260898.2,303898.7,-288483.97,445.15268,462.95026,437.69888
0.016,260771.95,303934.06,-287654.62,445.15268,462.95026,437.69888
0.0165,260668.67,303827.3,-287263.78,445.15268,462.95026,437.69888
0.017,260477.61,303492.56,-286925.2,445.15268,462.95026,437.69888
0.0175,260327.47,303183.16,-286842.38,445.15268,462.95026,437.69888
0.018,260080.12,302659.3,-286870.72,445.15268,462.95026,437.69888
0.0185,259912.0,302311.5,-286947.66,445.15268,462.95026,437.69888
