Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,1153284.6,754951.5,-302485.84,1212.7147,1240.9221,1210.338
0.0005,1147836.1,746631.75,-305398.97,1212.7147,1240.9221,1210.338
0.001,1144112.1,741726.44,-306737.53,1212.7147,1240.9221,1210.338
0.0015,1138434.4,735374.5,-308181.0,1212.7147,1240.9221,1210.338
0.002,1134572.1,731800.75,-308950.66,1212.7147,1240.9221,1210.338
0.0025,1128629.1,727268.8,-310042.94,1212.7147,1240.9221,1210.338
0.003,1124587.4,724607.9,-310812.88,1212.7147,1240.9221,1210.338
0.0035,1118498.5,720756.56,-312125.78,1212.7147,1240.9221,1210.338
0.004,1114437.5,718092.8,-313144.9,1212.7147,1240.9221,1210.338
0.0045,1108233.1,713832.3,-314908.25,1212.7147,1240.9221,1210.338
0.005,1103912.1,710841.25,-316213.62,1212.7147,1240.9221,1210.338
0.0055,1096977.0,706259.3,-318250.1,1212.7147,1240.9221,1210.338
0.006,1092004.6,703229.7,-319568.5,1212.7147,1240.9221,1210.338
0.0065,1084005.8,698896.44,-321350.0,1212.7147,1240.9221,1210.338
0.007,1078339.6,696290.7,-322366.4,1212.7147,1240.9221,1210.338
0.0075,1069387.8,693099.2,-323637.5,1212.7147,1240.9221,1210.338
0.008,1063146.2,691614.94,-324351.1,1212.7147,1240.9221,1210.338
0.0085,1053446.0,690536.44,-325309.06,1142.7584,1240.9221,1123.1066
0.009,1046825.1,690595.56,-325923.47,1142.7584,1240.9221,1123.1066
0.0095,1036784.6,691726.3,-326883.4,1142.7584,1240.9221,1123.1066
0.01,1030070.3,693046.2,-327583.88,1142.7584,1240.9221,1123.1066
0.0105,1020012.25,695596.25,-328777.66,1142.7584,1240.9221,1123.1066
0.011,1013345.75,697488.6,-329700.5,1142.7584,1240.9221,1123.1066
0.0115,1003466.75,700279.75,-331330.72,1142.7584,1240.9221,1123.1066
0.012,996988.9,701930.75,-332592.1,1142.7584,1240.9221,1123.1066
0.0125,987455.8,703861.6,-334710.88,1142.7584,1240.9221,1123.1066
0.013,981204.9,704705.6,-336223.47,1142.7584,1240.9221,1123.1066
0.0135,971929.56,705298.06,-338516.25,1142.7584,1240.9221,1123.1066
0.014,965779.9,705286.4,-339984.75,1142.7584,1240.9221,1123.1066
0.0145,956614.06,704783.3,-341992.25,1142.7584,1240.9221,1123.1066
0.015,950567.3,704227.5,-343163.9,1142.7584,1240.9221,1123.1066
0.0155,941622.8,703274.75,-344639.22,1142.7584,1240.9221,1123.1066
0.016,935750.3,702689.9,-345425.4,1142.7584,1240.9221,1123.1066
0.0165,927076.9,702061.0,-346308.7,1142.7584,1240.9221,1123.1066
0.017,921402.44,701858.56,-346716.84,1142.7584,1135.8811,1123.1066
0.0175,913108.3,701872.4,-347127.53,1142.7584,1135.8811,1123.1066
0.018,907753.3,702043.25,-347325.7,1142.7584,1135.8811,1123.1066
0.0185,900012.44,702397.3,-347626.44,1142.7584,1135.8811,1123.1066
0.019,895060.3,702592.3,-347899.38,1142.7584,1135.8811,1123.1066
0.0195,887936.5,702629.7,-348514.6,1142.7584,1135.8811,1123.1066
0.02,883380.5,702382.0,-349093.1,1142.7584,1135.8811,1123.1066
0.0205,876730.8,701472.9,-350225.5,1142.7584,1135.8811,1123.1066
