Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,258994.2,275667.3,-280808.97,436.3415,458.67783,425.01968
0.0002,259052.84,275599.88,-280891.34,436.3415,458.67783,425.01968
0.0004,259114.95,275562.72,-280938.38,436.3415,458.67783,425.01968
0.0006,259180.84,275554.62,-280952.3,436.3415,458.67783,425.01968
0.0008,259250.97,275570.97,-280933.34,436.3415,458.67783,425.01968
0.001,259325.84,275610.9,-280884.4,436.3415,458.67783,426.37097
0.0012,259405.28,275670.88,-280808.1,436.3415,458.67783,426.37097
0.0014,259488.28,275747.25,-280705.6,436.3415,458.67783,426.37097
0.0016,259573.42,275836.8,-280581.97,436.3415,458.67783,426.37097
0.0018,259658.48,275936.47,-280439.1,436.3415,458.67783,426.37097
0.002,259740.9,276044.66,-280277.97,436.3415,458.67783,426.37097
0.0022,259817.86,276156.6,-280103.47,436.3415,458.67783,426.37097
0.0024,259887.39,276272.03,-279917.8,436.3415,458.67783,426.37097
0.0026,259947.97,276390.1,-279723.34,436.3415,458.67783,426.37097
0.0028,259998.73,276503.16,-279525.62,436.3415,458.67783,426.37097
0.003,260040.94,276610.88,-279327.9,436.3415,458.67783,426.37097
0.0032,260075.39,276709.75,-279135.03,436.3415,458.67783,426.37097
0.0034,260103.47,276793.72,-278953.4,436.3415,458.67783,426.37097
0.0036,260128.27,276860.03,-278787.44,436.3415,458.67783,426.37097
0.0038,260150.64,276901.78,-278642.84,436.3415,458.67783,426.37097
0.004,260172.34,276918.03,-278523.75,436.3415,458.67783,426.37097
0.0042,260194.72,276909.03,-278433.84,436.3415,458.67783,426.37097
0.0044,260215.89,276869.0,-278376.25,436.3415,458.67783,426.37097
0.0046,260236.25,276798.8,-278352.1,436.3415,458.67783,426.37097
0.0048,260253.95,276702.1,-278362.6,436.3415,458.67783,426.37097
0.005,260265.64,276578.97,-278406.44,436.3415,458.67783,426.37097
0.0052,260270.97,276434.78,-278480.9,436.3415,458.67783,426.37097
0.0054,260267.22,276274.1,-278584.1,436.3415,458.67783,426.37097
0.0056,260252.67,276099.88,-278711.4,436.3415,458.67783,426.37097
0.0058,260227.23,275918.22,-278857.84,436.3415,458.67783,426.37097
0.006,260189.62,275733.84,-279017.62,436.3415,458.67783,426.37097
0.0062,260141.19,275549.44,-279184.12,436.3415,458.67783,426.37097
0.0064,260082.7,275368.3,-279353.25,436.3415,458.67783,426.37097
0.0066,260015.6,275193.75,-279518.2,436.3415,458.67783,426.37097
0.0068,259943.2,275028.0,-279672.44,436.3415,458.67783,426.37097
0.007,259866.47,274873.28,-279812.84,436.3415,458.67783,426.37097
