Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.6710291,0.0,-0.3929102,0.0,-0.39151892,0.0,0.019523373,6.19522e-06,0.019556055,2.6618672e-08,0.019371307,7.753167e-07
0.02,2.0110917,296.0618,-1.2436872,293.39896,-1.2414447,293.06924,0.06525235,2.1194932e-05,0.065348476,-1.367412e-07,0.064956054,7.0670274e-07
0.03,2.2013075,296.0618,-1.410464,293.39896,-1.4073753,293.06924,0.08110725,3.5636986e-05,0.08119511,-3.7036594e-07,0.08072644,1.9900572e-06
0.04,3.1632063,443.92947,-1.9194137,440.4306,-1.9161462,440.0423,0.104735516,4.904421e-05,0.10490129,-4.7286804e-07,0.10425478,2.338304e-06
0.05,3.5754454,443.92947,-2.1877208,440.4306,-2.183506,440.0423,0.12265702,5.477695e-05,0.12291047,-3.0457278e-07,0.12210499,7.204613e-07
0.06,3.7072618,522.45685,-2.3495889,518.41626,-2.3451645,517.9442,0.13250323,6.6830755e-05,0.13273363,8.53321e-08,0.1319061,9.945704e-07
0.07,3.8140726,547.90894,-2.432629,543.70764,-2.4285798,543.22186,0.13475563,6.950135e-05,0.13492061,5.350477e-07,0.1341532,1.7360097e-06
0.08,3.9112566,547.90894,-2.4193072,543.70764,-2.414514,543.22186,0.13188662,7.515054e-05,0.13206027,7.412974e-07,0.13129948,9.2223297e-07
0.09,3.8841996,546.60114,-2.3558173,542.4471,-2.351873,541.9679,0.1289192,7.607141e-05,0.12916306,6.108777e-07,0.12835342,6.3632126e-07
0.1,3.6543229,546.60114,-2.258329,542.4471,-2.2541804,541.9679,0.1252762,7.000561e-05,0.12552455,2.261137e-07,0.12472309,3.0337965e-06
0.11,3.3693638,527.97546,-2.13988,523.97626,-2.1358395,523.51245,0.11879524,4.439227e-05,0.11897706,5.58566e-07,0.118268855,4.599528e-06
0.12,3.2282462,503.83337,-2.0369616,500.0159,-2.033596,499.5705,0.11071017,3.7501322e-05,0.110841334,8.6508315e-08,0.110222965,1.3842883e-06
0.13,3.1654665,503.83337,-1.9388615,500.0159,-1.9350691,499.5705,0.10421852,3.7954556e-05,0.10436351,3.2536835e-08,0.103759974,6.998305e-06
0.14,3.0821998,482.49817,-1.8596812,478.83835,-1.8565667,478.4111,0.1002723,2.35398e-05,0.100456946,2.3659013e-06,0.09983082,1.25647e-05
0.15,2.9031675,482.49817,-1.7876699,478.83835,-1.7843775,478.4111,0.09828956,2.0449655e-05,0.09848289,2.1057463e-06,0.09785746,1.3843227e-05
0.16,2.7788684,466.5957,-1.7569093,463.04874,-1.7535216,462.63214,0.096715756,2.4371955e-05,0.096862644,6.1922406e-06,0.09628225,1.03231505e-05
0.17,2.7688146,466.5957,-1.7447975,463.04874,-1.7417842,462.63214,0.094441816,2.3084585e-05,0.09454848,1.735489e-06,0.09401788,1.0849836e-05
0.18,2.83748,461.313,-1.7382582,457.7932,-1.7347838,457.37622,0.09318947,1.7865501e-05,0.093310356,2.215268e-06,0.09277186,1.5540674e-05
0.19,2.8992553,461.54062,-1.7486367,458.0176,-1.7455903,457.59787,0.0948107,3.8067064e-05,0.09498299,5.559711e-07,0.09438696,3.0147314e-06
0.2,2.885137,461.54062,-1.7707353,458.0176,-1.7673873,457.59787,0.097242214,4.437842e-05,0.097432874,3.4021443e-07,0.09680852,7.106461e-07
0.21,2.798459,464.84515,-1.768777,461.29602,-1.7653857,460.872,0.097665854,3.575273e-05,0.097817875,3.5828722e-07,0.09723003,4.1128246e-07
0.22,2.8188372,464.84515,-1.7781606,461.29602,-1.775068,460.872,0.09649732,4.177505e-05,0.09660741,3.6719445e-07,0.09606613,3.729272e-07
0.23,2.9104705,465.9587,-1.7841165,462.39926,-1.7805508,461.97464,0.095760606,5.04461e-05,0.095886804,3.6595063e-07,0.09533525,3.6522772e-07
0.24,2.9699223,465.9587,-1.7908851,462.39926,-1.7877438,461.97464,0.096972816,4.5363293e-05,0.09715035,3.6764075e-07,0.096542805,3.6564705e-07
0.25,2.9272666,467.71066,-1.7975175,464.14313,-1.7941191,463.71722,0.09891674,4.3448013e-05,0.09911173,3.7899966e-07,0.09847619,3.7678802e-07
0.26,2.846877,468.98846,-1.7996758,465.41208,-1.7962525,464.98517,0.09942505,3.7748378e-05,0.09957945,4.1032322e-07,0.098980606,4.083218e-07
0.27,2.8621538,468.98846,-1.8061908,465.41208,-1.8030128,464.98517,0.09808668,4.1553223e-05,0.09820025,1.7828087e-06,0.09764998,4.0712976e-07
0.28,2.9454997,469.85593,-1.8061093,466.26755,-1.802535,465.83963,0.09702428,4.717045e-05,0.09715452,8.1748726e-07,0.096595556,3.9113624e-07
0.29,2.9993365,469.85593,-1.8089738,466.26755,-1.8057866,465.83963,0.097967155,4.4118897e-05,0.09814543,4.4303545e-07,0.09753155,3.77311e-07
0.3,2.9455743,470.2922,-1.809446,466.7091,-1.8060292,466.2813,0.09960333,3.9737115e-05,0.099801734,3.85717e-07,0.09916202,3.752204e-07
